Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
2019-03-07,532.4114738541667,,,,,,,,,,,,,,,
2019-03-08,1634.5,,,,,,,,,,,,,,,
2019-03-09,1691.2538110194118,358.85875177383423,45.5897387,5.2285241,45.5965861,5.2520445,1.0408203955117439,12.350000381469727,0.26694250106811523,1386,75.0,75.0,75.0,,27152308,941952
2019-03-10,1762.871834835143,712.6637763977051,45.5963793,5.0758123,45.7212784,5.2339923,1.075931671258873,12.630000114440918,0.07806913554668427,857,,,,843922,82586201,1228407
2019-03-11,1767.6007537549544,1416.1327131986618,45.5964704,2.2556275,48.8861431,5.2343437,0.914935386870404,8.350000381469727,0.3175318241119385,2435,,,,,74290645,2182889
2019-03-12,1865.025733525628,2750.724403142929,48.8350567,2.2554743,48.8850962,2.3642516,1.2135310899056013,4.53616189956665,0.2107553482055664,4799,,,,,81197210,3826231
2019-03-13,2021.4101710580694,4784.370592594147,48.8351687,2.2383147,48.8916861,2.3643963,1.2151519703913782,2.9800000190734863,0.30035170912742615,8039,,,,,72896650,6421868
2019-03-14,1891.5716439910384,2581.4707050323486,-8.7440577,2.5746873,49.0062845,115.1665576,0.7593118124543808,1.6806424856185913,0.3270370662212372,5360,,,,,71312897,4266833
2019-03-15,2131.7336945416973,8036.348560452461,-8.7440467,115.125165,-8.6325962,115.1811963,1.113722775151434,29.0,0.055407799780368805,9365,,,,1124615,70958874,7035170
2019-03-16,1898.965213709626,6401.770608305931,-8.6540897,115.1176054,-8.6415507,115.1391309,1.8907691853524267,31.0,0.020419789478182793,4392,,,,1228123,78245499,3068573
2019-03-17,2058.9896161678485,3378.0660350322723,-8.6550776,115.0859266,-8.6063379,115.151442,0.9160988491421638,18.0,0.08042973279953003,6704,,,,,77119048,7045607
2019-03-18,2106.2134968450914,11420.499975919724,-8.6643538,115.1192384,-8.6269694,115.1551538,1.7520581004055293,41.0,0.03506658971309662,4951,,,,3149152,76413474,4462481
2019-03-19,1918.7138329910554,10496.866749048233,-8.6537563,115.1264076,-8.6326127,115.1357036,1.1138199697168132,12.300000190734863,0.32554489374160767,1942,,,,3088821,81138185,1414898
2019-03-20,2333.4162388708487,8087.792206287384,-8.6424126,115.1298236,-8.5139669,115.2641401,1.1673359825229352,25.0,0.10191787034273148,12594,,,,,69644717,11600492
2019-03-21,1469.3702207037502,4717.388980984688,-8.5182382,115.2539691,-8.4951472,115.2639474,0.8798351545219701,6.329999923706055,0.13567450642585754,7309,,,,,53152328,5588126
