Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/11/18,transport,transport,2018-02-11T10:03:22-07:00,2018-02-11T10:05:27-07:00,125,0.581,0,0
2/11/18,walking,walking,2018-02-11T10:26:24-07:00,2018-02-11T10:27:30-07:00,66,0.031,100,3
2/11/18,walking,walking,2018-02-11T10:31:53-07:00,2018-02-11T10:38:58-07:00,425,0.252,595,24
2/11/18,walking,walking,2018-02-11T11:18:10-07:00,2018-02-11T11:18:36-07:00,26,0.012,40,1
2/11/18,walking,walking,2018-02-11T12:24:35-07:00,2018-02-11T12:34:28-07:00,593,0.484,874,46
2/11/18,walking,walking,2018-02-11T12:36:18-07:00,2018-02-11T12:36:58-07:00,40,0.019,60,2
2/11/18,transport,transport,2018-02-11T15:09:30-07:00,2018-02-11T15:18:41-07:00,551,4.433,0,0
2/11/18,walking,walking,2018-02-11T15:32:12-07:00,2018-02-11T15:34:12-07:00,120,0.084,180,8
2/11/18,walking,walking,2018-02-11T15:35:53-07:00,2018-02-11T16:02:50-07:00,1617,1.141,3014,109
2/11/18,walking,walking,2018-02-11T16:12:16-07:00,2018-02-11T16:15:30-07:00,194,0.139,283,13
2/11/18,walking,walking,2018-02-11T16:16:57-07:00,2018-02-11T16:20:37-07:00,220,0.153,330,15
2/11/18,walking,walking,2018-02-11T16:34:45-07:00,2018-02-11T17:06:37-07:00,1912,1.255,3724,120
2/11/18,transport,transport,2018-02-11T17:06:37-07:00,2018-02-11T17:19:10-07:00,753,2.326,0,0
2/11/18,walking,walking,2018-02-11T20:18:38-07:00,2018-02-11T20:18:51-07:00,13,0.006,20,1
2/11/18,walking,walking,2018-02-11T21:15:34-07:00,2018-02-11T21:16:03-07:00,29,0.016,50,1
