Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
11/30/17,Unknown,2017-11-30T00:00:00-07:00,2017-11-30T08:55:54-07:00,32154,34.033659,-118.81811,,
11/30/17,Unknown,2017-11-30T09:02:38-07:00,2017-11-30T13:48:38-07:00,17160,34.031247,-118.84223,,
11/30/17,Unknown,2017-11-30T13:48:39-07:00,2017-11-30T14:12:32-07:00,1433,34.031516,-118.84342,,
11/30/17,Unknown,2017-11-30T14:31:55-07:00,2017-11-30T15:09:30-07:00,2255,34.011388,-118.81707,,
11/30/17,Unknown,2017-11-30T15:13:10-07:00,2017-11-30T15:34:56-07:00,1306,34.004406,-118.80579,,
11/30/17,Unknown,2017-11-30T15:47:09-07:00,2017-11-30T16:11:58-07:00,1489,34.00156,-118.80875,,
11/30/17,Unknown,2017-11-30T16:28:32-07:00,2017-11-30T17:29:54-07:00,3682,34.011644,-118.81739,,
11/30/17,Unknown,2017-11-30T17:39:36-07:00,2017-11-30T23:17:06-07:00,20250,34.031124,-118.84316,,
11/30/17,Unknown,2017-11-30T23:17:07-07:00,2017-11-30T23:32:02-07:00,895,34.031345,-118.8419,,
11/30/17,Unknown,2017-11-30T23:51:31-07:00,2017-12-01T00:00:00-07:00,509,34.033659,-118.81811,,
