Date,Type,Name,Start,End,Duration
3/26/18,place,Unknown,2018-03-26T00:00:00-07:00,2018-03-26T08:37:45-07:00,31065
3/26/18,move,transport,2018-03-26T08:37:45-07:00,2018-03-26T08:49:27-07:00,702
3/26/18,place,Unknown,2018-03-26T08:49:28-07:00,2018-03-26T09:18:01-07:00,1713
3/26/18,move,transport,2018-03-26T09:18:01-07:00,2018-03-26T09:48:19-07:00,1818
3/26/18,place,Unknown,2018-03-26T09:48:19-07:00,2018-03-26T10:25:52-07:00,2253
3/26/18,place,Unknown,2018-03-26T10:25:53-07:00,2018-03-26T12:47:18-07:00,8485
3/26/18,move,transport,2018-03-26T12:47:18-07:00,2018-03-26T12:51:43-07:00,265
3/26/18,place,Unknown,2018-03-26T12:51:44-07:00,2018-03-26T13:08:03-07:00,979
3/26/18,move,walking,2018-03-26T16:05:38-07:00,2018-03-26T16:17:45-07:00,727
3/26/18,place,Unknown,2018-03-26T16:32:48-07:00,2018-03-26T17:10:06-07:00,2238
3/26/18,move,walking,2018-03-26T17:10:06-07:00,2018-03-26T17:15:56-07:00,350
3/26/18,move,transport,2018-03-26T17:15:56-07:00,2018-03-26T17:38:02-07:00,1326
3/26/18,place,Unknown,2018-03-26T17:38:03-07:00,2018-03-26T21:01:21-07:00,12198
