Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/1/18,transport,transport,2018-02-01T10:39:44-07:00,2018-02-01T11:06:25-07:00,1601,19.463,0,0
2/3/18,transport,transport,2018-02-03T15:10:01-07:00,2018-02-03T15:41:12-07:00,1871,3.908,0,0
2/3/18,walking,walking,2018-02-03T15:45:28-07:00,2018-02-03T15:47:08-07:00,100,0.047,150,4
2/3/18,walking,walking,2018-02-03T15:52:34-07:00,2018-02-03T15:59:27-07:00,413,0.326,567,31
2/3/18,walking,walking,2018-02-03T16:00:51-07:00,2018-02-03T16:01:31-07:00,40,0.019,60,2
2/3/18,walking,walking,2018-02-03T16:14:00-07:00,2018-02-03T16:25:06-07:00,666,0.451,1055,43
2/3/18,walking,walking,2018-02-03T16:26:01-07:00,2018-02-03T16:26:34-07:00,33,0.016,50,1
2/3/18,walking,walking,2018-02-03T16:35:34-07:00,2018-02-03T16:40:56-07:00,322,0.262,431,25
2/3/18,transport,transport,2018-02-03T16:40:56-07:00,2018-02-03T17:15:31-07:00,2075,7.597,0,0
2/3/18,transport,transport,2018-02-03T17:37:54-07:00,2018-02-03T17:41:59-07:00,245,0.746,0,0
2/3/18,walking,walking,2018-02-03T18:18:03-07:00,2018-02-03T18:20:16-07:00,133,0.093,200,9
2/3/18,transport,transport,2018-02-03T18:41:47-07:00,2018-02-03T18:47:31-07:00,344,0.669,0,0
2/4/18,transport,transport,2018-02-04T09:36:32-07:00,2018-02-04T10:12:10-07:00,2138,1.655,0,0
2/4/18,transport,transport,2018-02-04T12:05:41-07:00,2018-02-04T12:11:19-07:00,338,1.088,0,0
2/4/18,walking,walking,2018-02-04T15:48:13-07:00,2018-02-04T16:12:53-07:00,1480,1.343,2493,128
2/4/18,walking,walking,2018-02-04T16:13:51-07:00,2018-02-04T16:14:07-07:00,16,0.007,25,1
2/4/18,walking,walking,2018-02-04T16:17:44-07:00,2018-02-04T16:24:33-07:00,409,0.321,532,31
2/4/18,walking,walking,2018-02-04T16:33:46-07:00,2018-02-04T16:58:46-07:00,1500,1.093,2277,104
2/4/18,walking,walking,2018-02-04T17:03:08-07:00,2018-02-04T17:03:54-07:00,46,0.022,70,2
2/4/18,walking,walking,2018-02-04T21:59:38-07:00,2018-02-04T22:00:42-07:00,64,0.028,90,3
2/4/18,transport,transport,2018-02-04T22:09:45-07:00,2018-02-04T22:18:54-07:00,549,0.392,0,0
2/4/18,walking,walking,2018-02-04T22:27:52-07:00,2018-02-04T22:28:32-07:00,40,0.019,60,2
2/4/18,walking,walking,2018-02-04T22:38:37-07:00,2018-02-04T22:41:48-07:00,191,0.135,289,13
2/4/18,walking,walking,2018-02-04T22:41:49-07:00,2018-02-04T22:46:34-07:00,285,0.269,432,26
2/4/18,walking,walking,2018-02-04T22:46:35-07:00,2018-02-04T22:47:49-07:00,74,0.055,0,5
2/4/18,walking,walking,2018-02-04T23:07:31-07:00,2018-02-04T23:12:59-07:00,328,0.272,533,26
2/5/18,walking,walking,2018-02-05T09:18:54-07:00,2018-02-05T09:24:02-07:00,308,0.216,462,21
2/5/18,walking,walking,2018-02-05T10:00:00-07:00,2018-02-05T10:00:03-07:00,3,0.001,3,0
2/5/18,walking,walking,2018-02-05T12:04:39-07:00,2018-02-05T12:05:42-07:00,63,0.034,110,3
2/5/18,walking,walking,2018-02-05T13:38:25-07:00,2018-02-05T13:39:14-07:00,49,0.025,80,2
2/5/18,walking,walking,2018-02-05T14:01:09-07:00,2018-02-05T14:03:12-07:00,123,0.089,190,8
2/5/18,transport,transport,2018-02-05T19:08:32-07:00,2018-02-05T19:17:38-07:00,546,1.857,0,0
2/5/18,walking,walking,2018-02-05T19:36:20-07:00,2018-02-05T19:38:54-07:00,154,0.107,231,10
2/6/18,walking,walking,2018-02-06T09:17:25-07:00,2018-02-06T09:18:28-07:00,63,0.022,70,2
2/6/18,walking,walking,2018-02-06T12:12:56-07:00,2018-02-06T12:14:13-07:00,77,0.045,147,4
2/6/18,walking,walking,2018-02-06T12:53:37-07:00,2018-02-06T13:05:43-07:00,726,0.541,1086,52
2/6/18,walking,walking,2018-02-06T13:14:34-07:00,2018-02-06T13:14:53-07:00,19,0.009,30,1
2/6/18,walking,walking,2018-02-06T16:27:10-07:00,2018-02-06T16:28:30-07:00,80,0.042,136,4
2/6/18,walking,walking,2018-02-06T16:29:03-07:00,2018-02-06T16:39:34-07:00,631,0.514,963,49
2/6/18,transport,transport,2018-02-06T16:39:35-07:00,2018-02-06T16:44:49-07:00,314,0.266,0,0
2/6/18,walking,walking,2018-02-06T16:44:49-07:00,2018-02-06T16:57:32-07:00,763,0.523,1206,50
2/6/18,walking,walking,2018-02-06T16:59:49-07:00,2018-02-06T17:00:52-07:00,63,0.031,100,3
2/6/18,walking,walking,2018-02-06T17:09:02-07:00,2018-02-06T17:17:56-07:00,534,0.337,738,32
2/6/18,walking,walking,2018-02-06T17:17:57-07:00,2018-02-06T17:17:59-07:00,2,0.001,4,0
2/6/18,walking,walking,2018-02-06T17:20:45-07:00,2018-02-06T17:54:31-07:00,2026,1.563,3175,149
2/6/18,walking,walking,2018-02-06T18:00:23-07:00,2018-02-06T18:05:06-07:00,283,0.198,425,19
2/6/18,walking,walking,2018-02-06T18:41:19-07:00,2018-02-06T18:52:08-07:00,649,0.496,1060,47
2/6/18,walking,walking,2018-02-06T19:17:28-07:00,2018-02-06T19:17:54-07:00,26,0.012,40,1
2/6/18,transport,transport,2018-02-06T19:18:22-07:00,2018-02-06T19:31:50-07:00,808,2.531,0,0
2/6/18,walking,walking,2018-02-06T19:35:12-07:00,2018-02-06T19:38:52-07:00,220,0.154,330,15
2/6/18,walking,walking,2018-02-06T23:00:01-07:00,2018-02-06T23:00:57-07:00,56,0.028,90,3
2/7/18,walking,walking,2018-02-07T11:15:45-07:00,2018-02-07T11:16:14-07:00,29,0.019,60,2
2/7/18,walking,walking,2018-02-07T12:09:57-07:00,2018-02-07T12:11:00-07:00,63,0.034,111,3
2/8/18,transport,transport,2018-02-08T12:14:48-07:00,2018-02-08T12:47:08-07:00,1940,18.227,0,0
2/8/18,walking,walking,2018-02-08T17:09:46-07:00,2018-02-08T17:10:29-07:00,43,0.020,65,2
2/8/18,walking,walking,2018-02-08T17:12:54-07:00,2018-02-08T17:31:40-07:00,1126,0.779,1631,74
2/8/18,walking,walking,2018-02-08T17:57:55-07:00,2018-02-08T18:11:34-07:00,819,0.563,1295,54
2/8/18,walking,walking,2018-02-08T19:03:23-07:00,2018-02-08T19:09:17-07:00,354,0.253,472,24
2/8/18,walking,walking,2018-02-08T22:35:46-07:00,2018-02-08T22:36:47-07:00,61,0.029,92,3
2/8/18,transport,transport,2018-02-08T22:46:38-07:00,2018-02-08T22:52:13-07:00,335,0.833,0,0
2/9/18,transport,transport,2018-02-09T09:10:58-07:00,2018-02-09T09:15:57-07:00,299,1.803,0,0
2/9/18,walking,walking,2018-02-09T15:37:06-07:00,2018-02-09T15:37:32-07:00,26,0.012,40,1
2/9/18,transport,transport,2018-02-09T15:44:04-07:00,2018-02-09T16:05:10-07:00,1266,2.095,0,0
2/9/18,transport,transport,2018-02-09T16:16:50-07:00,2018-02-09T16:21:24-07:00,274,1.095,0,0
