Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
11/1/17,Unknown,2017-11-01T00:00:00-07:00,2017-11-01T08:43:29-07:00,31409,36.976847,-122.03257,,
11/1/17,Unknown,2017-11-01T09:00:09-07:00,2017-11-01T10:14:20-07:00,4451,36.989632,-122.03326,,
11/1/17,Unknown,2017-11-01T10:14:21-07:00,2017-11-01T14:23:27-07:00,14946,36.989539,-122.03163,,
11/1/17,Unknown,2017-11-01T14:52:09-07:00,2017-11-01T14:54:22-07:00,133,37.015834,-122.05557,,
11/1/17,Unknown,2017-11-01T15:44:15-07:00,2017-11-01T19:59:24-07:00,15309,36.976847,-122.03257,,
11/1/17,Unknown,2017-11-01T20:12:02-07:00,2017-11-01T22:38:03-07:00,8761,36.976847,-122.03257,,
11/1/17,Unknown,2017-11-01T22:47:23-07:00,2017-11-02T00:00:00-07:00,4357,36.990206,-122.03658,,
11/2/17,Unknown,2017-11-02T00:00:00-07:00,2017-11-02T08:44:15-07:00,31455,36.990206,-122.03658,,
11/2/17,Unknown,2017-11-02T08:50:30-07:00,2017-11-02T13:05:32-07:00,15302,36.976847,-122.03257,,
11/2/17,Unknown,2017-11-02T13:16:41-07:00,2017-11-02T13:25:37-07:00,536,36.985561,-121.96393,,
11/2/17,Unknown,2017-11-02T13:33:27-07:00,2017-11-02T16:14:24-07:00,9657,36.960257,-121.9655,,
11/2/17,Unknown,2017-11-02T16:44:45-07:00,2017-11-02T17:39:54-07:00,3309,36.986449,-121.96424,,
11/2/17,Unknown,2017-11-02T17:39:54-07:00,2017-11-02T22:25:51-07:00,17157,36.986449,-121.96424,,
11/3/17,Unknown,2017-11-03T08:20:44-07:00,2017-11-03T14:55:42-07:00,23698,36.977121,-122.03255,,
11/3/17,Unknown,2017-11-03T15:44:11-07:00,2017-11-03T15:46:13-07:00,122,37.051284,-122.08516,,
11/3/17,Unknown,2017-11-03T16:00:03-07:00,2017-11-03T16:06:24-07:00,381,37.056789,-122.09257,,
11/3/17,Unknown,2017-11-03T16:51:39-07:00,2017-11-03T20:43:42-07:00,13923,36.989538,-122.03211,,
11/3/17,Unknown,2017-11-03T20:49:52-07:00,2017-11-04T00:00:00-07:00,11408,36.977069,-122.03289,,
11/4/17,Unknown,2017-11-04T00:00:00-07:00,2017-11-04T18:15:01-07:00,65701,36.977069,-122.03289,,
11/4/17,Unknown,2017-11-04T18:44:05-07:00,2017-11-04T18:52:38-07:00,513,36.951763,-122.03417,,
11/4/17,Unknown,2017-11-04T19:03:44-07:00,2017-11-04T19:22:13-07:00,1109,36.952652,-122.02624,,
11/4/17,Unknown,2017-11-04T19:26:50-07:00,2017-11-04T20:37:03-07:00,4213,36.957865,-122.03837,,
11/4/17,Unknown,2017-11-04T20:37:04-07:00,2017-11-04T21:00:15-07:00,1391,36.96142,-122.04446,,
11/4/17,Unknown,2017-11-04T21:03:15-07:00,2017-11-04T22:09:24-07:00,3969,36.957865,-122.03837,,
11/4/17,Unknown,2017-11-04T22:23:56-07:00,2017-11-05T00:00:00-07:00,5764,36.990206,-122.03658,,
11/5/17,Unknown,2017-11-05T00:00:00-07:00,2017-11-05T10:02:05-07:00,36125,36.990206,-122.03658,,
11/5/17,Unknown,2017-11-05T10:19:30-07:00,2017-11-05T13:02:58-07:00,9808,36.976847,-122.03257,,
11/5/17,Unknown,2017-11-05T13:06:13-07:00,2017-11-05T13:46:51-07:00,2438,36.969145,-122.03834,,
11/5/17,Unknown,2017-11-05T13:51:58-07:00,2017-11-05T14:00:40-07:00,522,36.964842,-122.04173,,
11/5/17,Unknown,2017-11-05T14:03:45-07:00,2017-11-05T15:09:56-07:00,3971,36.969145,-122.03834,,
11/5/17,Unknown,2017-11-05T15:16:50-07:00,2017-11-05T15:37:56-07:00,1266,36.974748,-122.02425,,
11/5/17,Unknown,2017-11-05T16:58:11-07:00,2017-11-05T18:25:46-07:00,5255,37.683482,-122.46897,,
11/5/17,Unknown,2017-11-05T18:27:54-07:00,2017-11-05T18:34:35-07:00,401,37.683846,-122.46632,,
11/5/17,Unknown,2017-11-05T18:47:05-07:00,2017-11-05T19:05:09-07:00,1084,37.616154,-122.39018,,
11/5/17,Unknown,2017-11-05T19:05:10-07:00,2017-11-05T20:29:09-07:00,5039,37.61365,-122.38851,,
11/6/17,Unknown,2017-11-06T14:10:20-07:00,2017-11-06T14:16:43-07:00,383,48.883759,2.2563948,,
11/6/17,Unknown,2017-11-06T14:16:44-07:00,2017-11-07T00:00:00-07:00,34996,48.883923,2.2552909,,
11/7/17,Unknown,2017-11-07T00:00:00-07:00,2017-11-07T00:58:17-07:00,3497,48.883923,2.2552909,,
11/7/17,Unknown,2017-11-07T03:58:50-07:00,2017-11-07T09:32:10-07:00,20000,45.596443,5.2287152,,
11/8/17,Unknown,2017-11-08T07:45:16-07:00,2017-11-08T07:59:21-07:00,845,45.596443,5.2287152,,
11/8/17,Unknown,2017-11-08T08:50:16-07:00,2017-11-09T00:00:00-07:00,54584,45.596443,5.2287152,,
11/9/17,Unknown,2017-11-09T00:00:00-07:00,2017-11-09T01:47:06-07:00,6426,45.596443,5.2287152,,
11/11/17,Unknown,2017-11-11T07:51:56-07:00,2017-11-11T08:00:55-07:00,539,45.596762,5.2289843,,
11/11/17,Unknown,2017-11-11T08:22:41-07:00,2017-11-11T08:30:57-07:00,496,45.602568,5.2013766,,
11/11/17,Unknown,2017-11-11T10:05:03-07:00,2017-11-11T10:08:53-07:00,230,45.596443,5.2287152,,
