Date,Type,Name,Start,End,Duration
3/1/18,place,Unknown,2018-03-01T00:00:00-07:00,2018-03-01T08:58:55-07:00,32335
3/1/18,move,transport,2018-03-01T08:58:55-07:00,2018-03-01T09:05:19-07:00,384
3/1/18,place,Unknown,2018-03-01T09:05:20-07:00,2018-03-01T09:43:38-07:00,2298
3/1/18,place,Unknown,2018-03-01T09:43:38-07:00,2018-03-01T14:00:34-07:00,15416
3/1/18,move,transport,2018-03-01T14:00:34-07:00,2018-03-01T14:05:04-07:00,270
3/1/18,place,Unknown,2018-03-01T14:10:08-07:00,2018-03-01T16:39:51-07:00,8983
3/1/18,move,transport,2018-03-01T16:39:51-07:00,2018-03-01T17:00:25-07:00,1234
3/1/18,move,walking,2018-03-01T17:00:25-07:00,2018-03-01T17:28:15-07:00,1670
3/1/18,place,Unknown,2018-03-01T17:28:16-07:00,2018-03-01T17:48:51-07:00,1235
3/1/18,move,walking,2018-03-01T17:48:51-07:00,2018-03-01T18:09:13-07:00,1222
3/1/18,move,transport,2018-03-01T18:09:13-07:00,2018-03-01T18:23:06-07:00,833
3/1/18,place,Unknown,2018-03-01T18:23:07-07:00,2018-03-01T22:34:00-07:00,15053
3/1/18,move,transport,2018-03-01T22:34:00-07:00,2018-03-01T22:39:11-07:00,311
3/1/18,place,Unknown,2018-03-01T22:39:11-07:00,2018-03-02T00:00:00-07:00,4849
3/2/18,place,Unknown,2018-03-02T00:00:00-07:00,2018-03-02T09:09:20-07:00,32960
3/2/18,move,walking,2018-03-02T09:09:20-07:00,2018-03-02T09:14:00-07:00,280
3/2/18,place,Unknown,2018-03-02T09:14:01-07:00,2018-03-02T10:12:07-07:00,3486
3/2/18,move,walking,2018-03-02T10:57:12-07:00,2018-03-02T10:57:16-07:00,4
3/2/18,place,Unknown,2018-03-02T11:09:32-07:00,2018-03-02T20:58:40-07:00,35348
3/2/18,move,transport,2018-03-02T20:58:40-07:00,2018-03-02T21:02:52-07:00,252
3/2/18,place,Unknown,2018-03-02T21:02:52-07:00,2018-03-02T22:44:32-07:00,6100
3/2/18,move,transport,2018-03-02T22:44:32-07:00,2018-03-02T22:48:08-07:00,216
3/2/18,place,Unknown,2018-03-02T22:48:09-07:00,2018-03-03T00:00:00-07:00,4311
3/3/18,place,Unknown,2018-03-03T00:00:00-07:00,2018-03-03T08:33:20-07:00,30800
3/3/18,move,transport,2018-03-03T08:33:20-07:00,2018-03-03T08:46:10-07:00,770
3/3/18,place,Unknown,2018-03-03T08:46:11-07:00,2018-03-03T09:20:44-07:00,2073
3/4/18,place,Unknown,2018-03-04T10:39:09-07:00,2018-03-04T17:36:31-07:00,25042
3/4/18,move,transport,2018-03-04T17:36:31-07:00,2018-03-04T17:56:01-07:00,1170
3/4/18,move,walking,2018-03-04T17:56:01-07:00,2018-03-04T18:08:38-07:00,757
3/4/18,move,transport,2018-03-04T18:08:38-07:00,2018-03-04T18:11:52-07:00,194
3/4/18,move,walking,2018-03-04T18:11:53-07:00,2018-03-04T18:17:01-07:00,308
3/4/18,place,Unknown,2018-03-04T18:17:02-07:00,2018-03-04T18:21:02-07:00,240
3/4/18,move,walking,2018-03-04T18:21:02-07:00,2018-03-04T18:40:10-07:00,1148
3/4/18,place,Unknown,2018-03-04T18:40:11-07:00,2018-03-04T18:47:53-07:00,462
3/4/18,move,walking,2018-03-04T18:47:53-07:00,2018-03-04T18:57:28-07:00,575
3/4/18,move,transport,2018-03-04T18:57:28-07:00,2018-03-04T19:05:42-07:00,494
3/4/18,place,Unknown,2018-03-04T19:05:42-07:00,2018-03-04T23:11:14-07:00,14732
3/4/18,move,transport,2018-03-04T23:11:14-07:00,2018-03-04T23:19:32-07:00,498
3/4/18,place,Unknown,2018-03-04T23:33:24-07:00,2018-03-05T00:00:00-07:00,1596
3/5/18,place,Unknown,2018-03-05T00:00:00-07:00,2018-03-05T08:44:42-07:00,31482
3/5/18,move,transport,2018-03-05T08:44:42-07:00,2018-03-05T08:51:54-07:00,432
3/5/18,place,Unknown,2018-03-05T08:51:55-07:00,2018-03-05T10:39:09-07:00,6434
3/5/18,place,Unknown,2018-03-05T12:51:03-07:00,2018-03-05T16:13:48-07:00,12165
3/5/18,move,transport,2018-03-05T16:13:48-07:00,2018-03-05T16:37:49-07:00,1441
3/5/18,place,Unknown,2018-03-05T16:37:49-07:00,2018-03-05T16:46:30-07:00,521
3/5/18,move,walking,2018-03-05T16:46:30-07:00,2018-03-05T17:08:52-07:00,1342
3/5/18,place,Unknown,2018-03-05T17:08:52-07:00,2018-03-05T17:17:21-07:00,509
3/5/18,move,walking,2018-03-05T17:17:21-07:00,2018-03-05T17:25:27-07:00,486
3/5/18,place,Unknown,2018-03-05T17:25:28-07:00,2018-03-05T17:39:56-07:00,868
3/5/18,place,Unknown,2018-03-05T17:39:57-07:00,2018-03-05T18:05:22-07:00,1525
3/5/18,move,walking,2018-03-05T18:05:22-07:00,2018-03-05T18:13:32-07:00,490
3/5/18,place,Unknown,2018-03-05T18:13:33-07:00,2018-03-05T18:21:34-07:00,481
