Date,Activity,Group,Duration,Distance,Steps,Calories
10/16/17,walking,walking,170,0.081,260,8
10/16/17,transport,transport,4367,3.947,0,0
10/17/17,transport,transport,4911,10.844,0,0
10/17/17,walking,walking,2440,1.541,3554,147
10/18/17,transport,transport,2788,12.310,0,0
10/18/17,walking,walking,2277,1.481,3546,142
10/19/17,transport,transport,3219,19.049,0,0
10/19/17,walking,walking,1842,1.159,2635,111
10/20/17,transport,transport,194,1.022,0,0
10/21/17,walking,walking,3014,1.914,4787,183
10/21/17,transport,transport,4199,11.716,0,0
10/23/17,transport,transport,2223,9.495,0,0
10/23/17,walking,walking,1622,1.111,2473,106
10/24/17,transport,transport,3564,14.681,0,0
10/24/17,walking,walking,2335,1.491,4130,143
10/26/17,transport,transport,1631,8.098,0,0
10/26/17,walking,walking,1698,1.246,2783,119
10/27/17,transport,transport,465,2.596,0,0
10/28/17,transport,transport,2311,6.386,0,0
10/28/17,walking,walking,66,0.031,100,3
10/29/17,transport,transport,3616,8.001,0,0
10/29/17,walking,walking,1729,1.235,2910,118
10/30/17,transport,transport,3055,14.254,0,0
10/30/17,walking,walking,33,0.016,50,1
10/31/17,transport,transport,2102,9.249,0,0
10/31/17,walking,walking,5699,3.826,8739,366
