Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
3/5/18,Unknown,2018-03-05T00:00:00-07:00,2018-03-05T08:44:42-07:00,31482,34.025927,-118.82314,,
3/5/18,Unknown,2018-03-05T08:51:55-07:00,2018-03-05T10:39:09-07:00,6434,34.013117,-118.81913,,
3/5/18,Unknown,2018-03-05T12:51:03-07:00,2018-03-05T16:13:48-07:00,12165,34.013117,-118.81913,,
3/5/18,Unknown,2018-03-05T16:37:49-07:00,2018-03-05T16:46:30-07:00,521,34.05911,-118.87964,,
3/5/18,Unknown,2018-03-05T17:08:52-07:00,2018-03-05T17:17:21-07:00,509,34.050116,-118.88369,,
3/5/18,Unknown,2018-03-05T17:25:28-07:00,2018-03-05T17:39:56-07:00,868,34.051612,-118.88405,,
3/5/18,Unknown,2018-03-05T17:39:57-07:00,2018-03-05T18:05:22-07:00,1525,34.050116,-118.88369,,
3/5/18,Unknown,2018-03-05T18:13:33-07:00,2018-03-05T18:21:34-07:00,481,34.050116,-118.88369,,
3/5/18,Unknown,2018-03-05T18:56:50-07:00,2018-03-05T20:09:25-07:00,4355,34.030986,-118.84285,,
3/5/18,Unknown,2018-03-05T20:15:33-07:00,2018-03-05T22:37:30-07:00,8517,34.020649,-118.81022,,
3/6/18,Unknown,2018-03-06T09:04:41-07:00,2018-03-06T09:08:27-07:00,226,34.025927,-118.82314,,
3/6/18,Unknown,2018-03-06T09:38:47-07:00,2018-03-06T18:04:01-07:00,30314,34.031746,-118.84221,,
3/6/18,Unknown,2018-03-06T18:04:02-07:00,2018-03-06T21:19:18-07:00,11716,34.031124,-118.84316,,
3/9/18,Unknown,2018-03-09T11:06:24-07:00,2018-03-09T13:51:22-07:00,9898,34.018766,-118.49269,,
3/9/18,Unknown,2018-03-09T13:51:23-07:00,2018-03-09T14:04:58-07:00,815,34.020128,-118.49318,,
3/9/18,Unknown,2018-03-09T14:15:48-07:00,2018-03-09T18:16:26-07:00,14438,34.001603,-118.46927,,
3/9/18,Unknown,2018-03-09T18:48:56-07:00,2018-03-09T19:28:02-07:00,2346,33.932725,-118.43725,,
3/9/18,Unknown,2018-03-09T19:31:29-07:00,2018-03-09T19:34:42-07:00,193,33.934893,-118.43814,,
3/9/18,Unknown,2018-03-09T19:34:43-07:00,2018-03-09T19:54:29-07:00,1186,33.932945,-118.43665,,
3/9/18,Unknown,2018-03-09T19:54:30-07:00,2018-03-09T20:04:06-07:00,576,33.933919,-118.43726,,
3/10/18,Unknown,2018-03-10T09:38:17-07:00,2018-03-10T13:43:45-07:00,14728,34.044949,-118.55179,,
