Date,Type,Name,Start,End,Duration
2/12/18,place,Unknown,2018-02-12T11:05:15-07:00,2018-02-12T13:56:30-07:00,10275
2/12/18,move,transport,2018-02-12T13:56:30-07:00,2018-02-12T14:19:28-07:00,1378
2/12/18,move,walking,2018-02-12T15:13:22-07:00,2018-02-12T15:47:21-07:00,2039
2/12/18,place,Unknown,2018-02-12T15:47:22-07:00,2018-02-12T15:57:30-07:00,608
2/12/18,move,walking,2018-02-12T15:57:30-07:00,2018-02-12T16:01:10-07:00,220
2/12/18,place,Unknown,2018-02-12T16:01:11-07:00,2018-02-12T16:45:11-07:00,2640
2/12/18,move,walking,2018-02-12T16:45:11-07:00,2018-02-12T17:29:24-07:00,2653
2/12/18,move,transport,2018-02-12T17:29:24-07:00,2018-02-12T17:38:22-07:00,538
2/12/18,place,Unknown,2018-02-12T17:38:23-07:00,2018-02-12T20:30:23-07:00,10320
2/12/18,move,transport,2018-02-12T20:30:23-07:00,2018-02-12T20:36:23-07:00,360
2/12/18,place,Unknown,2018-02-12T20:36:24-07:00,2018-02-12T22:36:08-07:00,7184
2/12/18,move,transport,2018-02-12T22:36:08-07:00,2018-02-12T22:39:59-07:00,231
2/12/18,place,Unknown,2018-02-12T22:40:00-07:00,2018-02-13T00:00:00-07:00,4800
2/13/18,place,Unknown,2018-02-13T00:00:00-07:00,2018-02-13T11:05:15-07:00,39915
2/14/18,place,Unknown,2018-02-14T20:48:21-07:00,2018-02-14T22:46:19-07:00,7078
2/14/18,move,transport,2018-02-14T22:46:19-07:00,2018-02-14T22:51:59-07:00,340
2/14/18,place,Unknown,2018-02-14T22:52:00-07:00,2018-02-15T00:00:00-07:00,4080
2/15/18,place,Unknown,2018-02-15T00:00:00-07:00,2018-02-15T09:26:00-07:00,33960
2/15/18,move,transport,2018-02-15T09:26:00-07:00,2018-02-15T09:31:56-07:00,356
2/15/18,place,Unknown,2018-02-15T09:31:57-07:00,2018-02-15T10:33:37-07:00,3700
2/15/18,place,Unknown,2018-02-15T10:33:37-07:00,2018-02-15T13:46:21-07:00,11564
2/15/18,move,transport,2018-02-15T13:46:21-07:00,2018-02-15T13:50:53-07:00,272
2/15/18,place,Unknown,2018-02-15T13:50:54-07:00,2018-02-15T16:53:32-07:00,10958
2/15/18,place,Unknown,2018-02-15T16:53:33-07:00,2018-02-15T17:02:10-07:00,517
2/15/18,move,transport,2018-02-15T17:02:10-07:00,2018-02-15T17:11:02-07:00,532
2/15/18,place,Unknown,2018-02-15T17:11:03-07:00,2018-02-15T17:18:03-07:00,420
2/15/18,move,walking,2018-02-15T17:18:03-07:00,2018-02-15T17:32:26-07:00,863
2/15/18,place,Unknown,2018-02-15T17:32:27-07:00,2018-02-15T17:34:33-07:00,126
2/15/18,move,walking,2018-02-15T17:34:33-07:00,2018-02-15T17:46:32-07:00,719
2/15/18,place,Unknown,2018-02-15T17:46:32-07:00,2018-02-15T17:59:00-07:00,748
