"Name","Start","End","Duration"
"Active","4/24/2017 9:35:02 AM","4/24/2017 10:05:11 AM","0:30:09"
"Active","4/24/2017 10:08:30 AM","4/24/2017 10:17:07 AM","0:08:37"
"Session lock","4/24/2017 10:17:07 AM","4/24/2017 10:20:52 AM","0:03:45"
"Active","4/24/2017 10:20:52 AM","4/24/2017 10:34:27 AM","0:13:35"
"Session lock","4/24/2017 10:34:27 AM","4/24/2017 10:35:39 AM","0:01:12"
"Session lock","4/24/2017 10:35:41 AM","4/24/2017 11:12:28 AM","0:36:47"
"Power off","4/24/2017 11:12:28 AM","4/24/2017 11:50:07 AM","0:37:39"
"Session lock","4/24/2017 11:50:07 AM","4/24/2017 11:50:24 AM","0:00:17"
"Active","4/24/2017 11:50:24 AM","4/24/2017 1:13:06 PM","1:22:42"
"Active","4/24/2017 1:39:01 PM","4/24/2017 2:36:59 PM","0:57:58"
"Session lock","4/24/2017 2:36:59 PM","4/24/2017 2:43:42 PM","0:06:43"
"Active","4/24/2017 2:43:42 PM","4/24/2017 3:34:14 PM","0:50:32"
"Session lock","4/24/2017 3:34:14 PM","4/24/2017 3:38:18 PM","0:04:04"
"Active","4/24/2017 3:38:18 PM","4/24/2017 4:28:54 PM","0:50:36"
"Session lock","4/24/2017 4:28:54 PM","4/24/2017 4:33:36 PM","0:04:42"
"Active","4/24/2017 4:33:36 PM","4/24/2017 4:35:06 PM","0:01:30"
"Session lock","4/24/2017 4:35:06 PM","4/24/2017 4:37:59 PM","0:02:53"
"Active","4/24/2017 4:37:59 PM","4/24/2017 4:39:54 PM","0:01:55"
"Session lock","4/24/2017 4:39:54 PM","4/24/2017 4:42:45 PM","0:02:51"
"Active","4/24/2017 4:42:45 PM","4/24/2017 4:56:28 PM","0:13:43"
"Session lock","4/24/2017 4:56:28 PM","4/24/2017 5:06:59 PM","0:10:31"
"Active","4/24/2017 5:06:59 PM","4/24/2017 5:08:17 PM","0:01:18"
"Active","4/25/2017 9:19:00 AM","4/25/2017 9:52:53 AM","0:33:53"
"Session lock","4/25/2017 9:52:53 AM","4/25/2017 10:09:45 AM","0:16:52"
"Active","4/25/2017 10:09:45 AM","4/25/2017 10:37:55 AM","0:28:10"
"Session lock","4/25/2017 10:37:55 AM","4/25/2017 11:01:07 AM","0:23:12"
"Active","4/25/2017 11:01:07 AM","4/25/2017 11:14:58 AM","0:13:51"
"Session lock","4/25/2017 11:14:58 AM","4/25/2017 11:16:01 AM","0:01:03"
"Active","4/25/2017 11:16:01 AM","4/25/2017 12:07:49 PM","0:51:48"
"Away","4/25/2017 12:07:49 PM","4/25/2017 12:20:13 PM","0:12:24"
"Active","4/25/2017 12:20:13 PM","4/25/2017 12:56:58 PM","0:36:45"
"Session lock","4/25/2017 12:56:58 PM","4/25/2017 12:57:17 PM","0:00:19"
"Active","4/25/2017 12:57:17 PM","4/25/2017 12:57:33 PM","0:00:16"
"Power off","4/25/2017 12:57:33 PM","4/25/2017 1:41:39 PM","0:44:06"
"Session lock","4/25/2017 1:41:39 PM","4/25/2017 1:41:48 PM","0:00:09"
"Active","4/25/2017 1:41:48 PM","4/25/2017 2:05:20 PM","0:23:32"
"Session lock","4/25/2017 2:05:20 PM","4/25/2017 2:13:53 PM","0:08:33"
"Active","4/25/2017 2:13:53 PM","4/25/2017 3:25:11 PM","1:11:18"
"Session lock","4/25/2017 3:25:11 PM","4/25/2017 3:32:29 PM","0:07:18"
"Active","4/25/2017 3:32:29 PM","4/25/2017 4:42:58 PM","1:10:29"
"Session lock","4/25/2017 4:42:58 PM","4/25/2017 4:48:12 PM","0:05:14"
"Active","4/25/2017 4:48:12 PM","4/25/2017 4:59:25 PM","0:11:13"
"Active","4/26/2017 9:20:34 AM","4/26/2017 9:26:44 AM","0:06:10"
"Active","4/26/2017 9:27:09 AM","4/26/2017 9:48:55 AM","0:21:46"
"Session lock","4/26/2017 9:48:55 AM","4/26/2017 9:50:06 AM","0:01:11"
"Session lock","4/26/2017 9:50:08 AM","4/26/2017 10:11:10 AM","0:21:02"
"Active","4/26/2017 10:11:10 AM","4/26/2017 10:32:16 AM","0:21:06"
"Session lock","4/26/2017 10:32:16 AM","4/26/2017 10:35:30 AM","0:03:14"
"Active","4/26/2017 10:35:30 AM","4/26/2017 12:14:37 PM","1:39:07"
"Session lock","4/26/2017 12:14:37 PM","4/26/2017 12:18:00 PM","0:03:23"
"Active","4/26/2017 12:18:00 PM","4/26/2017 12:37:43 PM","0:19:43"
"Session lock","4/26/2017 12:37:43 PM","4/26/2017 12:44:15 PM","0:06:32"
"Active","4/26/2017 12:44:15 PM","4/26/2017 12:49:35 PM","0:05:20"
"Session lock","4/26/2017 12:49:35 PM","4/26/2017 12:58:37 PM","0:09:02"
"Active","4/26/2017 12:58:37 PM","4/26/2017 1:10:46 PM","0:12:09"
"Power off","4/26/2017 1:10:46 PM","4/26/2017 1:41:57 PM","0:31:11"
"Active","4/26/2017 1:41:57 PM","4/26/2017 1:43:08 PM","0:01:11"
"Power off","4/26/2017 1:43:08 PM","4/26/2017 1:44:52 PM","0:01:44"
"Active","4/26/2017 1:44:52 PM","4/26/2017 2:00:00 PM","0:15:08"
"Away","4/26/2017 2:00:00 PM","4/26/2017 2:01:34 PM","0:01:34"
"Power off","4/26/2017 2:01:34 PM","4/26/2017 2:03:30 PM","0:01:56"
"Active","4/26/2017 2:03:30 PM","4/26/2017 2:09:35 PM","0:06:05"
"Away","4/26/2017 2:09:35 PM","4/26/2017 2:09:52 PM","0:00:17"
"Power off","4/26/2017 2:09:52 PM","4/26/2017 2:42:28 PM","0:32:36"
"Session lock","4/26/2017 2:42:28 PM","4/26/2017 2:42:34 PM","0:00:06"
"Power off","4/26/2017 2:42:34 PM","4/26/2017 2:42:39 PM","0:00:05"
"Session lock","4/26/2017 2:42:39 PM","4/26/2017 2:45:22 PM","0:02:43"
"Active","4/26/2017 2:45:22 PM","4/26/2017 3:33:03 PM","0:47:41"
"Away","4/26/2017 3:33:03 PM","4/26/2017 3:33:43 PM","0:00:40"
"Power off","4/26/2017 3:33:43 PM","4/26/2017 3:54:36 PM","0:20:53"
"Power off","4/26/2017 3:54:36 PM","4/26/2017 3:54:53 PM","0:00:17"
"Session lock","4/26/2017 3:54:53 PM","4/26/2017 3:54:59 PM","0:00:06"
"Power off","4/26/2017 3:54:59 PM","4/26/2017 3:55:33 PM","0:00:34"
"Session lock","4/26/2017 3:55:33 PM","4/26/2017 3:55:38 PM","0:00:05"
"Power off","4/26/2017 3:55:38 PM","4/26/2017 4:04:30 PM","0:08:52"
