Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-07-2017","2,835","14,673","10.9","126","1,188","143","60","49","1,409"
"02-07-2017","2,275","6,306","4.69","31","1,216","108","7","26","706"
"03-07-2017","2,215","5,849","4.35","11","1,308","126","3","3","635"
"04-07-2017","2,402","9,343","6.94","29","1,314","54","11","61","835"
"05-07-2017","2,211","5,149","3.83","12","1,312","128","0","0","630"
"06-07-2017","2,142","4,708","3.5","6","1,346","86","2","6","516"
"07-07-2017","2,169","5,203","3.87","3","1,265","101","3","6","579"
"08-07-2017","2,073","3,455","2.57","14","1,344","88","3","5","450"
"09-07-2017","2,128","4,417","3.28","25","1,104","70","8","12","485"
"10-07-2017","2,242","6,792","5.05","9","1,236","139","0","0","680"
"11-07-2017","2,167","4,912","3.65","2","1,322","118","0","0","595"
"12-07-2017","2,569","9,384","6.97","15","1,240","177","12","11","1,076"
"13-07-2017","2,496","8,822","6.55","15","1,122","139","6","30","950"
"14-07-2017","2,103","4,431","3.29","7","1,353","87","0","0","466"
"15-07-2017","2,797","12,335","9.17","53","1,186","192","26","36","1,298"
"16-07-2017","3,168","15,158","11.26","83","1,153","187","29","71","1,735"
"17-07-2017","2,739","10,875","8.08","6","1,237","151","9","43","1,246"
"18-07-2017","2,618","12,229","9.09","15","1,034","180","17","18","1,139"
"19-07-2017","2,120","5,390","4","14","1,337","95","4","4","529"
"20-07-2017","2,236","6,344","4.71","5","1,188","114","2","12","660"
"21-07-2017","2,269","6,498","4.83","12","1,309","131","0","0","674"
"22-07-2017","2,550","10,355","7.69","70","1,280","75","6","79","992"
"23-07-2017","2,261","5,738","4.26","17","1,331","73","10","26","654"
"24-07-2017","2,118","4,153","3.09","2","1,348","92","0","0","473"
"25-07-2017","2,477","8,113","6.03","19","1,284","147","9","0","857"
"26-07-2017","2,345","5,421","4.03","7","1,249","106","6","6","707"
"27-07-2017","2,399","8,215","6.1","11","1,290","131","6","13","834"
"28-07-2017","2,487","8,781","6.52","17","1,111","105","0","32","920"
"29-07-2017","1,933","1,929","1.43","3","1,229","55","0","0","270"
"30-07-2017","2,623","10,828","8.05","79","1,238","153","21","28","1,107"
"31-07-2017","2,084","4,898","3.64","5","1,410","30","0","0","161"

