Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
01/07/18,transport,transport,2018-07-01T00:00:00+02:00,2018-07-01T00:01:52+02:00,112,0.054,0,0
01/07/18,walking,walking,2018-07-01T00:01:52+02:00,2018-07-01T00:05:05+02:00,193,0.148,238,7
01/07/18,walking,walking,2018-07-01T00:58:22+02:00,2018-07-01T00:58:42+02:00,20,0.015,30,1
01/07/18,walking,walking,2018-07-01T09:14:10+02:00,2018-07-01T09:14:43+02:00,33,0.028,56,1
01/07/18,transport,transport,2018-07-01T09:16:03+02:00,2018-07-01T10:04:56+02:00,2933,36.286,0,0
01/07/18,walking,walking,2018-07-01T10:04:56+02:00,2018-07-01T10:10:44+02:00,348,0.355,519,16
01/07/18,walking,walking,2018-07-01T10:10:45+02:00,2018-07-01T10:12:48+02:00,123,0.139,185,6
01/07/18,transport,transport,2018-07-01T10:26:13+02:00,2018-07-01T10:28:43+02:00,150,0.554,0,0
01/07/18,transport,transport,2018-07-01T10:39:44+02:00,2018-07-01T11:07:24+02:00,1660,7.083,0,0
01/07/18,transport,transport,2018-07-01T11:09:03+02:00,2018-07-01T11:10:33+02:00,90,0.405,0,0
01/07/18,transport,transport,2018-07-01T11:24:11+02:00,2018-07-01T11:31:44+02:00,453,0.922,0,0
01/07/18,walking,walking,2018-07-01T11:34:04+02:00,2018-07-01T11:37:15+02:00,191,0.215,286,10
01/07/18,walking,walking,2018-07-01T11:43:06+02:00,2018-07-01T11:48:09+02:00,303,0.341,455,15
01/07/18,walking,walking,2018-07-01T12:00:53+02:00,2018-07-01T12:02:27+02:00,94,0.070,141,3
01/07/18,transport,transport,2018-07-01T12:09:38+02:00,2018-07-01T12:16:55+02:00,437,0.625,0,0
01/07/18,walking,walking,2018-07-01T12:33:06+02:00,2018-07-01T12:44:59+02:00,713,0.997,956,44
01/07/18,walking,walking,2018-07-01T12:47:35+02:00,2018-07-01T12:51:56+02:00,261,0.196,368,9
01/07/18,transport,transport,2018-07-01T12:51:56+02:00,2018-07-01T12:56:38+02:00,282,1.343,0,0
01/07/18,walking,walking,2018-07-01T12:56:39+02:00,2018-07-01T13:03:22+02:00,403,0.503,564,22
01/07/18,walking,walking,2018-07-01T13:05:12+02:00,2018-07-01T13:06:52+02:00,100,0.075,150,3
01/07/18,walking,walking,2018-07-01T13:28:30+02:00,2018-07-01T13:52:39+02:00,1449,1.297,2298,58
01/07/18,walking,walking,2018-07-01T14:32:52+02:00,2018-07-01T15:02:48+02:00,1796,1.773,2826,79
01/07/18,walking,walking,2018-07-01T15:04:22+02:00,2018-07-01T15:17:19+02:00,777,0.522,1044,23
01/07/18,walking,walking,2018-07-01T15:17:24+02:00,2018-07-01T15:18:24+02:00,60,0.045,90,2
01/07/18,walking,walking,2018-07-01T15:35:07+02:00,2018-07-01T15:35:40+02:00,33,0.025,50,1
01/07/18,walking,walking,2018-07-01T15:37:37+02:00,2018-07-01T15:47:03+02:00,566,0.839,699,37
01/07/18,walking,walking,2018-07-01T15:47:04+02:00,2018-07-01T15:47:04+02:00,0,0.000,1,0
01/07/18,walking,walking,2018-07-01T16:35:29+02:00,2018-07-01T16:41:20+02:00,351,0.367,524,16
01/07/18,walking,walking,2018-07-01T16:46:57+02:00,2018-07-01T16:48:04+02:00,67,0.050,100,2
01/07/18,walking,walking,2018-07-01T16:52:45+02:00,2018-07-01T17:03:27+02:00,642,0.899,1184,40
01/07/18,transport,transport,2018-07-01T17:11:41+02:00,2018-07-01T17:49:51+02:00,2290,9.423,0,0
01/07/18,transport,transport,2018-07-01T17:55:29+02:00,2018-07-01T17:56:59+02:00,90,0.221,0,0
01/07/18,walking,walking,2018-07-01T18:07:13+02:00,2018-07-01T18:14:15+02:00,422,0.464,538,21
01/07/18,transport,transport,2018-07-01T18:14:15+02:00,2018-07-01T19:01:17+02:00,2822,31.470,0,0
01/07/18,walking,walking,2018-07-01T19:01:18+02:00,2018-07-01T19:05:52+02:00,274,0.309,412,14
01/07/18,walking,walking,2018-07-01T20:19:02+02:00,2018-07-01T20:27:26+02:00,504,0.468,800,21
01/07/18,walking,walking,2018-07-01T21:11:52+02:00,2018-07-01T21:21:56+02:00,604,0.649,1131,29
01/07/18,walking,walking,2018-07-01T21:25:44+02:00,2018-07-01T21:27:58+02:00,134,0.148,251,7
