Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/15/18,transport,transport,2018-02-15T09:26:00-07:00,2018-02-15T09:31:56-07:00,356,1.827,0,0
2/15/18,walking,walking,2018-02-15T13:42:51-07:00,2018-02-15T13:43:24-07:00,33,0.016,50,1
2/15/18,transport,transport,2018-02-15T13:46:21-07:00,2018-02-15T13:50:53-07:00,272,2.296,0,0
2/15/18,transport,transport,2018-02-15T17:02:10-07:00,2018-02-15T17:11:02-07:00,532,3.711,0,0
2/15/18,walking,walking,2018-02-15T17:16:46-07:00,2018-02-15T17:17:12-07:00,26,0.012,40,1
2/15/18,walking,walking,2018-02-15T17:18:03-07:00,2018-02-15T17:32:26-07:00,863,0.608,1172,58
2/15/18,walking,walking,2018-02-15T17:34:33-07:00,2018-02-15T17:46:32-07:00,719,0.377,1146,36
2/15/18,walking,walking,2018-02-15T17:59:00-07:00,2018-02-15T18:05:26-07:00,386,0.223,467,21
2/15/18,transport,transport,2018-02-15T18:05:26-07:00,2018-02-15T18:16:55-07:00,689,1.589,0,0
2/15/18,transport,transport,2018-02-15T22:34:10-07:00,2018-02-15T22:37:43-07:00,213,1.481,0,0
