Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
1/21/18,Unknown,2018-01-21T11:01:48-07:00,2018-01-21T13:35:06-07:00,9198,34.128725,-116.39822,,
1/21/18,Unknown,2018-01-21T13:51:23-07:00,2018-01-21T14:33:41-07:00,2538,34.076437,-116.35285,,
1/21/18,Unknown,2018-01-21T14:38:56-07:00,2018-01-21T14:47:07-07:00,491,34.064234,-116.33561,,
1/21/18,Unknown,2018-01-21T14:51:02-07:00,2018-01-21T14:58:28-07:00,446,34.064912,-116.33566,,
1/21/18,Unknown,2018-01-21T15:02:48-07:00,2018-01-21T15:34:43-07:00,1915,34.068719,-116.33578,,
1/21/18,Unknown,2018-01-21T15:46:09-07:00,2018-01-21T16:24:06-07:00,2277,34.068711,-116.33211,,
1/21/18,Unknown,2018-01-21T16:38:54-07:00,2018-01-21T18:12:17-07:00,5603,34.064234,-116.33561,,
1/21/18,Unknown,2018-01-21T18:26:56-07:00,2018-01-21T19:10:40-07:00,2624,34.128317,-116.3947,,
1/21/18,Unknown,2018-01-21T19:27:20-07:00,2018-01-21T20:33:19-07:00,3959,34.126322,-116.4057,,
1/21/18,Unknown,2018-01-21T20:36:43-07:00,2018-01-21T20:52:57-07:00,974,34.126182,-116.4079,,
1/21/18,Unknown,2018-01-21T20:56:20-07:00,2018-01-21T22:37:57-07:00,6097,34.126322,-116.4057,,
1/21/18,Unknown,2018-01-21T22:44:14-07:00,2018-01-22T00:00:00-07:00,4546,34.140528,-116.39817,,
