Date,Type,Name,Start,End,Duration
1/24/18,place,Unknown,2018-01-24T00:00:00-07:00,2018-01-24T09:47:24-07:00,35244
1/24/18,move,transport,2018-01-24T09:47:24-07:00,2018-01-24T09:53:38-07:00,374
1/24/18,place,Unknown,2018-01-24T09:53:39-07:00,2018-01-24T12:57:38-07:00,11039
1/24/18,move,transport,2018-01-24T12:57:38-07:00,2018-01-24T13:55:23-07:00,3465
1/24/18,place,Unknown,2018-01-24T13:55:24-07:00,2018-01-24T15:02:39-07:00,4035
1/24/18,move,transport,2018-01-24T15:02:39-07:00,2018-01-24T15:12:34-07:00,595
1/24/18,place,Unknown,2018-01-24T15:12:35-07:00,2018-01-24T15:33:44-07:00,1269
1/24/18,move,walking,2018-01-24T15:33:44-07:00,2018-01-24T16:02:27-07:00,1723
1/24/18,move,transport,2018-01-24T16:02:27-07:00,2018-01-24T16:23:54-07:00,1287
1/24/18,move,walking,2018-01-24T16:23:55-07:00,2018-01-24T16:39:07-07:00,912
1/24/18,place,Unknown,2018-01-24T16:39:08-07:00,2018-01-24T16:44:27-07:00,319
1/24/18,move,walking,2018-01-24T16:44:27-07:00,2018-01-24T16:55:08-07:00,641
1/24/18,place,Unknown,2018-01-24T16:55:09-07:00,2018-01-24T17:05:00-07:00,591
1/24/18,place,Unknown,2018-01-24T17:05:01-07:00,2018-01-24T17:36:40-07:00,1899
1/24/18,move,walking,2018-01-24T17:36:40-07:00,2018-01-24T17:46:18-07:00,578
1/24/18,place,Unknown,2018-01-24T17:46:19-07:00,2018-01-24T17:53:47-07:00,448
1/24/18,move,walking,2018-01-24T17:53:47-07:00,2018-01-24T18:13:58-07:00,1211
1/24/18,move,transport,2018-01-24T18:13:58-07:00,2018-01-24T18:53:37-07:00,2379
1/24/18,place,Unknown,2018-01-24T18:53:37-07:00,2018-01-24T19:28:14-07:00,2077
1/24/18,place,Unknown,2018-01-24T19:28:15-07:00,2018-01-24T19:51:44-07:00,1409
1/24/18,move,transport,2018-01-24T19:51:44-07:00,2018-01-24T19:58:13-07:00,389
1/24/18,place,Unknown,2018-01-24T19:58:14-07:00,2018-01-24T22:43:20-07:00,9906
1/24/18,move,transport,2018-01-24T22:43:20-07:00,2018-01-24T23:59:59-07:00,4599
