Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
5/1/18,transport,transport,2018-05-01T09:04:57-07:00,2018-05-01T09:08:23-07:00,206,1.317,0,0
5/1/18,transport,transport,2018-05-01T15:28:01-07:00,2018-05-01T15:37:40-07:00,579,1.422,0,0
5/1/18,walking,walking,2018-05-01T15:42:23-07:00,2018-05-01T15:44:44-07:00,141,0.099,213,9
5/1/18,walking,walking,2018-05-01T15:51:09-07:00,2018-05-01T16:07:12-07:00,963,0.634,1314,60
5/1/18,walking,walking,2018-05-01T16:09:37-07:00,2018-05-01T16:31:14-07:00,1297,0.852,1999,81
5/1/18,transport,transport,2018-05-01T16:31:14-07:00,2018-05-01T16:41:25-07:00,611,3.190,0,0
5/1/18,walking,walking,2018-05-01T16:54:43-07:00,2018-05-01T16:54:56-07:00,13,0.006,20,1
5/1/18,walking,walking,2018-05-01T17:13:27-07:00,2018-05-01T17:13:56-07:00,29,0.009,30,1
5/1/18,walking,walking,2018-05-01T19:29:54-07:00,2018-05-01T19:30:50-07:00,56,0.025,80,2
5/2/18,walking,walking,2018-05-02T16:17:59-07:00,2018-05-02T16:40:08-07:00,1329,0.929,1994,89
5/2/18,walking,walking,2018-05-02T17:00:49-07:00,2018-05-02T17:03:29-07:00,160,0.140,301,13
5/2/18,walking,walking,2018-05-02T21:39:45-07:00,2018-05-02T21:40:14-07:00,29,0.009,20,1
5/3/18,transport,transport,2018-05-03T08:20:54-07:00,2018-05-03T08:29:41-07:00,527,2.321,0,0
5/3/18,transport,transport,2018-05-03T09:10:37-07:00,2018-05-03T09:25:46-07:00,909,9.559,0,0
5/3/18,transport,transport,2018-05-03T12:54:22-07:00,2018-05-03T12:57:30-07:00,188,0.865,0,0
5/3/18,walking,walking,2018-05-03T14:03:18-07:00,2018-05-03T14:03:44-07:00,26,0.012,40,1
5/3/18,walking,walking,2018-05-03T15:21:55-07:00,2018-05-03T15:25:09-07:00,194,0.139,258,13
5/3/18,transport,transport,2018-05-03T20:21:06-07:00,2018-05-03T20:32:41-07:00,695,7.634,0,0
5/3/18,transport,transport,2018-05-03T22:03:35-07:00,2018-05-03T22:10:29-07:00,414,1.431,0,0
5/4/18,transport,transport,2018-05-04T08:00:06-07:00,2018-05-04T08:04:35-07:00,269,1.658,0,0
5/4/18,transport,transport,2018-05-04T08:23:51-07:00,2018-05-04T08:40:31-07:00,1000,0.825,0,0
5/4/18,transport,transport,2018-05-04T10:42:13-07:00,2018-05-04T11:01:58-07:00,1185,8.691,0,0
5/4/18,transport,transport,2018-05-04T12:30:07-07:00,2018-05-04T12:38:15-07:00,488,0.792,0,0
5/4/18,walking,walking,2018-05-04T14:17:56-07:00,2018-05-04T14:34:44-07:00,1008,0.705,1512,67
