Date,Type,Name,Start,End,Duration
2/1/18,place,Unknown,2018-02-01T00:00:00-07:00,2018-02-01T10:39:44-07:00,38384
2/1/18,move,transport,2018-02-01T10:39:44-07:00,2018-02-01T11:06:25-07:00,1601
2/1/18,place,Unknown,2018-02-01T11:06:26-07:00,2018-02-01T11:11:23-07:00,297
2/3/18,place,Unknown,2018-02-03T13:42:10-07:00,2018-02-03T15:10:01-07:00,5271
2/3/18,move,transport,2018-02-03T15:10:01-07:00,2018-02-03T15:41:12-07:00,1871
2/3/18,place,Unknown,2018-02-03T15:41:13-07:00,2018-02-03T15:52:34-07:00,681
2/3/18,move,walking,2018-02-03T15:52:34-07:00,2018-02-03T15:59:27-07:00,413
2/3/18,place,Unknown,2018-02-03T15:59:28-07:00,2018-02-03T16:14:00-07:00,872
2/3/18,move,walking,2018-02-03T16:14:00-07:00,2018-02-03T16:25:06-07:00,666
2/3/18,place,Unknown,2018-02-03T16:25:07-07:00,2018-02-03T16:35:34-07:00,627
2/3/18,move,walking,2018-02-03T16:35:34-07:00,2018-02-03T16:40:56-07:00,322
2/3/18,move,transport,2018-02-03T16:40:56-07:00,2018-02-03T17:15:31-07:00,2075
2/3/18,place,Unknown,2018-02-03T17:15:32-07:00,2018-02-03T17:37:54-07:00,1342
2/3/18,move,transport,2018-02-03T17:37:54-07:00,2018-02-03T17:41:59-07:00,245
2/3/18,place,Unknown,2018-02-03T17:42:00-07:00,2018-02-03T18:41:47-07:00,3587
2/3/18,move,transport,2018-02-03T18:41:47-07:00,2018-02-03T18:47:31-07:00,344
2/3/18,place,Unknown,2018-02-03T18:47:31-07:00,2018-02-03T19:53:54-07:00,3983
2/3/18,place,Unknown,2018-02-03T19:53:55-07:00,2018-02-03T20:03:54-07:00,599
2/3/18,place,Unknown,2018-02-03T20:05:12-07:00,2018-02-04T00:00:00-07:00,14088
2/4/18,place,Unknown,2018-02-04T00:00:00-07:00,2018-02-04T09:36:32-07:00,34592
2/4/18,move,transport,2018-02-04T09:36:32-07:00,2018-02-04T10:12:10-07:00,2138
2/4/18,place,Unknown,2018-02-04T10:29:31-07:00,2018-02-04T12:05:41-07:00,5770
2/4/18,move,transport,2018-02-04T12:05:41-07:00,2018-02-04T12:11:19-07:00,338
2/4/18,place,Unknown,2018-02-04T12:11:19-07:00,2018-02-04T15:48:13-07:00,13014
2/4/18,move,walking,2018-02-04T15:48:13-07:00,2018-02-04T16:12:53-07:00,1480
2/4/18,place,Unknown,2018-02-04T16:12:54-07:00,2018-02-04T16:17:44-07:00,290
2/4/18,move,walking,2018-02-04T16:17:44-07:00,2018-02-04T16:24:33-07:00,409
2/4/18,place,Unknown,2018-02-04T16:24:34-07:00,2018-02-04T16:33:46-07:00,552
2/4/18,move,walking,2018-02-04T16:33:46-07:00,2018-02-04T16:58:46-07:00,1500
2/4/18,place,Unknown,2018-02-04T16:58:47-07:00,2018-02-04T22:09:45-07:00,18658
2/4/18,move,transport,2018-02-04T22:09:45-07:00,2018-02-04T22:18:54-07:00,549
2/4/18,place,Unknown,2018-02-04T22:18:55-07:00,2018-02-04T22:30:44-07:00,709
2/4/18,place,Unknown,2018-02-04T22:30:45-07:00,2018-02-04T22:41:49-07:00,664
2/4/18,move,walking,2018-02-04T22:41:49-07:00,2018-02-04T22:46:34-07:00,285
2/4/18,move,walking,2018-02-04T22:46:35-07:00,2018-02-04T22:47:49-07:00,74
2/4/18,move,walking,2018-02-04T23:07:31-07:00,2018-02-04T23:12:59-07:00,328
2/4/18,place,Unknown,2018-02-04T23:13:00-07:00,2018-02-05T00:00:00-07:00,2820
2/5/18,place,Unknown,2018-02-05T00:00:00-07:00,2018-02-05T15:25:51-07:00,55551
2/5/18,place,Unknown,2018-02-05T18:58:31-07:00,2018-02-05T19:08:32-07:00,601
2/5/18,move,transport,2018-02-05T19:08:32-07:00,2018-02-05T19:17:38-07:00,546
2/5/18,place,Unknown,2018-02-05T19:17:39-07:00,2018-02-06T00:00:00-07:00,16941
2/6/18,place,Unknown,2018-02-06T00:00:00-07:00,2018-02-06T12:53:37-07:00,46417
2/6/18,move,walking,2018-02-06T12:53:37-07:00,2018-02-06T13:05:43-07:00,726
2/6/18,place,Unknown,2018-02-06T13:05:44-07:00,2018-02-06T16:29:03-07:00,12199
2/6/18,move,walking,2018-02-06T16:29:03-07:00,2018-02-06T16:39:34-07:00,631
2/6/18,move,transport,2018-02-06T16:39:35-07:00,2018-02-06T16:44:49-07:00,314
2/6/18,move,walking,2018-02-06T16:44:49-07:00,2018-02-06T16:57:32-07:00,763
2/6/18,place,Unknown,2018-02-06T16:57:33-07:00,2018-02-06T17:09:02-07:00,689
2/6/18,move,walking,2018-02-06T17:09:02-07:00,2018-02-06T17:17:56-07:00,534
2/6/18,place,Unknown,2018-02-06T17:17:57-07:00,2018-02-06T17:20:45-07:00,168
2/6/18,move,walking,2018-02-06T17:20:45-07:00,2018-02-06T17:54:31-07:00,2026
2/6/18,place,Unknown,2018-02-06T17:54:32-07:00,2018-02-06T18:41:19-07:00,2807
2/6/18,move,walking,2018-02-06T18:41:19-07:00,2018-02-06T18:52:08-07:00,649
2/6/18,place,Unknown,2018-02-06T18:52:09-07:00,2018-02-06T19:18:22-07:00,1573
2/6/18,move,transport,2018-02-06T19:18:22-07:00,2018-02-06T19:31:50-07:00,808
2/6/18,place,Unknown,2018-02-06T19:31:51-07:00,2018-02-07T00:00:00-07:00,16089
2/7/18,place,Unknown,2018-02-07T00:00:00-07:00,2018-02-07T15:15:26-07:00,54926
2/8/18,place,Unknown,2018-02-08T11:34:35-07:00,2018-02-08T12:14:48-07:00,2413
2/8/18,move,transport,2018-02-08T12:14:48-07:00,2018-02-08T12:47:08-07:00,1940
2/8/18,place,Unknown,2018-02-08T12:47:09-07:00,2018-02-08T17:12:54-07:00,15945
2/8/18,move,walking,2018-02-08T17:12:54-07:00,2018-02-08T17:31:40-07:00,1126
2/8/18,place,Unknown,2018-02-08T17:31:41-07:00,2018-02-08T17:57:55-07:00,1574
2/8/18,move,walking,2018-02-08T17:57:55-07:00,2018-02-08T18:11:34-07:00,819
2/8/18,place,Unknown,2018-02-08T18:11:35-07:00,2018-02-08T19:03:23-07:00,3108
2/8/18,move,walking,2018-02-08T19:03:23-07:00,2018-02-08T19:09:17-07:00,354
2/8/18,place,Unknown,2018-02-08T19:09:18-07:00,2018-02-08T19:18:31-07:00,553
2/8/18,place,Unknown,2018-02-08T20:18:57-07:00,2018-02-08T22:46:38-07:00,8861
2/8/18,move,transport,2018-02-08T22:46:38-07:00,2018-02-08T22:52:13-07:00,335
2/8/18,place,Unknown,2018-02-08T22:52:14-07:00,2018-02-09T00:00:00-07:00,4066
2/9/18,place,Unknown,2018-02-09T00:00:00-07:00,2018-02-09T09:10:58-07:00,33058
2/9/18,move,transport,2018-02-09T09:10:58-07:00,2018-02-09T09:15:57-07:00,299
2/9/18,place,Unknown,2018-02-09T09:15:58-07:00,2018-02-09T15:44:04-07:00,23286
2/9/18,move,transport,2018-02-09T15:44:04-07:00,2018-02-09T16:05:10-07:00,1266
2/9/18,place,Unknown,2018-02-09T16:05:11-07:00,2018-02-09T16:16:50-07:00,699
2/9/18,move,transport,2018-02-09T16:16:50-07:00,2018-02-09T16:21:24-07:00,274
2/9/18,place,Unknown,2018-02-09T16:21:25-07:00,2018-02-09T18:28:51-07:00,7646
2/9/18,move,transport,2018-02-09T18:28:51-07:00,2018-02-09T18:42:54-07:00,843
2/9/18,place,Unknown,2018-02-09T20:17:55-07:00,2018-02-09T22:28:51-07:00,7856
2/9/18,move,transport,2018-02-09T22:28:51-07:00,2018-02-09T22:37:46-07:00,535
2/10/18,move,transport,2018-02-10T10:20:47-07:00,2018-02-10T10:29:29-07:00,522
