Date,Activity,Group,Duration,Distance,Steps,Calories
3/1/18,walking,walking,2981,1.676,4490,160
3/1/18,transport,transport,3032,15.854,0,0
3/2/18,walking,walking,418,0.260,563,25
3/2/18,transport,transport,468,3.354,0,0
3/3/18,transport,transport,770,1.926,0,0
3/4/18,walking,walking,2922,1.788,4249,171
3/4/18,transport,transport,2356,6.503,0,0
3/5/18,transport,transport,3445,17.306,0,0
3/5/18,walking,walking,3757,2.388,5805,228
3/6/18,walking,walking,2582,1.747,3780,167
3/9/18,walking,walking,1048,0.765,1614,73
3/9/18,transport,transport,2598,9.902,0,0
3/10/18,transport,transport,231,1.049,0,0
3/23/18,transport,transport,1509,16.900,0,0
3/23/18,walking,walking,19,0.009,30,1
3/24/18,transport,transport,5263,18.554,0,0
3/24/18,walking,walking,492,0.320,776,31
3/25/18,transport,transport,1735,4.819,0,0
3/25/18,walking,walking,196,0.138,323,13
3/26/18,transport,transport,4111,12.360,0,0
3/26/18,walking,walking,1328,0.681,1961,65
3/27/18,walking,walking,40,0.019,60,2
3/27/18,transport,transport,371,1.942,0,0
3/28/18,transport,transport,3889,18.299,0,0
3/28/18,walking,walking,385,0.237,580,23
3/29/18,transport,transport,2396,7.075,0,0
3/29/18,walking,walking,1917,1.256,3483,120
3/30/18,transport,transport,9339,35.136,0,0
3/30/18,walking,walking,20,0.009,30,1
3/31/18,transport,transport,12261,153.327,0,0
3/31/18,walking,walking,1032,0.672,1629,64
3/31/18,running,running,71,0.088,116,10
