Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
3/5/18,transport,transport,2018-03-05T08:44:42-07:00,2018-03-05T08:51:54-07:00,432,1.178,0,0
3/5/18,transport,transport,2018-03-05T16:13:48-07:00,2018-03-05T16:37:49-07:00,1441,7.306,0,0
3/5/18,walking,walking,2018-03-05T16:46:30-07:00,2018-03-05T17:08:52-07:00,1342,0.858,2021,82
3/5/18,walking,walking,2018-03-05T17:17:21-07:00,2018-03-05T17:25:27-07:00,486,0.266,754,25
3/5/18,walking,walking,2018-03-05T17:29:53-07:00,2018-03-05T17:32:46-07:00,173,0.121,259,11
3/5/18,walking,walking,2018-03-05T17:40:46-07:00,2018-03-05T17:41:39-07:00,53,0.025,80,2
3/5/18,walking,walking,2018-03-05T18:05:22-07:00,2018-03-05T18:13:32-07:00,490,0.231,611,22
3/5/18,walking,walking,2018-03-05T18:21:34-07:00,2018-03-05T18:40:55-07:00,1161,0.863,2000,82
3/5/18,transport,transport,2018-03-05T18:40:55-07:00,2018-03-05T18:56:50-07:00,955,4.947,0,0
3/5/18,walking,walking,2018-03-05T19:53:31-07:00,2018-03-05T19:53:57-07:00,26,0.012,40,1
3/5/18,transport,transport,2018-03-05T20:09:25-07:00,2018-03-05T20:15:32-07:00,367,2.794,0,0
3/5/18,walking,walking,2018-03-05T22:34:11-07:00,2018-03-05T22:34:37-07:00,26,0.012,40,1
3/5/18,transport,transport,2018-03-05T22:37:30-07:00,2018-03-05T22:41:40-07:00,250,1.082,0,0
3/6/18,walking,walking,2018-03-06T16:19:06-07:00,2018-03-06T16:31:25-07:00,739,0.517,1109,49
3/6/18,walking,walking,2018-03-06T17:00:00-07:00,2018-03-06T17:29:43-07:00,1783,1.202,2581,115
3/6/18,walking,walking,2018-03-06T18:31:37-07:00,2018-03-06T18:32:37-07:00,60,0.028,90,3
3/9/18,walking,walking,2018-03-09T11:06:24-07:00,2018-03-09T11:09:16-07:00,172,0.121,258,11
3/9/18,walking,walking,2018-03-09T13:41:37-07:00,2018-03-09T13:42:06-07:00,29,0.016,50,1
3/9/18,transport,transport,2018-03-09T14:04:58-07:00,2018-03-09T14:15:47-07:00,649,2.161,0,0
3/9/18,transport,transport,2018-03-09T18:16:26-07:00,2018-03-09T18:48:55-07:00,1949,7.740,0,0
3/9/18,walking,walking,2018-03-09T19:13:07-07:00,2018-03-09T19:23:47-07:00,640,0.447,961,43
3/9/18,walking,walking,2018-03-09T19:28:02-07:00,2018-03-09T19:31:29-07:00,207,0.181,345,17
3/10/18,transport,transport,2018-03-10T09:34:25-07:00,2018-03-10T09:38:16-07:00,231,1.049,0,0
