Date,Type,Name,Start,End,Duration
11/13/17,place,Unknown,2017-11-13T09:17:10-07:00,2017-11-13T09:32:11-07:00,901
11/13/17,move,walking,2017-11-13T09:32:11-07:00,2017-11-13T09:35:27-07:00,196
11/14/17,move,transport,2017-11-14T06:37:47-07:00,2017-11-14T06:43:27-07:00,340
11/14/17,place,Unknown,2017-11-14T06:43:27-07:00,2017-11-14T07:17:27-07:00,2040
11/14/17,move,transport,2017-11-14T07:17:27-07:00,2017-11-14T09:11:59-07:00,6872
11/14/17,place,Unknown,2017-11-14T09:11:59-07:00,2017-11-14T09:22:49-07:00,650
11/14/17,move,transport,2017-11-14T09:41:18-07:00,2017-11-14T10:41:36-07:00,3618
11/14/17,place,Unknown,2017-11-14T10:42:00-07:00,2017-11-14T13:48:57-07:00,11217
11/14/17,move,walking,2017-11-14T13:48:57-07:00,2017-11-14T13:51:59-07:00,182
11/14/17,place,Unknown,2017-11-14T13:52:00-07:00,2017-11-15T00:00:00-07:00,36480
11/15/17,place,Unknown,2017-11-15T00:00:00-07:00,2017-11-15T01:11:09-07:00,4269
11/15/17,move,walking,2017-11-15T01:11:09-07:00,2017-11-15T01:16:09-07:00,300
11/15/17,place,Unknown,2017-11-15T01:16:10-07:00,2017-11-15T02:10:15-07:00,3245
11/15/17,place,Unknown,2017-11-15T15:58:39-07:00,2017-11-15T20:40:09-07:00,16890
11/15/17,place,Unknown,2017-11-15T20:40:10-07:00,2017-11-16T00:00:00-07:00,11990
11/16/17,place,Unknown,2017-11-16T00:00:00-07:00,2017-11-16T13:02:43-07:00,46963
11/16/17,move,transport,2017-11-16T13:02:43-07:00,2017-11-16T13:19:23-07:00,1000
11/16/17,place,Unknown,2017-11-16T13:19:23-07:00,2017-11-16T13:21:47-07:00,144
11/16/17,place,Unknown,2017-11-16T13:21:48-07:00,2017-11-16T14:21:35-07:00,3587
11/16/17,move,transport,2017-11-16T14:21:35-07:00,2017-11-16T14:35:13-07:00,818
11/16/17,place,Unknown,2017-11-16T14:35:14-07:00,2017-11-16T15:25:00-07:00,2986
11/16/17,place,Unknown,2017-11-16T15:25:01-07:00,2017-11-16T15:31:43-07:00,402
11/16/17,place,Unknown,2017-11-16T15:31:43-07:00,2017-11-16T15:54:06-07:00,1343
11/16/17,place,Unknown,2017-11-16T15:54:06-07:00,2017-11-16T16:29:42-07:00,2136
11/16/17,place,Unknown,2017-11-16T16:29:43-07:00,2017-11-16T20:28:26-07:00,14323
11/16/17,place,Unknown,2017-11-16T20:28:27-07:00,2017-11-16T20:50:57-07:00,1350
11/16/17,place,Unknown,2017-11-16T20:50:58-07:00,2017-11-16T21:10:48-07:00,1190
11/16/17,place,Unknown,2017-11-16T21:10:50-07:00,2017-11-16T22:50:43-07:00,5993
11/16/17,move,transport,2017-11-16T22:50:43-07:00,2017-11-16T22:54:34-07:00,231
11/16/17,place,Unknown,2017-11-16T22:54:35-07:00,2017-11-17T00:00:00-07:00,3925
11/17/17,place,Unknown,2017-11-17T00:00:00-07:00,2017-11-17T20:43:16-07:00,74596
