Date,Activity,Group,Duration,Distance,Steps,Calories
2/26/18,transport,transport,2567,9.307,0,0
2/26/18,walking,walking,1646,1.102,2648,105
2/27/18,walking,walking,1904,1.445,3279,138
2/27/18,transport,transport,4693,26.291,0,0
2/28/18,walking,walking,40,0.019,60,2
3/1/18,walking,walking,2981,1.676,4490,160
3/1/18,transport,transport,3032,15.854,0,0
3/2/18,walking,walking,418,0.260,563,25
3/2/18,transport,transport,468,3.354,0,0
3/3/18,transport,transport,770,1.926,0,0
3/4/18,walking,walking,2922,1.788,4249,171
3/4/18,transport,transport,2356,6.503,0,0
