Date,Type,Name,Start,End,Duration
10/16/17,place,Unknown,2017-10-16T18:28:35-07:00,2017-10-16T19:58:38-07:00,5403
10/16/17,move,transport,2017-10-16T19:58:38-07:00,2017-10-16T21:11:25-07:00,4367
10/16/17,place,Unknown,2017-10-16T21:11:26-07:00,2017-10-17T00:00:00-07:00,10114
10/17/17,place,Unknown,2017-10-17T00:00:00-07:00,2017-10-17T08:15:57-07:00,29757
10/17/17,move,transport,2017-10-17T08:15:57-07:00,2017-10-17T08:32:37-07:00,1000
10/17/17,place,Unknown,2017-10-17T08:32:37-07:00,2017-10-17T08:38:47-07:00,370
10/17/17,place,Unknown,2017-10-17T08:38:47-07:00,2017-10-17T13:21:01-07:00,16934
10/17/17,move,transport,2017-10-17T13:21:01-07:00,2017-10-17T13:28:31-07:00,450
10/17/17,place,Unknown,2017-10-17T13:28:32-07:00,2017-10-17T13:49:10-07:00,1238
10/17/17,move,transport,2017-10-17T13:49:10-07:00,2017-10-17T13:53:58-07:00,288
10/17/17,place,Unknown,2017-10-17T13:53:59-07:00,2017-10-17T14:20:29-07:00,1590
10/17/17,move,transport,2017-10-17T14:20:29-07:00,2017-10-17T14:32:39-07:00,730
10/17/17,place,Unknown,2017-10-17T14:32:40-07:00,2017-10-17T14:42:45-07:00,605
10/17/17,move,walking,2017-10-17T14:42:45-07:00,2017-10-17T14:58:38-07:00,953
10/17/17,place,Unknown,2017-10-17T14:58:39-07:00,2017-10-17T15:19:00-07:00,1221
10/17/17,place,Unknown,2017-10-17T15:19:01-07:00,2017-10-17T15:44:49-07:00,1548
10/17/17,place,Unknown,2017-10-17T15:44:50-07:00,2017-10-17T15:51:40-07:00,410
10/17/17,move,walking,2017-10-17T15:51:40-07:00,2017-10-17T16:10:34-07:00,1134
10/17/17,move,transport,2017-10-17T16:10:34-07:00,2017-10-17T16:51:17-07:00,2443
10/17/17,move,walking,2017-10-17T16:56:54-07:00,2017-10-17T16:57:24-07:00,30
10/17/17,place,Unknown,2017-10-17T18:09:18-07:00,2017-10-18T00:00:00-07:00,21042
10/18/17,place,Unknown,2017-10-18T00:00:00-07:00,2017-10-18T08:52:42-07:00,31962
10/18/17,move,transport,2017-10-18T08:52:42-07:00,2017-10-18T09:01:48-07:00,546
10/18/17,place,Unknown,2017-10-18T09:01:49-07:00,2017-10-18T15:30:59-07:00,23350
10/18/17,move,transport,2017-10-18T15:30:59-07:00,2017-10-18T15:45:57-07:00,898
10/18/17,place,Unknown,2017-10-18T15:45:58-07:00,2017-10-18T15:55:16-07:00,558
10/18/17,move,walking,2017-10-18T15:55:16-07:00,2017-10-18T16:15:39-07:00,1223
10/18/17,place,Unknown,2017-10-18T16:15:40-07:00,2017-10-18T16:47:35-07:00,1915
10/18/17,place,Unknown,2017-10-18T16:47:36-07:00,2017-10-18T17:22:40-07:00,2104
10/18/17,move,walking,2017-10-18T17:22:40-07:00,2017-10-18T17:34:44-07:00,724
10/18/17,place,Unknown,2017-10-18T17:34:45-07:00,2017-10-18T17:39:42-07:00,297
10/18/17,move,transport,2017-10-18T17:39:42-07:00,2017-10-18T17:55:08-07:00,926
10/18/17,place,Unknown,2017-10-18T17:55:09-07:00,2017-10-18T19:15:33-07:00,4824
10/18/17,move,transport,2017-10-18T19:15:33-07:00,2017-10-18T19:22:31-07:00,418
10/18/17,place,Unknown,2017-10-18T19:22:31-07:00,2017-10-18T21:11:43-07:00,6552
10/19/17,move,transport,2017-10-19T12:54:33-07:00,2017-10-19T13:05:24-07:00,651
10/19/17,place,Unknown,2017-10-19T13:05:25-07:00,2017-10-19T13:32:19-07:00,1614
10/19/17,move,transport,2017-10-19T13:32:19-07:00,2017-10-19T13:35:44-07:00,205
