Date,Activity,Group,Duration,Distance,Steps,Calories
1/1/18,transport,transport,2878,12.071,0,0
1/1/18,walking,walking,832,0.522,1403,50
1/1/18,transport,transport,2878,12.071,0,0
1/1/18,walking,walking,832,0.522,1403,50
1/2/18,transport,transport,695,1.800,0,0
1/4/18,walking,walking,6536,3.832,9206,365
1/4/18,transport,transport,4096,26.735,0,0
1/5/18,transport,transport,431,1.681,0,0
1/7/18,transport,transport,12566,55.745,0,0
1/7/18,walking,walking,5811,4.101,9249,391
1/8/18,transport,transport,34882,0.938,0,0
1/8/18,walking,walking,40,0.019,60,2
1/9/18,transport,transport,1502,3.044,0,0
1/9/18,walking,walking,1137,0.598,1374,57
1/10/18,transport,transport,262,0.922,0,0
1/11/18,walking,walking,4746,2.527,6403,241
1/11/18,cycling,cycling,5083,29.131,0,1189
1/12/18,transport,transport,2225,10.170,0,0
1/12/18,walking,walking,2155,1.177,3342,112
1/15/18,walking,walking,70,0.032,105,3
1/15/18,transport,transport,325,1.269,0,0
1/16/18,transport,transport,3336,5.339,0,0
1/16/18,walking,walking,1593,0.951,2240,91
1/17/18,transport,transport,3688,41.701,0,0
1/17/18,walking,walking,7023,3.375,9900,322
1/18/18,transport,transport,339,1.519,0,0
1/21/18,transport,transport,2666,9.401,0,0
1/21/18,walking,walking,2333,1.127,2206,108
1/21/18,cycling,cycling,1137,7.146,0,291
1/22/18,transport,transport,7054,24.769,0,0
1/22/18,walking,walking,7546,5.602,11994,534
1/23/18,transport,transport,5017,13.240,0,0
1/23/18,walking,walking,1826,1.113,2526,106
1/24/18,transport,transport,13088,46.268,0,0
1/24/18,walking,walking,5552,3.130,7443,299
1/25/18,transport,transport,5870,14.015,0,0
1/25/18,walking,walking,2293,1.588,3372,151
1/26/18,transport,transport,342,1.006,0,0
1/27/18,walking,walking,244,0.144,362,14
1/28/18,transport,transport,6501,36.544,0,0
1/28/18,walking,walking,3361,1.995,4604,190
1/29/18,walking,walking,190,0.123,300,12
1/30/18,walking,walking,137,0.060,194,6
1/30/18,transport,transport,2369,10.849,0,0
1/31/18,walking,walking,2948,1.591,3609,152
1/31/18,transport,transport,6333,25.750,0,0
2/1/18,transport,transport,1601,19.463,0,0
2/3/18,transport,transport,4535,12.920,0,0
2/3/18,walking,walking,1707,1.212,2513,116
2/4/18,transport,transport,3025,3.135,0,0
2/4/18,walking,walking,4433,3.564,6801,340
2/5/18,walking,walking,700,0.472,1076,45
2/5/18,transport,transport,546,1.857,0,0
