Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-10-2017","2,140","4,662","3.46","11","1,350","69","4","17","495"
"02-10-2017","2,638","9,886","7.35","42","1,113","69","14","70","1,072"
"03-10-2017","1,955","2,332","1.73","4","1,213","65","0","0","311"
"04-10-2017","2,190","5,759","4.28","43","1,337","58","14","31","603"
"05-10-2017","2,293","6,303","4.68","15","1,075","84","6","31","706"
"06-10-2017","2,212","5,730","4.26","0","1,223","116","2","7","627"
"07-10-2017","2,331","7,197","5.35","10","1,005","64","18","41","750"
"08-10-2017","2,386","6,463","4.8","7","1,080","71","0","44","784"
"09-10-2017","2,173","5,051","3.75","8","1,102","51","16","27","566"
"10-10-2017","1,984","3,398","2.52","3","1,279","51","12","6","356"
"11-10-2017","2,124","4,142","3.08","6","1,236","67","2","16","505"
"12-10-2017","2,185","3,660","2.72","4","1,153","93","0","0","479"
"13-10-2017","2,303","6,171","4.59","27","1,319","85","10","26","677"
"14-10-2017","2,306","7,622","5.66","33","1,326","56","19","39","724"
"15-10-2017","2,395","7,715","5.73","13","1,016","99","34","19","805"
"16-10-2017","2,159","3,539","2.63","13","1,268","96","9","0","527"
"17-10-2017","2,301","5,981","4.44","26","1,320","84","9","27","692"
"18-10-2017","2,365","7,092","5.27","33","1,172","117","8","29","798"
"19-10-2017","2,295","5,769","4.29","18","995","90","33","17","738"
"20-10-2017","2,141","5,495","4.08","1","1,196","60","4","28","530"
"21-10-2017","2,749","9,832","7.31","39","1,091","167","27","33","1,233"
"22-10-2017","2,330","7,559","5.62","66","1,323","46","22","49","750"
"23-10-2017","2,356","5,936","4.41","39","1,165","118","19","21","804"
"24-10-2017","2,265","5,685","4.22","13","1,067","64","13","34","667"
"25-10-2017","2,420","8,052","5.98","15","1,230","65","5","51","848"
"26-10-2017","2,040","4,093","3.04","26","913","43","10","22","411"
"27-10-2017","2,135","5,615","4.17","12","1,352","47","13","28","515"
"28-10-2017","1,962","2,489","1.85","5","1,310","66","0","0","320"
"29-10-2017","2,172","5,097","3.79","11","1,326","86","5","23","574"
"30-10-2017","2,050","2,764","2.05","5","1,250","71","0","0","361"
"31-10-2017","2,700","11,601","8.62","44","1,182","90","24","71","1,174"
