Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
18/06/18,walking,walking,2018-06-18T08:37:17+02:00,2018-06-18T08:38:56+02:00,99,0.074,149,3
18/06/18,transport,transport,2018-06-18T08:45:46+02:00,2018-06-18T08:51:08+02:00,322,1.238,0,0
18/06/18,walking,walking,2018-06-18T08:51:08+02:00,2018-06-18T08:53:54+02:00,166,0.153,307,7
18/06/18,transport,transport,2018-06-18T08:53:55+02:00,2018-06-18T09:55:19+02:00,3684,58.180,0,0
18/06/18,walking,walking,2018-06-18T09:55:19+02:00,2018-06-18T10:03:01+02:00,462,0.600,863,27
18/06/18,transport,transport,2018-06-18T10:03:01+02:00,2018-06-18T10:10:55+02:00,474,3.105,0,0
18/06/18,walking,walking,2018-06-18T10:10:55+02:00,2018-06-18T10:14:42+02:00,227,0.183,266,8
18/06/18,walking,walking,2018-06-18T10:14:43+02:00,2018-06-18T10:17:55+02:00,192,0.217,289,10
18/06/18,walking,walking,2018-06-18T10:24:41+02:00,2018-06-18T10:40:15+02:00,934,1.299,1666,58
18/06/18,walking,walking,2018-06-18T15:26:24+02:00,2018-06-18T15:27:39+02:00,75,0.056,112,2
18/06/18,walking,walking,2018-06-18T15:31:49+02:00,2018-06-18T15:45:06+02:00,797,1.209,1615,54
18/06/18,transport,transport,2018-06-18T15:45:06+02:00,2018-06-18T15:52:12+02:00,426,2.983,0,0
18/06/18,walking,walking,2018-06-18T15:52:13+02:00,2018-06-18T15:58:44+02:00,391,0.596,591,27
18/06/18,transport,transport,2018-06-18T16:05:57+02:00,2018-06-18T16:55:47+02:00,2990,56.154,0,0
18/06/18,walking,walking,2018-06-18T16:55:47+02:00,2018-06-18T17:12:18+02:00,991,1.380,1843,61
