Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-04-2017","2,561","8,742","6.5","27","1,200","110","29","37","1,001"
"02-04-2017","2,700","11,514","8.55","23","1,254","93","19","74","1,161"
"03-04-2017","2,337","6,772","5.03","16","1,298","142","0","0","744"
"04-04-2017","2,041","3,989","2.96","11","1,302","72","0","0","402"
"05-04-2017","2,296","7,923","5.89","45","1,295","132","11","2","737"
"06-04-2017","2,499","8,613","6.4","20","1,208","127","6","20","894"
"07-04-2017","2,061","3,913","2.91","11","1,047","86","0","0","408"
"08-04-2017","2,746","12,991","9.65","129","1,178","202","41","19","1,300"
"09-04-2017","3,061","9,400","6.98","48","1,095","289","26","30","1,691"
"10-04-2017","2,120","5,438","4.04","13","1,099","97","5","3","526"
"11-04-2017","2,204","6,351","4.72","7","931","137","0","0","641"
"12-04-2017","2,137","5,200","3.86","27","1,067","106","0","0","523"
"13-04-2017","2,492","8,421","6.26","6","1,291","139","2","8","905"
"14-04-2017","2,146","4,966","3.69","9","1,202","92","5","5","520"
"15-04-2017","2,704","10,408","7.73","41","1,216","146","34","44","1,204"
"16-04-2017","2,669","12,076","8.97","45","1,222","126","36","56","1,177"
"17-04-2017","2,226","6,312","4.69","8","1,312","117","2","9","642"
"18-04-2017","2,471","9,171","6.81","8","1,278","128","4","30","948"
"19-04-2017","2,148","4,657","3.46","8","1,333","107","0","0","514"
"20-04-2017","2,573","9,061","6.73","25","1,283","101","16","40","1,022"
"21-04-2017","2,155","5,091","3.78","15","1,334","106","0","0","536"
"22-04-2017","1,979","2,279","1.69","1","1,262","72","0","0","302"
"23-04-2017","2,553","7,953","5.91","41","1,268","116","16","40","1,020"
"24-04-2017","2,084","4,233","3.15","8","1,343","97","0","0","453"
"25-04-2017","2,128","5,358","3.98","9","1,342","98","0","0","522"
"26-04-2017","2,066","4,268","3.17","16","1,097","89","0","0","440"
"27-04-2017","2,414","7,305","5.43","10","1,177","151","0","13","854"
"28-04-2017","2,179","5,566","4.14","16","1,332","93","6","9","573"
"29-04-2017","2,046","2,973","2.21","1","1,364","76","0","0","372"
"30-04-2017","2,169","5,002","3.72","0","1,315","125","0","0","561"

