Variable_1,Variable_2,Lag,Correlation,P-value,Significant (p < 0.05)
scooterRiding,kneePain,next_5_days,0.1836452176480219,3.0365636722147693e-16,True
scooterRiding,kneePain,next_4_days,0.18026189774767398,1.0680453363405312e-15,True
scooterRiding,kneePain,next_3_days,0.17453349719846908,8.499461606642336e-15,True
scooterRiding,kneePain,next_2_days,0.1636854042461279,3.5749297287331514e-13,True
swimmingKm,foreheadEyesPain,next_5_days,0.1568909765882937,3.282350742190536e-12,True
swimmingKm,foreheadEyesPain,next_4_days,0.1525018131883276,1.306891316761193e-11,True
manicTimeDelta_corrected,wholeArm,same_day,0.1500013863232767,2.7884074899151098e-11,True
swimmingKm,foreheadEyesPain,next_3_days,0.14950761435747933,3.2789703906149885e-11,True
swimming,foreheadEyesPain,next_5_days,0.1469248275112131,7.144172472646562e-11,True
scooterRiding,kneePain,next_day,0.14661279577569847,7.841739519895852e-11,True
swimming,foreheadEyesPain,next_4_days,0.1414126833353363,3.5978999222254617e-10,True
swimmingKm,foreheadEyesPain,next_2_days,0.13754587400574392,1.0780137313838756e-09,True
scooterRiding,wholeArm,next_day,0.13720427654265552,1.1860293226002145e-09,True
scooterRiding,kneePain,same_day,0.13651931964807412,1.4215189050613847e-09,True
swimming,foreheadEyesPain,next_3_days,0.13590819516201014,1.7002629301027351e-09,True
scooterRiding,wholeArm,next_2_days,0.13310519201555857,3.6625812123259903e-09,True
swimmingKm,foreheadEyesPain,same_day,0.12910002201281337,1.0577203884543884e-08,True
scooterRiding,wholeArm,next_5_days,0.12747976589864662,1.6293563901262137e-08,True
swimmingKm,foreheadEyesPain,next_day,0.12685813017730332,1.9141020700696553e-08,True
manicTimeDelta_corrected,wholeArm,next_day,0.12644662413076765,2.128558679267607e-08,True
scooterRiding,wholeArm,next_3_days,0.12615483535608216,2.2945624225116977e-08,True
swimming,foreheadEyesPain,next_2_days,0.12468812401731963,3.338302219671708e-08,True
scooterRiding,wholeArm,next_4_days,0.12397836628856841,3.996248156708894e-08,True
scooterRiding,wholeArm,same_day,0.12251389614126511,5.729197457519982e-08,True
swimming,foreheadEyesPain,next_day,0.11500369257684269,3.566225874369916e-07,True
swimming,foreheadEyesPain,same_day,0.11052407490567624,9.957485526232494e-07,True
manicTimeDelta_corrected,wholeArm,next_2_days,0.10983881224822252,1.16966081995301e-06,True
manicTimeDelta_corrected,wholeArm,next_3_days,0.0930505350500566,3.8845731901631456e-05,True
whatPulseT_corrected,wholeArm,same_day,0.0896116459606263,7.414416935002704e-05,True
manicTimeDelta_corrected,wholeArm,next_4_days,0.0872677986616161,0.00011453258296627726,True
manicTimeDelta_corrected,wholeArm,next_5_days,0.08474103329620869,0.00018007682853608375,True
scooterRiding,foreheadEyesPain,next_5_days,0.08381503599305587,0.00021191825824152104,True
scooterRiding,foreheadEyesPain,next_4_days,0.08204651552577091,0.000287914934807157,True
scooterRiding,foreheadEyesPain,next_3_days,0.08144201092289777,0.00031928007435845946,True
scooterRiding,foreheadEyesPain,next_2_days,0.07913121207967841,0.0004710750406827357,True
scooterRiding,foreheadEyesPain,next_day,0.07555777822644624,0.0008428714140202963,True
scooterRiding,foreheadEyesPain,same_day,0.07521146470761297,0.0008879118610223424,True
whatPulseT_corrected,wholeArm,next_day,0.0748732961290332,0.0009396792700795972,True
whatPulseT_corrected,foreheadEyesPain,same_day,0.0712537625745481,0.0016412994873286149,True
viaFerrata,foreheadEyesPain,next_day,0.0658170776592853,0.0036497586680651973,True
viaFerrata,foreheadEyesPain,next_2_days,0.06545791025082705,0.003839585983240214,True
whatPulseT_corrected,foreheadEyesPain,next_3_days,0.06473441083836556,0.00424943031933099,True
whatPulseT_corrected,foreheadEyesPain,next_4_days,0.06348028789921466,0.005054736885339667,True
whatPulseT_corrected,foreheadEyesPain,next_day,0.062963376870913,0.005425013229315102,True
whatPulseT_corrected,foreheadEyesPain,next_2_days,0.06203377602448296,0.006152961492518868,True
viaFerrata,foreheadEyesPain,next_3_days,0.061196956115366234,0.00688219896089117,True
viaFerrata,foreheadEyesPain,next_4_days,0.06088554858880927,0.007172790455729989,True
whatPulseT_corrected,foreheadEyesPain,next_5_days,0.05936110948403124,0.0087601876768364,True
viaFerrata,foreheadEyesPain,next_5_days,0.05771182169923385,0.010824281856098922,True
tracker_mean_distance,kneePain,same_day,0.05699365268240336,0.011829033807727724,True
whatPulseT_corrected,wholeArm,next_2_days,0.05477267567689728,0.015591511097329615,True
climbingMeanEffortIntensity,kneePain,same_day,-0.046182485422380556,0.04143569050846623,True
timeDrivingCar,kneePain,same_day,-0.047461373555784225,0.036111064520539964,True
tracker_mean_distance,wholeArm,next_2_days,-0.047600664789141156,0.03561531019279918,True
climbingMeanEffortIntensity,kneePain,next_3_days,-0.04825669357002579,0.03314802786393424,True
swimmingKm,kneePain,next_4_days,-0.050082594530476254,0.02703657166309905,True
swimmingKm,kneePain,next_3_days,-0.05062027693601548,0.02543332602445755,True
climbingMeanEffortIntensity,kneePain,next_2_days,-0.05120836951636159,0.023774530859108946,True
climbingDenivelation,foreheadEyesPain,same_day,-0.05246554626316055,0.020507764404227437,True
swimmingKm,kneePain,next_2_days,-0.052531521302776496,0.02038160130738745,True
swimmingKm,kneePain,next_5_days,-0.053046041129778815,0.01918094122169569,True
cycling,kneePain,next_3_days,-0.054902813206822706,0.01534661981047747,True
climbingMeanEffortIntensity,foreheadEyesPain,same_day,-0.05542365696882416,0.01437495261232228,True
tracker_mean_distance,foreheadEyesPain,next_day,-0.055433804248145625,0.014382126707849737,True
climbingMeanEffortIntensity,kneePain,next_day,-0.05570127549456439,0.01391683706228821,True
tracker_mean_distance,wholeArm,same_day,-0.05670783274984243,0.012260384379064992,True
tracker_mean_distance,foreheadEyesPain,next_5_days,-0.05694406943582751,0.011924705632560808,True
tracker_mean_distance,foreheadEyesPain,next_3_days,-0.05793690695498888,0.010519239773581898,True
tracker_mean_distance,foreheadEyesPain,next_4_days,-0.05830094713984112,0.010042034453639543,True
tracker_mean_distance,foreheadEyesPain,next_2_days,-0.05897856553044627,0.009204821573444245,True
cycling,kneePain,next_4_days,-0.060753260373179546,0.007299531693166476,True
cycling,kneePain,next_5_days,-0.06337988887401755,0.005124816729160509,True
cycling,kneePain,same_day,-0.0647900599738042,0.004206787137371029,True
tracker_mean_distance,wholeArm,next_day,-0.06479356145463909,0.004214491982554031,True
timeDrivingCar,kneePain,next_2_days,-0.07273812229253941,0.0013117262992482287,True
timeDrivingCar,kneePain,next_day,-0.0732038561267769,0.00122055746394329,True
climbing,kneePain,same_day,-0.07574791360759599,0.000815137896870909,True
timeDrivingCar,kneePain,next_3_days,-0.07655464232713509,0.0007183165627658474,True
timeDrivingCar,kneePain,next_5_days,-0.07695495269008959,0.0006732901627908674,True
climbingDenivelation,kneePain,same_day,-0.07717003600668347,0.0006481101400901469,True
climbing,kneePain,next_5_days,-0.07981171622675617,0.0004205304440027325,True
tracker_mean_denivelation,foreheadEyesPain,next_5_days,-0.07985613076802923,0.0006366297287228211,True
tracker_mean_denivelation,foreheadEyesPain,next_3_days,-0.08018174530969027,0.000604737875755358,True
timeDrivingCar,kneePain,next_4_days,-0.08061767548535555,0.0003672227972617503,True
climbing,kneePain,next_4_days,-0.08177521945747673,0.000301616593610792,True
tracker_mean_denivelation,foreheadEyesPain,next_4_days,-0.08358779816906038,0.0003493409413399986,True
tracker_mean_denivelation,foreheadEyesPain,next_day,-0.08587073518504301,0.00023908326607316246,True
climbing,kneePain,next_3_days,-0.08596548528654332,0.00014483605137816533,True
tracker_mean_denivelation,foreheadEyesPain,next_2_days,-0.08716081916506088,0.00019218020059639504,True
climbingMaxEffortIntensity,kneePain,same_day,-0.0873902387160791,0.0001115597866280703,True
climbingDenivelation,kneePain,next_5_days,-0.08788620344087451,0.00010233644241204824,True
climbing,kneePain,next_2_days,-0.08912723245394874,8.146069424788173e-05,True
climbing,kneePain,next_day,-0.08944869411282243,7.674953997520316e-05,True
climbingDenivelation,kneePain,next_4_days,-0.08979076484489931,7.20196554946371e-05,True
climbingDenivelation,kneePain,next_3_days,-0.09319499544703713,3.777965801690511e-05,True
climbingMaxEffortIntensity,kneePain,next_5_days,-0.09384737198943757,3.330163920563114e-05,True
climbingMaxEffortIntensity,kneePain,next_4_days,-0.09391314776822067,3.2879223742859914e-05,True
climbingMaxEffortIntensity,kneePain,next_3_days,-0.0967445511343589,1.8830346880506308e-05,True
climbingDenivelation,kneePain,next_2_days,-0.09715921371212903,1.7331938676795188e-05,True
climbingMaxEffortIntensity,kneePain,next_day,-0.09820041895248303,1.4053727449555894e-05,True
tracker_mean_distance,foreheadEyesPain,same_day,-0.09824879617084534,1.3846198193212809e-05,True
climbingMaxEffortIntensity,kneePain,next_2_days,-0.09913314419628533,1.1626621554992334e-05,True
climbingDenivelation,kneePain,next_day,-0.0992536416817468,1.1343924767358501e-05,True
tracker_mean_denivelation,foreheadEyesPain,same_day,-0.10186790621679129,1.285520391445546e-05,True
timeDrivingCar,foreheadEyesPain,same_day,-0.1055492594886827,2.99747161803966e-06,True
timeDrivingCar,foreheadEyesPain,next_day,-0.1122807518344255,6.714194861146276e-07,True
timeDrivingCar,foreheadEyesPain,next_2_days,-0.12652465199721427,2.0861796839984918e-08,True
timeDrivingCar,foreheadEyesPain,next_3_days,-0.13314774947392866,3.6205827485567712e-09,True
timeDrivingCar,foreheadEyesPain,next_4_days,-0.13636696309914093,1.497326430560342e-09,True
timeDrivingCar,foreheadEyesPain,next_5_days,-0.13696667206199262,1.267305271939242e-09,True
timeDrivingCar,wholeArm,same_day,-0.15071973167375863,2.238077264276497e-11,True
timeDrivingCar,wholeArm,next_4_days,-0.15390480248263327,8.439219471260874e-12,True
timeDrivingCar,wholeArm,next_5_days,-0.15734224172805614,2.841288960463402e-12,True
timeDrivingCar,wholeArm,next_day,-0.1578897857112186,2.383582667486215e-12,True
timeDrivingCar,wholeArm,next_3_days,-0.15866081651750621,1.8593143081694023e-12,True
timeDrivingCar,wholeArm,next_2_days,-0.16307843536171232,4.374991050404714e-13,True
