Variable_1,Variable_2,Lag,Correlation,P-value,Significant (p < 0.05)
climbing,climbingMaxEffortIntensity,same_day,0.9830515491610217,0.0,True
climbingMaxEffortIntensity,climbing,same_day,0.9830515491610216,0.0,True
climbingMeanEffortIntensity,climbingMaxEffortIntensity,same_day,0.8977367470581994,0.0,True
climbingMaxEffortIntensity,climbingMeanEffortIntensity,same_day,0.8977367470581993,0.0,True
climbingMeanEffortIntensity,climbing,same_day,0.8887170884870816,0.0,True
climbing,climbingMeanEffortIntensity,same_day,0.8887170884870816,0.0,True
swimming,swimmingKm,same_day,0.8719855614017911,0.0,True
swimmingKm,swimming,same_day,0.8719855614017911,0.0,True
climbingMaxEffortIntensity,climbingDenivelation,same_day,0.8703614530378233,0.0,True
climbingDenivelation,climbingMaxEffortIntensity,same_day,0.8703614530378232,0.0,True
climbingDenivelation,climbing,same_day,0.8676193727792932,0.0,True
climbing,climbingDenivelation,same_day,0.8676193727792932,0.0,True
whatPulseT_corrected,manicTimeDelta_corrected,same_day,0.792611030992285,0.0,True
manicTimeDelta_corrected,whatPulseT_corrected,same_day,0.792611030992285,0.0,True
climbingDenivelation,climbingMeanEffortIntensity,same_day,0.7439174519320216,0.0,True
climbingMeanEffortIntensity,climbingDenivelation,same_day,0.7439174519320216,0.0,True
tracker_mean_denivelation,tracker_mean_distance,same_day,0.6245436907713198,3.574149194251923e-198,True
tracker_mean_distance,tracker_mean_denivelation,same_day,0.6245436907713198,3.574149194251923e-198,True
swimmingKm,swimming,next_5_days,0.48512778290611586,1.3247305267368167e-115,True
swimmingKm,swimming,next_4_days,0.4846922785483879,2.2697621083635216e-115,True
swimmingKm,swimming,next_3_days,0.47083903859591253,4.177746545621829e-108,True
swimming,swimmingKm,next_5_days,0.4382235747504367,2.8751059721436713e-92,True
swimming,swimmingKm,next_4_days,0.43502101178541286,8.369481109699369e-91,True
swimming,swimmingKm,next_3_days,0.4194828804535521,6.398718762802925e-84,True
swimmingKm,swimming,next_2_days,0.4120730888778469,9.191293403304391e-81,True
swimming,swimmingKm,next_2_days,0.38723721359223895,9.568426317823106e-71,True
swimmingKm,swimming,next_day,0.3511986519895698,1.1376419474259012e-57,True
swimming,swimmingKm,next_day,0.34504793256911354,1.3300385597795955e-55,True
whatPulseT_corrected,manicTimeDelta_corrected,next_day,0.29804338486303705,2.8233103572817997e-41,True
manicTimeDelta_corrected,whatPulseT_corrected,next_day,0.2899820939518859,4.5322654389593074e-39,True
manicTimeDelta_corrected,whatPulseT_corrected,next_2_days,0.2787227014101904,4.156975466209097e-36,True
whatPulseT_corrected,manicTimeDelta_corrected,next_2_days,0.2727800145501783,1.3418537974189059e-34,True
scooterRiding,surfing,next_5_days,0.26636173932500523,5.194679775253555e-33,True
scooterRiding,surfing,next_4_days,0.253920919307776,4.692245013465102e-30,True
manicTimeDelta_corrected,whatPulseT_corrected,next_3_days,0.251899267003995,1.3698723815748468e-29,True
tracker_mean_distance,timeDrivingCar,same_day,0.24951192765692953,4.642132278118741e-29,True
timeDrivingCar,tracker_mean_distance,same_day,0.24951192765692948,4.642132278118741e-29,True
manicTimeDelta_corrected,whatPulseT_corrected,next_4_days,0.24419860999449855,7.430698864240205e-28,True
whatPulseT_corrected,manicTimeDelta_corrected,next_3_days,0.2374118435488332,2.239005377933889e-26,True
cycling,tracker_mean_denivelation,same_day,0.2372087509035473,8.742674859073521e-25,True
tracker_mean_denivelation,cycling,same_day,0.23720875090354726,8.742674859073521e-25,True
scooterRiding,surfing,next_3_days,0.23017415052779525,7.530436400101865e-25,True
manicTimeDelta_corrected,whatPulseT_corrected,next_5_days,0.23003535482388665,8.046232156000831e-25,True
surfing,scooterRiding,same_day,0.2299741786571204,8.060454126654803e-25,True
scooterRiding,surfing,same_day,0.22997417865712036,8.060454126654803e-25,True
cycling,climbingMaxEffortIntensity,next_5_days,0.22727184515646856,2.98211997332099e-24,True
cycling,climbingMaxEffortIntensity,next_4_days,0.22033485008739354,7.408540530093262e-23,True
whatPulseT_corrected,manicTimeDelta_corrected,next_4_days,0.21919481472953112,1.2431972450747027e-22,True
climbingMaxEffortIntensity,climbing,next_5_days,0.21437671534191244,1.073363965710829e-21,True
cycling,climbing,next_5_days,0.21377147559132664,1.4020647901945022e-21,True
climbing,climbingMaxEffortIntensity,next_5_days,0.21123746532162635,4.2530526413482e-21,True
whatPulseT_corrected,manicTimeDelta_corrected,next_5_days,0.2100096177563347,7.244436544426286e-21,True
cycling,climbing,next_4_days,0.2100074869954307,7.251114350597903e-21,True
climbingDenivelation,climbing,next_5_days,0.2021778738500369,2.0022226043452926e-19,True
cycling,climbingMeanEffortIntensity,next_5_days,0.20166006443737242,2.4817986767839826e-19,True
climbingDenivelation,climbingMaxEffortIntensity,next_5_days,0.20141708419664195,2.7443423108818834e-19,True
climbing,climbingMaxEffortIntensity,next_4_days,0.1962637225932627,2.2467111929930338e-18,True
climbingMaxEffortIntensity,climbing,next_4_days,0.19547690562281517,3.0814944065396216e-18,True
climbing,climbingMaxEffortIntensity,next_3_days,0.1878011634468572,6.265497337607842e-17,True
climbingMaxEffortIntensity,cycling,next_5_days,0.18702606989531473,8.433429308030959e-17,True
climbingMaxEffortIntensity,cycling,next_4_days,0.1864951821385306,1.032932997799704e-16,True
climbingMeanEffortIntensity,cycling,next_3_days,0.1863731430203611,1.0821314481570834e-16,True
climbing,climbingMeanEffortIntensity,next_5_days,0.18569918693738185,1.398390314384071e-16,True
climbing,climbingMaxEffortIntensity,next_2_days,0.18560070252436264,1.4516581550612292e-16,True
kneePain,scooterRiding,next_5_days,0.18524016017471998,1.6642785181765745e-16,True
climbing,climbingDenivelation,next_5_days,0.1848081949470149,1.959695411761348e-16,True
kneePain,scooterRiding,next_4_days,0.18478570597933508,1.9764157077682598e-16,True
climbingMeanEffortIntensity,climbing,next_5_days,0.18475000578420944,2.0032474411849488e-16,True
climbingMaxEffortIntensity,climbingMeanEffortIntensity,next_5_days,0.18438862179615667,2.2958844394901347e-16,True
