Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/27/18,transport,transport,2018-06-27T07:51:47-07:00,2018-06-27T07:59:34-07:00,467,2.559,0,0
6/27/18,walking,walking,2018-06-27T08:58:28-07:00,2018-06-27T08:58:47-07:00,19,0.009,30,1
6/27/18,walking,walking,2018-06-27T14:25:33-07:00,2018-06-27T14:25:52-07:00,19,0.009,30,1
6/27/18,transport,transport,2018-06-27T17:33:43-07:00,2018-06-27T17:50:23-07:00,1000,2.260,0,0
6/27/18,walking,walking,2018-06-27T17:50:23-07:00,2018-06-27T18:03:14-07:00,771,0.481,975,46
6/27/18,walking,walking,2018-06-27T18:04:36-07:00,2018-06-27T18:05:36-07:00,60,0.028,90,3
6/27/18,walking,walking,2018-06-27T19:10:19-07:00,2018-06-27T19:11:22-07:00,63,0.028,90,3
6/27/18,walking,walking,2018-06-27T19:14:26-07:00,2018-06-27T19:23:29-07:00,543,0.455,852,43
6/27/18,transport,transport,2018-06-27T19:38:36-07:00,2018-06-27T19:45:11-07:00,395,2.669,0,0
6/27/18,transport,transport,2018-06-27T22:01:55-07:00,2018-06-27T22:09:05-07:00,430,2.413,0,0
