Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
12/10/17,Unknown,2017-12-10T00:00:00-07:00,2017-12-10T08:52:45-07:00,31965,34.140528,-116.39817,,
12/10/17,Unknown,2017-12-10T09:13:26-07:00,2017-12-10T10:17:39-07:00,3853,34.133591,-116.31575,,
12/10/17,Unknown,2017-12-10T11:04:27-07:00,2017-12-10T12:57:23-07:00,6776,34.000237,-116.14661,,
12/10/17,Unknown,2017-12-10T13:03:05-07:00,2017-12-10T13:22:52-07:00,1187,33.999273,-116.14755,,
12/10/17,Unknown,2017-12-10T13:29:15-07:00,2017-12-10T13:54:01-07:00,1486,34.001107,-116.14776,,
12/10/17,Unknown,2017-12-10T13:57:04-07:00,2017-12-10T15:55:55-07:00,7131,34.000237,-116.14661,,
12/10/17,Unknown,2017-12-10T16:02:54-07:00,2017-12-10T17:23:01-07:00,4807,33.997557,-116.1467,,
12/10/17,Unknown,2017-12-10T17:29:51-07:00,2017-12-10T18:05:29-07:00,2138,34.000237,-116.14661,,
12/10/17,Unknown,2017-12-10T18:34:12-07:00,2017-12-10T20:22:58-07:00,6526,34.134346,-116.31466,,
12/10/17,Unknown,2017-12-10T20:37:49-07:00,2017-12-10T22:34:06-07:00,6977,34.126614,-116.40451,,
12/10/17,Unknown,2017-12-10T22:40:27-07:00,2017-12-11T00:00:00-07:00,4773,34.140445,-116.39614,,
