Date,Type,Name,Start,End,Duration
5/27/18,place,Unknown,2018-05-27T00:29:15-07:00,2018-05-27T01:17:41-07:00,2906
5/27/18,move,transport,2018-05-27T01:17:41-07:00,2018-05-27T01:31:43-07:00,842
5/27/18,move,transport,2018-05-27T01:33:54-07:00,2018-05-27T01:35:24-07:00,90
5/27/18,move,walking,2018-05-27T02:57:15-07:00,2018-05-27T02:58:23-07:00,68
5/27/18,move,walking,2018-05-27T04:11:54-07:00,2018-05-27T04:12:24-07:00,30
5/27/18,move,walking,2018-05-27T04:12:38-07:00,2018-05-27T04:12:40-07:00,2
5/27/18,move,transport,2018-05-27T04:35:03-07:00,2018-05-27T04:37:10-07:00,127
5/27/18,move,transport,2018-05-27T05:20:12-07:00,2018-05-27T05:22:12-07:00,120
5/27/18,move,walking,2018-05-27T07:21:10-07:00,2018-05-27T07:21:40-07:00,30
5/27/18,move,transport,2018-05-27T09:34:54-07:00,2018-05-27T09:35:04-07:00,10
5/27/18,move,walking,2018-05-27T10:23:19-07:00,2018-05-27T10:23:49-07:00,30
5/27/18,move,walking,2018-05-27T10:26:31-07:00,2018-05-27T10:27:31-07:00,60
5/27/18,move,walking,2018-05-27T10:29:22-07:00,2018-05-27T10:29:52-07:00,30
5/27/18,move,walking,2018-05-27T10:44:14-07:00,2018-05-27T10:49:38-07:00,324
5/27/18,move,walking,2018-05-27T11:53:21-07:00,2018-05-27T11:53:51-07:00,30
5/27/18,move,walking,2018-05-27T12:02:16-07:00,2018-05-27T12:07:55-07:00,339
