Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/1/18,transport,transport,2018-07-01T09:11:02-07:00,2018-07-01T09:20:05-07:00,543,2.183,0,0
7/1/18,walking,walking,2018-07-01T15:10:20-07:00,2018-07-01T15:10:39-07:00,19,0.009,30,1
7/1/18,transport,transport,2018-07-01T15:41:57-07:00,2018-07-01T16:32:53-07:00,3056,28.366,0,0
7/1/18,transport,transport,2018-07-01T17:05:49-07:00,2018-07-01T17:30:57-07:00,1508,15.002,0,0
7/1/18,walking,walking,2018-07-01T17:33:27-07:00,2018-07-01T17:34:54-07:00,87,0.040,130,4
7/1/18,walking,walking,2018-07-01T17:37:27-07:00,2018-07-01T17:44:51-07:00,444,0.266,856,25
7/1/18,walking,walking,2018-07-01T17:50:10-07:00,2018-07-01T18:01:32-07:00,682,0.505,1312,48
7/1/18,walking,walking,2018-07-01T18:02:13-07:00,2018-07-01T18:04:51-07:00,158,0.111,237,11
7/1/18,walking,walking,2018-07-01T18:10:21-07:00,2018-07-01T18:23:49-07:00,808,0.569,1459,54
7/1/18,walking,walking,2018-07-01T18:26:51-07:00,2018-07-01T18:29:24-07:00,153,0.107,230,10
7/1/18,transport,transport,2018-07-01T18:35:38-07:00,2018-07-01T19:24:12-07:00,2914,12.276,0,0
7/1/18,transport,transport,2018-07-01T22:04:51-07:00,2018-07-01T22:18:16-07:00,805,2.730,0,0
7/2/18,transport,transport,2018-07-02T08:59:58-07:00,2018-07-02T09:08:37-07:00,519,2.040,0,0
7/2/18,walking,walking,2018-07-02T09:18:00-07:00,2018-07-02T09:19:00-07:00,60,0.028,90,3
7/2/18,walking,walking,2018-07-02T13:51:49-07:00,2018-07-02T13:52:18-07:00,29,0.012,40,1
7/2/18,transport,transport,2018-07-02T14:20:42-07:00,2018-07-02T14:45:50-07:00,1508,5.811,0,0
7/2/18,walking,walking,2018-07-02T15:05:46-07:00,2018-07-02T15:06:12-07:00,26,0.012,40,1
7/2/18,walking,walking,2018-07-02T15:08:58-07:00,2018-07-02T15:13:40-07:00,282,0.263,394,25
7/2/18,walking,walking,2018-07-02T15:17:28-07:00,2018-07-02T15:18:35-07:00,67,0.031,100,3
7/2/18,walking,walking,2018-07-02T16:01:40-07:00,2018-07-02T16:14:51-07:00,791,0.321,811,31
7/2/18,walking,walking,2018-07-02T16:15:51-07:00,2018-07-02T16:18:49-07:00,178,0.124,267,12
7/2/18,transport,transport,2018-07-02T16:27:28-07:00,2018-07-02T16:43:21-07:00,953,3.272,0,0
7/2/18,walking,walking,2018-07-02T18:39:57-07:00,2018-07-02T18:40:16-07:00,19,0.009,30,1
7/2/18,transport,transport,2018-07-02T22:33:24-07:00,2018-07-02T22:42:53-07:00,569,2.338,0,0
7/3/18,transport,transport,2018-07-03T12:04:50-07:00,2018-07-03T12:09:12-07:00,262,2.347,0,0
7/3/18,walking,walking,2018-07-03T16:11:35-07:00,2018-07-03T16:12:15-07:00,40,0.019,60,2
7/3/18,transport,transport,2018-07-03T17:08:43-07:00,2018-07-03T17:13:02-07:00,259,0.293,0,0
7/3/18,transport,transport,2018-07-03T17:29:51-07:00,2018-07-03T17:51:14-07:00,1283,5.486,0,0
7/3/18,walking,walking,2018-07-03T18:00:24-07:00,2018-07-03T18:00:33-07:00,9,0.004,15,0
7/3/18,walking,walking,2018-07-03T18:03:04-07:00,2018-07-03T18:11:33-07:00,509,0.330,683,31
7/3/18,walking,walking,2018-07-03T18:12:21-07:00,2018-07-03T18:12:54-07:00,33,0.016,50,1
7/3/18,walking,walking,2018-07-03T18:28:53-07:00,2018-07-03T18:39:50-07:00,657,0.412,949,39
7/3/18,walking,walking,2018-07-03T18:40:50-07:00,2018-07-03T18:42:50-07:00,120,0.084,181,8
7/3/18,transport,transport,2018-07-03T20:12:17-07:00,2018-07-03T20:19:32-07:00,435,3.569,0,0
7/3/18,transport,transport,2018-07-03T22:29:36-07:00,2018-07-03T22:38:11-07:00,515,2.635,0,0
7/4/18,transport,transport,2018-07-04T09:31:29-07:00,2018-07-04T09:37:42-07:00,373,2.477,0,0
7/4/18,walking,walking,2018-07-04T17:14:36-07:00,2018-07-04T17:15:07-07:00,31,0.019,60,2
7/4/18,transport,transport,2018-07-04T17:15:08-07:00,2018-07-04T17:29:49-07:00,881,2.425,0,0
7/4/18,walking,walking,2018-07-04T18:33:00-07:00,2018-07-04T18:48:12-07:00,912,0.621,1391,59
7/4/18,walking,walking,2018-07-04T18:48:57-07:00,2018-07-04T18:49:57-07:00,60,0.028,90,3
7/4/18,walking,walking,2018-07-04T18:52:43-07:00,2018-07-04T19:06:40-07:00,837,0.590,1374,56
7/4/18,transport,transport,2018-07-04T19:13:17-07:00,2018-07-04T19:17:56-07:00,279,2.372,0,0
7/4/18,transport,transport,2018-07-04T19:40:13-07:00,2018-07-04T19:50:34-07:00,621,0.533,0,0
7/4/18,transport,transport,2018-07-04T22:00:15-07:00,2018-07-04T22:22:38-07:00,1343,2.285,0,0
7/5/18,transport,transport,2018-07-05T08:36:52-07:00,2018-07-05T08:53:32-07:00,1000,1.283,0,0
7/5/18,walking,walking,2018-07-05T09:28:16-07:00,2018-07-05T09:28:49-07:00,33,0.016,50,1
