Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
6/1/18,Unknown,2018-06-01T08:43:32-07:00,2018-06-01T13:41:54-07:00,17902,34.013411,-118.81921,,
6/1/18,Unknown,2018-06-01T13:58:34-07:00,2018-06-01T14:01:23-07:00,169,34.004165,-118.80838,,
6/1/18,Unknown,2018-06-01T14:16:13-07:00,2018-06-01T14:21:45-07:00,332,34.037032,-118.86585,,
6/1/18,Unknown,2018-06-01T14:30:24-07:00,2018-06-01T15:28:07-07:00,3463,34.036932,-118.86888,,
6/1/18,Unknown,2018-06-01T15:48:25-07:00,2018-06-01T19:32:10-07:00,13425,34.031247,-118.84223,,
6/1/18,Unknown,2018-06-01T22:47:50-07:00,2018-06-02T00:00:00-07:00,4330,34.033659,-118.81811,,
6/2/18,Unknown,2018-06-02T00:00:00-07:00,2018-06-02T08:43:32-07:00,31412,34.033659,-118.81811,,
6/4/18,Unknown,2018-06-04T18:46:12-07:00,2018-06-04T19:33:20-07:00,2828,34.031124,-118.84316,,
6/4/18,Unknown,2018-06-04T19:33:21-07:00,2018-06-04T19:55:46-07:00,1345,34.031746,-118.84221,,
6/4/18,Unknown,2018-06-04T19:55:47-07:00,2018-06-04T21:06:20-07:00,4233,34.031124,-118.84316,,
6/4/18,Unknown,2018-06-04T21:11:19-07:00,2018-06-04T21:20:25-07:00,546,34.013411,-118.81921,,
6/5/18,Unknown,2018-06-05T07:43:44-07:00,2018-06-05T15:29:53-07:00,27969,34.013411,-118.81921,,
6/5/18,Unknown,2018-06-05T16:19:52-07:00,2018-06-05T16:48:05-07:00,1693,34.038109,-118.87591,,
6/5/18,Unknown,2018-06-05T17:09:15-07:00,2018-06-05T17:20:55-07:00,700,34.036121,-118.86603,,
6/5/18,Unknown,2018-06-05T17:20:56-07:00,2018-06-05T17:29:58-07:00,542,34.037032,-118.86585,,
6/5/18,Unknown,2018-06-05T17:49:02-07:00,2018-06-05T18:26:08-07:00,2226,34.032219,-118.84315,,
6/5/18,Unknown,2018-06-05T18:26:09-07:00,2018-06-05T19:53:56-07:00,5267,34.031124,-118.84316,,
6/6/18,Unknown,2018-06-06T20:01:54-07:00,2018-06-06T21:39:17-07:00,5843,34.031124,-118.84316,,
6/7/18,Unknown,2018-06-07T07:53:34-07:00,2018-06-07T16:55:00-07:00,32486,34.013411,-118.81921,,
6/7/18,Unknown,2018-06-07T17:28:57-07:00,2018-06-07T18:27:01-07:00,3484,34.037062,-118.87105,,
6/7/18,Unknown,2018-06-07T18:40:27-07:00,2018-06-07T20:58:50-07:00,8303,34.031124,-118.84316,,
6/7/18,Unknown,2018-06-07T21:15:30-07:00,2018-06-07T21:36:43-07:00,1273,34.020878,-118.81044,,
6/13/18,Unknown,2018-06-13T21:49:30-07:00,2018-06-13T22:02:04-07:00,754,38.911323,-120.00388,,
6/13/18,Unknown,2018-06-13T22:11:13-07:00,2018-06-14T00:00:00-07:00,6527,38.888575,-120.0255,,
6/14/18,Unknown,2018-06-14T00:00:00-07:00,2018-06-14T08:50:22-07:00,31822,38.888575,-120.0255,,
6/14/18,Unknown,2018-06-14T08:55:41-07:00,2018-06-14T12:37:23-07:00,13302,38.911323,-120.00388,,
6/14/18,Unknown,2018-06-14T13:04:23-07:00,2018-06-14T13:27:47-07:00,1404,38.952336,-120.11224,,
6/14/18,Unknown,2018-06-14T13:27:48-07:00,2018-06-14T13:35:30-07:00,462,38.951774,-120.11165,,
6/14/18,Unknown,2018-06-14T14:09:41-07:00,2018-06-14T14:18:07-07:00,506,38.943661,-120.12025,,
6/14/18,Unknown,2018-06-14T14:40:00-07:00,2018-06-14T15:45:39-07:00,3939,38.940634,-120.12277,,
6/14/18,Unknown,2018-06-14T15:49:50-07:00,2018-06-14T15:53:43-07:00,233,38.943661,-120.12025,,
6/14/18,Unknown,2018-06-14T16:28:07-07:00,2018-06-14T16:30:08-07:00,121,38.951774,-120.11165,,
6/14/18,Unknown,2018-06-14T16:35:36-07:00,2018-06-14T17:27:46-07:00,3130,38.952336,-120.11224,,
6/14/18,Unknown,2018-06-14T17:47:03-07:00,2018-06-14T18:11:53-07:00,1490,38.914653,-120.00244,,
6/14/18,Unknown,2018-06-14T18:15:08-07:00,2018-06-14T21:49:30-07:00,12862,38.911323,-120.00388,,
6/15/18,Unknown,2018-06-15T09:32:07-07:00,2018-06-15T15:07:26-07:00,20119,38.911323,-120.00388,,
6/15/18,Unknown,2018-06-15T17:02:07-07:00,2018-06-15T17:26:17-07:00,1450,38.875471,-120.01166,,
6/15/18,Unknown,2018-06-15T17:38:39-07:00,2018-06-15T18:03:56-07:00,1517,38.878535,-120.01248,,
6/15/18,Unknown,2018-06-15T18:06:56-07:00,2018-06-15T18:13:24-07:00,388,38.876342,-120.0123,,
6/15/18,Unknown,2018-06-15T18:25:32-07:00,2018-06-15T18:33:31-07:00,479,38.876114,-120.01169,,
6/15/18,Unknown,2018-06-15T18:40:42-07:00,2018-06-15T19:05:51-07:00,1509,38.874911,-120.0118,,
6/15/18,Unknown,2018-06-15T19:13:01-07:00,2018-06-15T21:10:08-07:00,7027,38.888575,-120.0255,,
6/15/18,Unknown,2018-06-15T21:26:48-07:00,2018-06-15T21:52:01-07:00,1513,38.902575,-120.00999,,
6/15/18,Unknown,2018-06-15T21:57:47-07:00,2018-06-16T00:00:00-07:00,7333,38.890176,-120.02363,,
6/16/18,Unknown,2018-06-16T00:00:00-07:00,2018-06-16T08:52:40-07:00,31960,38.890176,-120.02363,,
6/16/18,Unknown,2018-06-16T08:52:41-07:00,2018-06-16T09:21:58-07:00,1757,38.888575,-120.0255,,
6/16/18,Unknown,2018-06-16T09:29:33-07:00,2018-06-16T13:23:30-07:00,14037,38.911323,-120.00388,,
6/16/18,Unknown,2018-06-16T13:38:50-07:00,2018-06-16T14:58:25-07:00,4775,38.932386,-120.03322,,
6/16/18,Unknown,2018-06-16T15:22:54-07:00,2018-06-16T15:46:40-07:00,1426,38.952336,-120.11224,,
6/16/18,Unknown,2018-06-16T16:02:52-07:00,2018-06-16T16:10:18-07:00,446,38.952055,-120.11297,,
6/16/18,Unknown,2018-06-16T16:27:55-07:00,2018-06-16T16:37:19-07:00,564,39.035039,-120.12519,,
6/16/18,Unknown,2018-06-16T16:43:21-07:00,2018-06-16T17:18:27-07:00,2106,39.036047,-120.12053,,
6/16/18,Unknown,2018-06-16T17:51:31-07:00,2018-06-16T20:34:07-07:00,9756,38.933622,-120.06469,,
6/16/18,Unknown,2018-06-16T20:43:04-07:00,2018-06-16T21:00:21-07:00,1037,38.911597,-120.00495,,
6/16/18,Unknown,2018-06-16T21:00:22-07:00,2018-06-16T21:59:01-07:00,3519,38.911518,-120.00442,,
6/16/18,Unknown,2018-06-16T22:04:23-07:00,2018-06-17T00:00:00-07:00,6937,38.890176,-120.02363,,
6/17/18,Unknown,2018-06-17T00:00:00-07:00,2018-06-17T09:26:50-07:00,34010,38.890176,-120.02363,,
6/17/18,Unknown,2018-06-17T09:26:51-07:00,2018-06-17T09:52:48-07:00,1557,38.888575,-120.0255,,
