Date,Type,Name,Start,End,Duration
4/1/18,place,Unknown,2018-04-01T08:53:58-07:00,2018-04-01T09:00:08-07:00,370
4/1/18,move,transport,2018-04-01T09:00:08-07:00,2018-04-01T09:05:29-07:00,321
4/1/18,place,Unknown,2018-04-01T09:05:29-07:00,2018-04-01T15:01:12-07:00,21343
4/1/18,move,transport,2018-04-01T15:01:12-07:00,2018-04-01T15:14:30-07:00,798
4/1/18,place,Unknown,2018-04-01T15:14:31-07:00,2018-04-01T17:38:28-07:00,8637
4/1/18,move,walking,2018-04-01T17:38:28-07:00,2018-04-01T17:44:18-07:00,350
4/1/18,place,Unknown,2018-04-01T17:44:19-07:00,2018-04-01T18:07:53-07:00,1414
4/1/18,move,walking,2018-04-01T18:07:53-07:00,2018-04-01T18:14:46-07:00,413
4/1/18,place,Unknown,2018-04-01T18:14:46-07:00,2018-04-01T18:19:02-07:00,256
4/1/18,move,walking,2018-04-01T18:19:02-07:00,2018-04-01T18:23:01-07:00,239
4/1/18,place,Unknown,2018-04-01T18:23:02-07:00,2018-04-01T18:32:51-07:00,589
4/1/18,place,Unknown,2018-04-01T18:32:51-07:00,2018-04-01T19:39:53-07:00,4022
4/1/18,move,walking,2018-04-01T19:59:14-07:00,2018-04-01T19:59:44-07:00,30
4/1/18,place,Unknown,2018-04-01T20:12:01-07:00,2018-04-01T22:57:30-07:00,9929
4/1/18,move,transport,2018-04-01T22:57:30-07:00,2018-04-01T23:04:02-07:00,392
4/1/18,place,Unknown,2018-04-01T23:04:03-07:00,2018-04-02T00:00:00-07:00,3357
4/2/18,place,Unknown,2018-04-02T00:00:00-07:00,2018-04-02T08:51:35-07:00,31895
4/2/18,move,transport,2018-04-02T08:51:35-07:00,2018-04-02T09:00:45-07:00,550
4/2/18,place,Unknown,2018-04-02T09:00:46-07:00,2018-04-02T10:22:50-07:00,4924
4/3/18,place,Unknown,2018-04-03T19:44:13-07:00,2018-04-04T00:00:00-07:00,15347
4/4/18,place,Unknown,2018-04-04T00:00:00-07:00,2018-04-04T09:09:50-07:00,32990
4/4/18,move,transport,2018-04-04T09:09:50-07:00,2018-04-04T09:24:51-07:00,901
4/4/18,place,Unknown,2018-04-04T09:24:52-07:00,2018-04-04T09:49:11-07:00,1459
4/4/18,move,walking,2018-04-04T09:49:11-07:00,2018-04-04T09:52:10-07:00,179
4/4/18,place,Unknown,2018-04-04T09:52:11-07:00,2018-04-04T10:14:14-07:00,1323
4/4/18,move,walking,2018-04-04T10:14:14-07:00,2018-04-04T10:33:54-07:00,1180
4/4/18,place,Unknown,2018-04-04T10:33:55-07:00,2018-04-04T10:36:07-07:00,132
4/4/18,move,walking,2018-04-04T10:36:07-07:00,2018-04-04T10:44:00-07:00,473
4/4/18,place,Unknown,2018-04-04T10:44:01-07:00,2018-04-04T11:17:04-07:00,1983
4/4/18,move,walking,2018-04-04T11:17:04-07:00,2018-04-04T11:30:25-07:00,801
4/4/18,place,Unknown,2018-04-04T11:30:26-07:00,2018-04-04T13:17:48-07:00,6442
4/4/18,move,cycling,2018-04-04T13:17:48-07:00,2018-04-04T13:34:43-07:00,1015
4/4/18,place,Unknown,2018-04-04T13:34:44-07:00,2018-04-04T14:24:47-07:00,3003
4/4/18,move,transport,2018-04-04T14:24:47-07:00,2018-04-04T15:01:28-07:00,2201
4/4/18,place,Unknown,2018-04-04T15:01:29-07:00,2018-04-04T15:21:39-07:00,1210
4/4/18,move,walking,2018-04-04T15:21:39-07:00,2018-04-04T16:10:43-07:00,2944
4/4/18,move,transport,2018-04-04T16:10:43-07:00,2018-04-04T17:57:56-07:00,6433
4/4/18,place,Unknown,2018-04-04T17:57:56-07:00,2018-04-04T18:16:45-07:00,1129
4/4/18,move,transport,2018-04-04T18:16:45-07:00,2018-04-04T18:41:31-07:00,1486
4/4/18,place,Unknown,2018-04-04T18:41:32-07:00,2018-04-04T18:59:57-07:00,1105
4/4/18,move,transport,2018-04-04T18:59:57-07:00,2018-04-04T19:04:42-07:00,285
4/4/18,place,Unknown,2018-04-04T19:04:43-07:00,2018-04-04T21:49:12-07:00,9869
4/4/18,move,transport,2018-04-04T21:49:12-07:00,2018-04-04T22:07:46-07:00,1114
4/4/18,place,Unknown,2018-04-04T22:07:47-07:00,2018-04-05T00:00:00-07:00,6733
4/5/18,place,Unknown,2018-04-05T00:00:00-07:00,2018-04-05T08:14:28-07:00,29668
4/5/18,move,transport,2018-04-05T08:14:28-07:00,2018-04-05T08:36:37-07:00,1329
4/5/18,place,Unknown,2018-04-05T08:36:38-07:00,2018-04-05T12:05:08-07:00,12510
