Date,Activity,Group,Duration,Distance,Steps,Calories
11/1/17,transport,transport,3533,10.341,0,0
11/1/17,walking,walking,2082,1.279,3171,122
11/2/17,transport,transport,3922,15.296,0,0
11/2/17,walking,walking,74,0.034,111,3
11/3/17,transport,transport,4026,19.359,0,0
11/3/17,walking,walking,3096,2.426,4409,232
11/4/17,walking,walking,1410,1.095,2076,105
11/4/17,transport,transport,2326,6.518,0,0
11/5/17,walking,walking,1851,1.635,2974,156
11/5/17,transport,transport,19310,1627.116,0,0
11/6/17,walking,walking,114,0.093,183,9
11/6/17,transport,transport,50970,5707.428,0,0
11/7/17,walking,walking,1142,0.758,1648,73
11/7/17,transport,transport,9729,325.275,0,0
11/8/17,walking,walking,2266,1.698,3616,162
11/8/17,transport,transport,901,2.757,0,0
11/11/17,walking,walking,1955,1.312,2911,125
11/11/17,transport,transport,970,2.765,0,0
11/13/17,walking,walking,643,0.460,920,44
11/14/17,transport,transport,10830,303.843,0,0
11/14/17,walking,walking,372,0.219,529,21
11/15/17,walking,walking,1201,0.787,1684,75
11/16/17,transport,transport,2049,5.094,0,0
11/16/17,walking,walking,156,0.078,252,7
11/17/17,walking,walking,48,0.019,60,2
11/21/17,transport,transport,3618,7.714,0,0
11/21/17,walking,walking,4557,3.376,7225,323
11/22/17,walking,walking,1832,1.232,2737,118
11/22/17,transport,transport,1708,4.614,0,0
11/23/17,walking,walking,1135,0.564,1638,54
11/23/17,transport,transport,5429,48.520,0,0
11/24/17,transport,transport,3830,18.945,0,0
11/24/17,walking,walking,48,0.022,70,2
11/25/17,walking,walking,32,0.016,50,1
11/26/17,transport,transport,10377,87.691,0,0
11/26/17,walking,walking,2512,1.388,3610,133
11/27/17,transport,transport,2355,9.377,0,0
11/27/17,walking,walking,2621,1.821,3769,174
11/28/17,transport,transport,5675,17.101,0,0
11/29/17,transport,transport,2840,9.255,0,0
11/29/17,walking,walking,173,0.104,238,10
11/30/17,transport,transport,4091,11.707,0,0
11/30/17,walking,walking,1371,0.752,2088,72
