Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
12/11/17,Unknown,2017-12-11T00:00:00-07:00,2017-12-11T11:23:11-07:00,40991,34.140445,-116.39614,,
12/11/17,Unknown,2017-12-11T11:39:51-07:00,2017-12-11T13:30:53-07:00,6662,34.129191,-116.3965,,
12/11/17,Unknown,2017-12-11T13:49:53-07:00,2017-12-11T13:56:46-07:00,413,34.145739,-116.39023,,
12/11/17,Unknown,2017-12-11T14:02:56-07:00,2017-12-11T14:10:59-07:00,483,34.147623,-116.39101,,
12/11/17,Unknown,2017-12-11T14:30:30-07:00,2017-12-11T19:46:46-07:00,18976,34.123869,-116.4179,,
12/11/17,Unknown,2017-12-11T19:50:27-07:00,2017-12-11T20:08:21-07:00,1074,34.123278,-116.41562,,
12/11/17,Unknown,2017-12-11T20:12:00-07:00,2017-12-11T22:15:11-07:00,7391,34.126614,-116.40451,,
12/11/17,Unknown,2017-12-11T22:24:37-07:00,2017-12-12T00:00:00-07:00,5723,34.140528,-116.39817,,
12/12/17,Unknown,2017-12-12T00:00:00-07:00,2017-12-12T08:28:25-07:00,30505,34.140528,-116.39817,,
12/12/17,Unknown,2017-12-12T08:35:06-07:00,2017-12-12T16:54:18-07:00,29952,34.126899,-116.40468,,
12/12/17,Unknown,2017-12-12T17:09:01-07:00,2017-12-12T20:48:01-07:00,13140,34.126614,-116.40451,,
12/12/17,Unknown,2017-12-12T20:50:04-07:00,2017-12-13T00:00:00-07:00,11396,34.126336,-116.40824,,
12/13/17,Unknown,2017-12-13T00:00:00-07:00,2017-12-13T09:45:19-07:00,35119,34.126336,-116.40824,,
12/13/17,Unknown,2017-12-13T09:50:52-07:00,2017-12-13T11:12:17-07:00,4885,34.126899,-116.40468,,
12/14/17,Unknown,2017-12-14T13:43:18-07:00,2017-12-14T16:07:51-07:00,8673,34.016493,-116.16384,,
12/14/17,Unknown,2017-12-14T16:13:23-07:00,2017-12-14T16:15:11-07:00,108,34.017759,-116.16405,,
12/14/17,Unknown,2017-12-14T16:22:54-07:00,2017-12-14T16:44:00-07:00,1266,34.016493,-116.16384,,
12/14/17,Unknown,2017-12-14T16:56:07-07:00,2017-12-14T17:00:58-07:00,291,34.014052,-116.1601,,
12/14/17,Unknown,2017-12-14T17:11:24-07:00,2017-12-14T17:22:39-07:00,675,34.016493,-116.16384,,
12/14/17,Unknown,2017-12-14T17:22:40-07:00,2017-12-14T17:33:07-07:00,627,34.015617,-116.16317,,
12/14/17,Unknown,2017-12-14T18:05:39-07:00,2017-12-14T20:35:11-07:00,8972,34.126829,-116.40536,,
12/14/17,Unknown,2017-12-14T20:35:12-07:00,2017-12-14T22:02:13-07:00,5221,34.126336,-116.40824,,
12/14/17,Unknown,2017-12-14T22:02:14-07:00,2017-12-14T22:13:32-07:00,678,34.126295,-116.40709,,
12/14/17,Unknown,2017-12-14T22:13:33-07:00,2017-12-14T22:49:46-07:00,2173,34.126614,-116.40451,,
12/14/17,Unknown,2017-12-14T22:58:58-07:00,2017-12-15T00:00:00-07:00,3662,34.140472,-116.39784,,
12/15/17,Unknown,2017-12-15T00:00:00-07:00,2017-12-15T10:23:42-07:00,37422,34.140472,-116.39784,,
12/15/17,Unknown,2017-12-15T10:40:22-07:00,2017-12-15T10:43:38-07:00,196,34.129105,-116.39712,,
12/15/17,Unknown,2017-12-15T10:43:39-07:00,2017-12-15T12:10:37-07:00,5218,34.128969,-116.39879,,
12/15/17,Unknown,2017-12-15T12:26:00-07:00,2017-12-15T12:51:28-07:00,1528,34.125341,-116.41464,,
12/15/17,Unknown,2017-12-15T13:10:37-07:00,2017-12-15T13:43:18-07:00,1961,34.123869,-116.4179,,
