Date,Type,Name,Start,End,Duration
12/25/17,place,Unknown,2017-12-25T22:11:05-07:00,2017-12-26T00:00:00-07:00,6535
12/26/17,place,Unknown,2017-12-26T00:00:00-07:00,2017-12-26T10:25:32-07:00,37532
12/26/17,move,transport,2017-12-26T10:25:32-07:00,2017-12-26T11:11:35-07:00,2763
12/26/17,place,Unknown,2017-12-26T11:11:36-07:00,2017-12-26T15:52:35-07:00,16859
12/26/17,move,transport,2017-12-26T15:52:35-07:00,2017-12-26T16:06:34-07:00,839
12/26/17,place,Unknown,2017-12-26T16:06:35-07:00,2017-12-26T18:50:47-07:00,9852
12/26/17,move,transport,2017-12-26T18:50:47-07:00,2017-12-26T19:00:48-07:00,601
12/26/17,place,Unknown,2017-12-26T19:00:49-07:00,2017-12-26T19:49:23-07:00,2914
12/26/17,move,transport,2017-12-26T19:49:23-07:00,2017-12-26T20:11:45-07:00,1342
12/26/17,place,Unknown,2017-12-26T20:11:46-07:00,2017-12-26T21:46:52-07:00,5706
12/26/17,place,Unknown,2017-12-26T21:46:52-07:00,2017-12-26T22:27:02-07:00,2410
12/26/17,move,transport,2017-12-26T22:27:02-07:00,2017-12-26T22:32:33-07:00,331
12/26/17,place,Unknown,2017-12-26T22:32:34-07:00,2017-12-27T00:00:00-07:00,5246
12/27/17,place,Unknown,2017-12-27T00:00:00-07:00,2017-12-27T12:54:50-07:00,46490
12/27/17,move,transport,2017-12-27T12:54:50-07:00,2017-12-27T13:11:30-07:00,1000
12/27/17,place,Unknown,2017-12-27T13:11:30-07:00,2017-12-27T16:00:55-07:00,10165
12/27/17,place,Unknown,2017-12-27T16:00:56-07:00,2017-12-27T16:03:18-07:00,142
12/27/17,place,Unknown,2017-12-27T16:03:18-07:00,2017-12-27T16:59:20-07:00,3362
12/27/17,move,transport,2017-12-27T16:59:20-07:00,2017-12-27T17:12:37-07:00,797
12/27/17,place,Unknown,2017-12-27T17:12:38-07:00,2017-12-27T17:17:38-07:00,300
12/27/17,move,walking,2017-12-27T17:17:38-07:00,2017-12-27T17:37:12-07:00,1174
12/27/17,move,transport,2017-12-27T17:37:12-07:00,2017-12-27T18:00:11-07:00,1379
12/27/17,place,Unknown,2017-12-27T18:00:12-07:00,2017-12-27T22:48:51-07:00,17319
12/27/17,move,transport,2017-12-27T22:48:51-07:00,2017-12-27T23:02:28-07:00,817
12/28/17,place,Unknown,2017-12-28T08:52:52-07:00,2017-12-28T08:56:42-07:00,230
12/28/17,move,transport,2017-12-28T08:56:42-07:00,2017-12-28T09:00:55-07:00,253
12/28/17,place,Unknown,2017-12-28T09:00:56-07:00,2017-12-28T13:25:27-07:00,15871
12/28/17,move,transport,2017-12-28T13:25:27-07:00,2017-12-28T13:55:23-07:00,1796
12/28/17,move,walking,2017-12-28T13:55:24-07:00,2017-12-28T13:58:32-07:00,188
12/28/17,move,transport,2017-12-28T13:58:32-07:00,2017-12-28T14:11:31-07:00,779
12/28/17,place,Unknown,2017-12-28T14:11:32-07:00,2017-12-28T14:59:29-07:00,2877
12/29/17,move,transport,2017-12-29T09:29:29-07:00,2017-12-29T09:33:32-07:00,243
12/29/17,place,Unknown,2017-12-29T09:33:33-07:00,2017-12-29T14:33:56-07:00,18023
12/29/17,move,transport,2017-12-29T14:33:56-07:00,2017-12-29T14:36:42-07:00,166
12/29/17,place,Unknown,2017-12-29T14:36:43-07:00,2017-12-29T14:51:41-07:00,898
12/29/17,move,cycling,2017-12-29T14:51:41-07:00,2017-12-29T15:30:46-07:00,2345
12/29/17,place,Unknown,2017-12-29T15:30:47-07:00,2017-12-29T15:44:27-07:00,820
12/29/17,move,walking,2017-12-29T15:44:27-07:00,2017-12-29T16:08:23-07:00,1436
12/29/17,place,Unknown,2017-12-29T16:08:24-07:00,2017-12-29T16:10:44-07:00,140
12/29/17,move,walking,2017-12-29T16:10:44-07:00,2017-12-29T16:40:12-07:00,1768
12/29/17,place,Unknown,2017-12-29T16:40:12-07:00,2017-12-29T16:55:58-07:00,946
12/29/17,move,walking,2017-12-29T16:55:58-07:00,2017-12-29T17:49:12-07:00,3194
12/29/17,move,transport,2017-12-29T17:49:12-07:00,2017-12-29T18:22:48-07:00,2016
12/29/17,place,Unknown,2017-12-29T18:22:49-07:00,2017-12-29T22:30:28-07:00,14859
12/29/17,move,transport,2017-12-29T22:30:28-07:00,2017-12-29T22:37:10-07:00,402
12/29/17,place,Unknown,2017-12-29T22:37:11-07:00,2017-12-30T00:00:00-07:00,4969
12/30/17,place,Unknown,2017-12-30T00:00:00-07:00,2017-12-30T09:05:39-07:00,32739
12/31/17,place,Unknown,2017-12-31T17:38:13-07:00,2017-12-31T17:55:08-07:00,1015
12/31/17,place,Unknown,2017-12-31T17:55:09-07:00,2017-12-31T18:04:21-07:00,552
12/31/17,move,transport,2017-12-31T18:04:21-07:00,2017-12-31T18:45:12-07:00,2451
12/31/17,place,Unknown,2017-12-31T18:45:13-07:00,2017-12-31T20:54:22-07:00,7749
12/31/17,move,walking,2017-12-31T20:54:22-07:00,2017-12-31T20:56:58-07:00,156
12/31/17,place,Unknown,2017-12-31T20:56:59-07:00,2017-12-31T22:52:04-07:00,6905
12/31/17,move,transport,2017-12-31T22:52:04-07:00,2017-12-31T22:59:06-07:00,422
12/31/17,place,Unknown,2017-12-31T22:59:07-07:00,2018-01-01T00:00:00-07:00,3653
