Date,Activity,Group,Duration,Distance,Steps,Calories
4/16/18,transport,transport,4903,39.584,0,0
4/16/18,walking,walking,3118,1.990,4776,190
4/17/18,transport,transport,5063,28.249,0,0
4/17/18,walking,walking,7189,4.139,10452,395
4/18/18,transport,transport,2140,12.082,0,0
4/18/18,walking,walking,73,0.034,110,3
4/19/18,transport,transport,2510,15.987,0,0
4/19/18,walking,walking,2115,1.592,3709,152
4/20/18,transport,transport,4156,17.113,0,0
4/20/18,walking,walking,7473,3.881,10578,370
4/20/18,cycling,cycling,205,0.073,0,5
4/21/18,transport,transport,3128,16.795,0,0
4/21/18,walking,walking,1103,0.703,1653,67
4/22/18,transport,transport,3777,10.386,0,0
4/22/18,walking,walking,1123,0.457,1440,44
