Date,Type,Name,Start,End,Duration
1/1/18,place,Unknown,2018-01-01T00:00:00-07:00,2018-01-01T09:08:44-07:00,32924
1/1/18,move,transport,2018-01-01T09:08:44-07:00,2018-01-01T09:17:48-07:00,544
1/1/18,place,Unknown,2018-01-01T09:17:49-07:00,2018-01-01T15:09:28-07:00,21099
1/1/18,move,transport,2018-01-01T15:09:28-07:00,2018-01-01T15:20:03-07:00,635
1/1/18,place,Unknown,2018-01-01T15:20:04-07:00,2018-01-01T15:36:55-07:00,1011
1/1/18,place,Unknown,2018-01-01T15:42:45-07:00,2018-01-01T15:54:26-07:00,701
1/1/18,place,Unknown,2018-01-01T15:54:27-07:00,2018-01-01T16:20:35-07:00,1568
1/1/18,move,walking,2018-01-01T16:20:35-07:00,2018-01-01T16:28:00-07:00,445
1/1/18,place,Unknown,2018-01-01T16:28:01-07:00,2018-01-01T17:04:35-07:00,2194
1/1/18,move,transport,2018-01-01T17:04:35-07:00,2018-01-01T17:25:26-07:00,1251
1/1/18,place,Unknown,2018-01-01T17:37:37-07:00,2018-01-01T21:33:57-07:00,14180
1/1/18,place,Unknown,2018-01-01T21:33:58-07:00,2018-01-01T22:40:10-07:00,3972
1/1/18,move,transport,2018-01-01T22:40:10-07:00,2018-01-01T22:47:38-07:00,448
1/1/18,place,Unknown,2018-01-01T00:00:00-07:00,2018-01-01T09:08:44-07:00,32924
1/1/18,move,transport,2018-01-01T09:08:44-07:00,2018-01-01T09:17:48-07:00,544
1/1/18,place,Unknown,2018-01-01T09:17:49-07:00,2018-01-01T15:09:28-07:00,21099
1/1/18,move,transport,2018-01-01T15:09:28-07:00,2018-01-01T15:20:03-07:00,635
1/1/18,place,Unknown,2018-01-01T15:20:04-07:00,2018-01-01T15:36:55-07:00,1011
1/1/18,place,Unknown,2018-01-01T15:42:45-07:00,2018-01-01T15:54:26-07:00,701
1/1/18,place,Unknown,2018-01-01T15:54:27-07:00,2018-01-01T16:20:35-07:00,1568
1/1/18,move,walking,2018-01-01T16:20:35-07:00,2018-01-01T16:28:00-07:00,445
1/1/18,place,Unknown,2018-01-01T16:28:01-07:00,2018-01-01T17:04:35-07:00,2194
1/1/18,move,transport,2018-01-01T17:04:35-07:00,2018-01-01T17:25:26-07:00,1251
1/1/18,place,Unknown,2018-01-01T17:37:37-07:00,2018-01-01T21:33:57-07:00,14180
1/1/18,place,Unknown,2018-01-01T21:33:58-07:00,2018-01-01T22:40:10-07:00,3972
1/1/18,move,transport,2018-01-01T22:40:10-07:00,2018-01-01T22:47:38-07:00,448
1/2/18,move,transport,2018-01-02T09:24:00-07:00,2018-01-02T09:35:35-07:00,695
1/2/18,place,Unknown,2018-01-02T09:35:36-07:00,2018-01-02T10:43:17-07:00,4061
1/2/18,place,Unknown,2018-01-02T10:43:17-07:00,2018-01-02T12:26:41-07:00,6204
1/4/18,place,Unknown,2018-01-04T10:08:05-07:00,2018-01-04T11:48:44-07:00,6039
1/4/18,move,walking,2018-01-04T11:48:44-07:00,2018-01-04T11:52:53-07:00,249
1/4/18,place,Unknown,2018-01-04T11:52:54-07:00,2018-01-04T11:55:00-07:00,126
1/4/18,move,transport,2018-01-04T11:55:00-07:00,2018-01-04T11:58:42-07:00,222
1/4/18,place,Unknown,2018-01-04T12:20:58-07:00,2018-01-04T13:13:08-07:00,3130
1/4/18,move,walking,2018-01-04T13:13:08-07:00,2018-01-04T13:15:41-07:00,153
1/4/18,place,Unknown,2018-01-04T13:15:41-07:00,2018-01-04T13:24:56-07:00,555
1/4/18,move,transport,2018-01-04T13:24:56-07:00,2018-01-04T13:37:39-07:00,763
1/4/18,place,Unknown,2018-01-04T13:37:40-07:00,2018-01-04T13:47:15-07:00,575
1/4/18,move,transport,2018-01-04T13:47:15-07:00,2018-01-04T14:02:24-07:00,909
1/4/18,place,Unknown,2018-01-04T14:17:43-07:00,2018-01-04T14:26:21-07:00,518
1/4/18,move,walking,2018-01-04T14:26:21-07:00,2018-01-04T15:14:21-07:00,2880
1/4/18,place,Unknown,2018-01-04T15:14:22-07:00,2018-01-04T15:45:06-07:00,1844
1/4/18,move,walking,2018-01-04T15:45:06-07:00,2018-01-04T15:59:40-07:00,874
1/4/18,place,Unknown,2018-01-04T15:59:41-07:00,2018-01-04T16:07:33-07:00,472
1/4/18,move,walking,2018-01-04T16:07:33-07:00,2018-01-04T16:41:03-07:00,2010
1/4/18,place,Unknown,2018-01-04T16:41:04-07:00,2018-01-04T17:33:43-07:00,3159
1/4/18,move,transport,2018-01-04T17:33:43-07:00,2018-01-04T18:10:25-07:00,2202
1/5/18,move,transport,2018-01-05T09:17:11-07:00,2018-01-05T09:24:22-07:00,431
1/5/18,place,Unknown,2018-01-05T09:24:23-07:00,2018-01-05T12:20:40-07:00,10577
1/7/18,place,Unknown,2018-01-07T11:06:16-07:00,2018-01-07T13:28:19-07:00,8523
1/7/18,move,transport,2018-01-07T13:28:19-07:00,2018-01-07T14:21:10-07:00,3171
1/7/18,place,Unknown,2018-01-07T14:21:11-07:00,2018-01-07T14:39:23-07:00,1092
1/7/18,move,walking,2018-01-07T14:39:23-07:00,2018-01-07T15:27:41-07:00,2898
1/7/18,place,Unknown,2018-01-07T15:27:41-07:00,2018-01-07T16:12:11-07:00,2670
1/7/18,move,walking,2018-01-07T16:12:11-07:00,2018-01-07T16:56:16-07:00,2645
1/7/18,place,Unknown,2018-01-07T16:56:16-07:00,2018-01-07T17:04:43-07:00,507
1/7/18,move,transport,2018-01-07T17:04:43-07:00,2018-01-07T17:17:28-07:00,765
1/7/18,move,walking,2018-01-07T17:30:08-07:00,2018-01-07T17:30:15-07:00,7
1/7/18,move,walking,2018-01-07T18:15:19-07:00,2018-01-07T18:15:30-07:00,11
1/7/18,move,walking,2018-01-07T18:17:04-07:00,2018-01-07T18:18:16-07:00,72
1/7/18,move,transport,2018-01-07T18:18:16-07:00,2018-01-07T19:02:55-07:00,2679
1/7/18,place,Unknown,2018-01-07T19:02:56-07:00,2018-01-07T22:20:48-07:00,11872
1/7/18,move,transport,2018-01-07T22:20:48-07:00,2018-01-07T23:59:59-07:00,5951
1/8/18,move,transport,2018-01-08T00:00:00-07:00,2018-01-08T09:41:22-07:00,34882
1/8/18,place,Unknown,2018-01-08T09:41:23-07:00,2018-01-08T14:19:08-07:00,16665
1/8/18,place,Unknown,2018-01-08T14:19:09-07:00,2018-01-08T18:37:18-07:00,15489
1/8/18,place,Unknown,2018-01-08T18:37:19-07:00,2018-01-08T21:03:46-07:00,8787
1/9/18,place,Unknown,2018-01-09T12:54:28-07:00,2018-01-09T15:22:33-07:00,8885
1/9/18,move,transport,2018-01-09T15:22:33-07:00,2018-01-09T15:32:03-07:00,570
1/9/18,place,Unknown,2018-01-09T15:32:04-07:00,2018-01-09T15:44:38-07:00,754
1/9/18,move,walking,2018-01-09T15:44:38-07:00,2018-01-09T16:02:00-07:00,1042
1/9/18,move,transport,2018-01-09T16:02:00-07:00,2018-01-09T16:09:59-07:00,479
1/9/18,place,Unknown,2018-01-09T16:10:00-07:00,2018-01-09T16:22:16-07:00,736
1/9/18,move,transport,2018-01-09T16:22:16-07:00,2018-01-09T16:24:27-07:00,131
1/9/18,place,Unknown,2018-01-09T16:27:53-07:00,2018-01-09T22:48:49-07:00,22856
