"Milliseconds","timezoneOffset","timestamp","DayOfYear","DayOfMonth","DayOfWeek","TimeOfDay","_id","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","number","note","gpstime","gpsMilliseconds","name","latitude","longitude","accuracy","altitude","speed","bearing","lat_text","lon_text","street","city","state","country","zip"
"1596992597427","3600000","2020-08-09T18:03:17.427+01:00","222","9","dimanche","18.05472222222222","8","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1596996698783","3600000","2020-08-09T19:11:38.783+01:00","222","9","dimanche","19.19388888888889","9","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597078659473","3600000","2020-08-10T17:57:39.473+01:00","223","10","lundi","17.960833333333333","10","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597084836239","3600000","2020-08-10T19:40:36.239+01:00","223","10","lundi","19.676666666666666","11","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597164848928","3600000","2020-08-11T17:54:08.928+01:00","224","11","mardi","17.90222222222222","12","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597166286657","3600000","2020-08-11T18:18:06.657+01:00","224","11","mardi","18.301666666666666","13","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597253885614","3600000","2020-08-12T18:38:05.614+01:00","225","12","Wednesday","18.634722222222223","14","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597258709542","3600000","2020-08-12T19:58:29.542+01:00","225","12","Wednesday","19.974722222222223","15","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597339716497","3600000","2020-08-13T18:28:36.497+01:00","226","13","Thursday","18.476666666666667","16","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597345742637","3600000","2020-08-13T20:09:02.637+01:00","226","13","Thursday","20.150555555555556","17","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597425731640","3600000","2020-08-14T18:22:11.640+01:00","227","14","Friday","18.369722222222222","18","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597430673437","3600000","2020-08-14T19:44:33.437+01:00","227","14","Friday","19.7425","19","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597513321432","3600000","2020-08-15T18:42:01.432+01:00","228","15","Saturday","18.700277777777778","20","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597519793970","3600000","2020-08-15T20:29:53.970+01:00","228","15","Saturday","20.498055555555556","21","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597596320211","3600000","2020-08-16T17:45:20.211+01:00","229","16","Sunday","17.755555555555556","22","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597603078771","3600000","2020-08-16T19:37:58.771+01:00","229","16","Sunday","19.63277777777778","23","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597679946804","3600000","2020-08-17T16:59:06.804+01:00","230","17","Monday","16.985","24","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597687892477","3600000","2020-08-17T19:11:32.477+01:00","230","17","Monday","19.192222222222224","25","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597776586977","3600000","2020-08-18T19:49:46.977+01:00","231","18","Tuesday","19.829444444444444","26","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1597779261569","3600000","2020-08-18T20:34:21.569+01:00","231","18","Tuesday","20.5725","27","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597852607946","3600000","2020-08-19T16:56:47.946+01:00","232","19","Wednesday","16.94638888888889","29","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597862410330","3600000","2020-08-19T19:40:10.330+01:00","232","19","Wednesday","19.669444444444444","30","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1597999872773","3600000","2020-08-21T09:51:12.773+01:00","234","21","Friday","9.853333333333333","32","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598003597211","3600000","2020-08-21T10:53:17.211+01:00","234","21","Friday","10.888055555555555","33","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598084362402","3600000","2020-08-22T09:19:22.402+01:00","235","22","Saturday","9.322777777777778","35","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598088648010","3600000","2020-08-22T10:30:48.010+01:00","235","22","Saturday","10.513333333333334","36","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598123501714","3600000","2020-08-22T20:11:41.714+01:00","235","22","Saturday","20.19472222222222","37","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598125561225","3600000","2020-08-22T20:46:01.225+01:00","235","22","Saturday","20.766944444444444","38","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598200189058","3600000","2020-08-23T17:29:49.058+01:00","236","23","Sunday","17.496944444444445","39","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598207851760","3600000","2020-08-23T19:37:31.760+01:00","236","23","Sunday","19.62527777777778","40","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598285203226","3600000","2020-08-24T17:06:43.226+01:00","237","24","Monday","17.111944444444443","41","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598289874796","3600000","2020-08-24T18:24:34.796+01:00","237","24","Monday","18.409444444444443","42","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598379257468","3600000","2020-08-25T19:14:17.468+01:00","238","25","Tuesday","19.238055555555555","43","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598384422374","3600000","2020-08-25T20:40:22.374+01:00","238","25","Tuesday","20.672777777777778","44","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598463507714","3600000","2020-08-26T18:38:27.714+01:00","239","26","Wednesday","18.640833333333333","45","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598467843940","3600000","2020-08-26T19:50:43.940+01:00","239","26","Wednesday","19.845277777777778","46","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598547079583","3600000","2020-08-27T17:51:19.583+01:00","240","27","Thursday","17.85527777777778","47","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598554659781","3600000","2020-08-27T19:57:39.781+01:00","240","27","Thursday","19.960833333333333","48","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598632150358","3600000","2020-08-28T17:29:10.358+01:00","241","28","Friday","17.48611111111111","49","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598639412574","3600000","2020-08-28T19:30:12.574+01:00","241","28","Friday","19.503333333333334","50","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598725564337","3600000","2020-08-29T19:26:04.337+01:00","242","29","Saturday","19.434444444444445","51","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598728026202","3600000","2020-08-29T20:07:06.202+01:00","242","29","Saturday","20.118333333333332","52","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598807042803","3600000","2020-08-30T18:04:02.803+01:00","243","30","Sunday","18.067222222222224","53","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598808893222","3600000","2020-08-30T18:34:53.222+01:00","243","30","Sunday","18.58138888888889","54","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598864080333","3600000","2020-08-31T09:54:40.333+01:00","244","31","Monday","9.911111111111111","55","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598869310065","3600000","2020-08-31T11:21:50.065+01:00","244","31","Monday","11.363888888888889","56","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598902358514","3600000","2020-08-31T20:32:38.514+01:00","244","31","Monday","20.54388888888889","57","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598904776556","3600000","2020-08-31T21:12:56.556+01:00","244","31","Monday","21.215555555555557","58","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598950830510","3600000","2020-09-01T10:00:30.510+01:00","245","1","Tuesday","10.008333333333333","59","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598955517028","3600000","2020-09-01T11:18:37.028+01:00","245","1","Tuesday","11.310277777777777","60","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1598982014502","3600000","2020-09-01T18:40:14.502+01:00","245","1","Tuesday","18.670555555555556","61","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1598986337110","3600000","2020-09-01T19:52:17.110+01:00","245","1","Tuesday","19.871388888888887","62","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599147979907","7200000","2020-09-03T17:46:19.907+02:00","247","3","Thursday","17.771944444444443","63","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599151491327","7200000","2020-09-03T18:44:51.327+02:00","247","3","Thursday","18.7475","64","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599238658726","7200000","2020-09-04T18:57:38.726+02:00","248","4","Friday","18.960555555555555","65","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599240352077","7200000","2020-09-04T19:25:52.077+02:00","248","4","Friday","19.43111111111111","66","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599291871668","7200000","2020-09-05T09:44:31.668+02:00","249","5","Saturday","9.741944444444444","67","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599306535052","7200000","2020-09-05T13:48:55.052+02:00","249","5","Saturday","13.815277777777778","68","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599406076239","7200000","2020-09-06T17:27:56.239+02:00","250","6","Sunday","17.465555555555557","69","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599408794709","7200000","2020-09-06T18:13:14.709+02:00","250","6","Sunday","18.220555555555556","70","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599494649208","7200000","2020-09-07T18:04:09.208+02:00","251","7","Monday","18.069166666666668","71","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599496814412","7200000","2020-09-07T18:40:14.412+02:00","251","7","Monday","18.670555555555556","72","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599575183925","7200000","2020-09-08T16:26:23.925+02:00","252","8","Tuesday","16.439722222222223","73","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599578645621","7200000","2020-09-08T17:24:05.621+02:00","252","8","Tuesday","17.40138888888889","74","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599665229478","7200000","2020-09-09T17:27:09.478+02:00","253","9","Wednesday","17.4525","75","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599669918824","7200000","2020-09-09T18:45:18.824+02:00","253","9","Wednesday","18.755","76","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599751048112","7200000","2020-09-10T17:17:28.112+02:00","254","10","Thursday","17.29111111111111","77","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599754559118","7200000","2020-09-10T18:15:59.118+02:00","254","10","Thursday","18.26638888888889","78","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1599920101143","7200000","2020-09-12T16:15:01.143+02:00","256","12","Saturday","16.25027777777778","79","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1599933330417","7200000","2020-09-12T19:55:30.417+02:00","256","12","Saturday","19.925","80","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600002435550","7200000","2020-09-13T15:07:15.550+02:00","257","13","Sunday","15.120833333333334","81","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600012599690","7200000","2020-09-13T17:56:39.690+02:00","257","13","Sunday","17.944166666666668","82","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600089787987","7200000","2020-09-14T15:23:07.987+02:00","258","14","Monday","15.385277777777778","83","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600098154770","7200000","2020-09-14T17:42:34.770+02:00","258","14","Monday","17.709444444444443","84","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600188458104","7200000","2020-09-15T18:47:38.104+02:00","259","15","Tuesday","18.79388888888889","85","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600189304894","7200000","2020-09-15T19:01:44.894+02:00","259","15","Tuesday","19.02888888888889","86","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600269846517","7200000","2020-09-16T17:24:06.517+02:00","260","16","Wednesday","17.401666666666667","87","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600272165288","7200000","2020-09-16T18:02:45.288+02:00","260","16","Wednesday","18.045833333333334","88","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600353907115","7200000","2020-09-17T16:45:07.115+02:00","261","17","Thursday","16.751944444444444","89","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600359359857","7200000","2020-09-17T18:15:59.857+02:00","261","17","Thursday","18.26638888888889","90","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600441961261","7200000","2020-09-18T17:12:41.261+02:00","262","18","Friday","17.211388888888887","91","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600442731612","7200000","2020-09-18T17:25:31.612+02:00","262","18","Friday","17.42527777777778","92","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600520397061","7200000","2020-09-19T14:59:57.061+02:00","263","19","Saturday","14.999166666666667","93","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600523262129","7200000","2020-09-19T15:47:42.129+02:00","263","19","Saturday","15.795","94","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600531263382","7200000","2020-09-19T18:01:03.382+02:00","263","19","Saturday","18.0175","95","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600533664005","7200000","2020-09-19T18:41:04.005+02:00","263","19","Saturday","18.684444444444445","96","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600593155272","7200000","2020-09-20T11:12:35.272+02:00","264","20","Sunday","11.209722222222222","97","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600600548857","7200000","2020-09-20T13:15:48.857+02:00","264","20","Sunday","13.263333333333334","98","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600706321143","7200000","2020-09-21T18:38:41.143+02:00","265","21","Monday","18.64472222222222","99","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600708622575","7200000","2020-09-21T19:17:02.575+02:00","265","21","Monday","19.28388888888889","100","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600862440989","7200000","2020-09-23T14:00:40.989+02:00","267","23","Wednesday","14.011111111111111","102","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600868495427","7200000","2020-09-23T15:41:35.427+02:00","267","23","Wednesday","15.693055555555556","103","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600875957808","7200000","2020-09-23T17:45:57.808+02:00","267","23","Wednesday","17.765833333333333","104","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600878388071","7200000","2020-09-23T18:26:28.071+02:00","267","23","Wednesday","18.441111111111113","105","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1600956860902","7200000","2020-09-24T16:14:20.902+02:00","268","24","Thursday","16.238888888888887","106","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1600959818499","7200000","2020-09-24T17:03:38.499+02:00","268","24","Thursday","17.060555555555556","107","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601044828721","7200000","2020-09-25T16:40:28.721+02:00","269","25","Friday","16.674444444444443","108","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601047208712","7200000","2020-09-25T17:20:08.712+02:00","269","25","Friday","17.335555555555555","109","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601128821628","7200000","2020-09-26T16:00:21.628+02:00","270","26","Saturday","16.00583333333333","110","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601136048172","7200000","2020-09-26T18:00:48.172+02:00","270","26","Saturday","18.013333333333332","111","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601199433365","7200000","2020-09-27T11:37:13.365+02:00","271","27","Sunday","11.620277777777778","112","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601203037860","7200000","2020-09-27T12:37:17.860+02:00","271","27","Sunday","12.62138888888889","113","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601308037721","7200000","2020-09-28T17:47:17.721+02:00","272","28","Monday","17.788055555555555","114","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601310817449","7200000","2020-09-28T18:33:37.449+02:00","272","28","Monday","18.560277777777777","115","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601389854346","7200000","2020-09-29T16:30:54.346+02:00","273","29","Tuesday","16.515","116","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601397792602","7200000","2020-09-29T18:43:12.602+02:00","273","29","Tuesday","18.72","117","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601470109898","7200000","2020-09-30T14:48:29.898+02:00","274","30","Wednesday","14.808055555555555","118","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601473219422","7200000","2020-09-30T15:40:19.422+02:00","274","30","Wednesday","15.671944444444444","119","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601481939753","7200000","2020-09-30T18:05:39.753+02:00","274","30","Wednesday","18.094166666666666","120","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601484030564","7200000","2020-09-30T18:40:30.564+02:00","274","30","Wednesday","18.675","121","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601541531912","7200000","2020-10-01T10:38:51.912+02:00","275","1","Thursday","10.6475","122","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601547046697","7200000","2020-10-01T12:10:46.697+02:00","275","1","Thursday","12.179444444444444","123","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601656469071","7200000","2020-10-02T18:34:29.071+02:00","276","2","Friday","18.57472222222222","124","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601658888832","7200000","2020-10-02T19:14:48.832+02:00","276","2","Friday","19.246666666666666","125","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601737106485","7200000","2020-10-03T16:58:26.485+02:00","277","3","Saturday","16.97388888888889","126","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601739212865","7200000","2020-10-03T17:33:32.865+02:00","277","3","Saturday","17.558888888888887","127","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601800273891","7200000","2020-10-04T10:31:13.891+02:00","278","4","Sunday","10.520277777777778","128","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601804890593","7200000","2020-10-04T11:48:10.593+02:00","278","4","Sunday","11.802777777777777","129","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601818288522","7200000","2020-10-04T15:31:28.522+02:00","278","4","Sunday","15.524444444444445","130","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601821362950","7200000","2020-10-04T16:22:42.950+02:00","278","4","Sunday","16.378333333333334","131","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1601912665402","7200000","2020-10-05T17:44:25.402+02:00","279","5","Monday","17.740277777777777","132","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1601914807158","7200000","2020-10-05T18:20:07.158+02:00","279","5","Monday","18.335277777777776","133","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
