Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-08-2020","2,355","7,608","5.65","20","1,282","115","22","21","837"
"02-08-2020","2,132","2,482","1.84","0","1,246","103","2","14","565"
"03-08-2020","2,156","4,382","3.26","10","1,288","144","4","4","625"
"04-08-2020","2,035","5,075","3.77","0","1,291","58","15","10","436"
"05-08-2020","2,133","6,707","4.98","0","1,331","60","21","28","573"
"06-08-2020","2,934","13,567","10.08","17","1,226","89","40","85","1,475"
"07-08-2020","1,985","3,028","2.25","5","1,365","65","1","9","374"
"08-08-2020","2,203","6,298","4.68","4","1,309","101","12","18","658"
"09-08-2020","2,423","7,958","5.91","16","1,269","125","17","29","913"
"10-08-2020","2,463","9,729","7.23","9","1,269","115","21","35","964"
"11-08-2020","2,204","7,038","5.23","13","1,327","55","18","40","651"
"12-08-2020","2,720","10,116","7.52","11","1,257","115","9","59","1,229"
"13-08-2020","2,314","7,247","5.38","6","1,313","78","12","37","765"
"14-08-2020","2,555","11,649","8.66","25","1,117","112","41","35","1,079"
"15-08-2020","2,222","7,539","5.6","6","1,308","90","20","22","678"
"16-08-2020","2,235","6,325","4.7","4","1,306","104","13","17","692"
"17-08-2020","2,612","9,063","6.73","40","1,124","182","36","20","1,137"
"18-08-2020","2,279","6,937","5.15","16","1,279","133","17","11","773"
"19-08-2020","2,265","6,646","4.94","54","1,309","75","27","29","727"
"20-08-2020","1,985","3,423","2.54","8","1,350","81","8","1","403"
"21-08-2020","2,443","9,644","7.17","25","1,234","182","22","2","958"
"22-08-2020","1,919","2,860","2.12","16","1,380","42","4","14","304"
"23-08-2020","2,308","7,591","5.64","77","1,325","61","10","44","751"
"24-08-2020","1,888","1,134","0.84","2","1,386","54","0","0","248"
"25-08-2020","2,793","12,256","9.11","42","1,182","177","41","40","1,349"
"26-08-2020","2,318","9,022","6.7","25","1,439","1","0","0","3"
"27-08-2020","2,265","8,230","6.11","24","1,309","62","34","35","729"
"28-08-2020","2,248","7,989","5.94","15","1,316","65","25","34","704"
"29-08-2020","2,196","5,123","3.81","11","1,357","29","10","44","612"
"30-08-2020","2,423","8,058","5.99","33","1,201","152","6","21","925"
"31-08-2020","2,439","8,412","6.25","21","1,265","152","9","14","934"
