Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-03-2021","1794","1176","0,87","2","1403","37","0","0","157"
"02-03-2021","1824","1702","1,26","3","1400","40","0","0","186"
"03-03-2021","2207","4625","3,44","2","1304","116","10","10","668"
"04-03-2021","2154","3077","2,29","9","1318","100","18","4","610"
"05-03-2021","2698","7650","5,68","11","1218","186","12","24","1184"
"06-03-2021","3402","14410","10,71","108","1013","148","92","97","2059"
"07-03-2021","2077","3753","2,79","8","1340","78","12","10","479"
"08-03-2021","2376","6219","4,62","1","1295","104","7","34","813"
"09-03-2021","1987","4100","3,05","4","1369","40","6","25","390"
"10-03-2021","2043","4793","3,56","3","1354","50","13","23","459"
"11-03-2021","2163","6222","4,62","5","1333","53","30","24","593"
"12-03-2021","2042","5079","3,77","7","1366","31","12","31","437"
"13-03-2021","2211","6912","5,14","34","1304","96","15","25","669"
"14-03-2021","1730","601","0,45","4","1422","18","0","0","71"
"15-03-2021","2577","9713","7,22","33","1159","159","40","20","1111"
"16-03-2021","2178","6463","4,8","4","1321","73","26","20","629"
"17-03-2021","2123","4822","3,58","2","1333","61","33","13","567"
"18-03-2021","2186","6559","4,87","13","1316","82","21","21","643"
"19-03-2021","2091","5801","4,31","14","1344","65","4","27","518"
"20-03-2021","2099","5901","4,38","3","1348","44","19","29","520"
"21-03-2021","2168","6036","4,48","7","1330","62","26","22","614"
"22-03-2021","2045","5352","3,98","6","1361","40","17","22","455"
"23-03-2021","2111","5192","3,86","5","1336","67","18","19","548"
"24-03-2021","2165","6283","4,67","5","1327","63","36","14","612"
"25-03-2021","1826","1343","1","1","1395","45","0","0","199"
"26-03-2021","2092","5554","4,13","4","1341","61","16","22","524"
"27-03-2021","2151","6605","4,91","5","1332","50","35","23","586"
"28-03-2021","2115","6368","4,73","5","1346","38","25","31","545"
"29-03-2021","2110","5800","4,31","5","1342","60","20","18","537"
"30-03-2021","1929","3184","2,37","3","1370","70","0","0","327"
"31-03-2021","2130","5859","4,35","5","1329","58","39","14","575"

