Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/5/18,transport,transport,2018-07-05T08:36:52-07:00,2018-07-05T08:53:32-07:00,1000,1.283,0,0
7/5/18,walking,walking,2018-07-05T09:28:16-07:00,2018-07-05T09:28:49-07:00,33,0.016,50,1
7/5/18,transport,transport,2018-07-05T12:47:39-07:00,2018-07-05T12:51:31-07:00,232,0.485,0,0
7/5/18,transport,transport,2018-07-05T12:56:01-07:00,2018-07-05T13:11:12-07:00,911,2.701,0,0
7/5/18,transport,transport,2018-07-05T14:30:16-07:00,2018-07-05T14:42:35-07:00,739,2.410,0,0
7/5/18,walking,walking,2018-07-05T14:50:50-07:00,2018-07-05T15:04:08-07:00,798,0.560,1184,53
7/5/18,walking,walking,2018-07-05T15:04:20-07:00,2018-07-05T15:04:39-07:00,19,0.009,30,1
7/5/18,walking,walking,2018-07-05T16:00:24-07:00,2018-07-05T16:11:02-07:00,638,0.484,1081,46
7/5/18,transport,transport,2018-07-05T16:11:02-07:00,2018-07-05T16:18:53-07:00,471,2.395,0,0
7/5/18,walking,walking,2018-07-05T16:30:24-07:00,2018-07-05T16:31:24-07:00,60,0.028,90,3
7/5/18,walking,walking,2018-07-05T20:24:45-07:00,2018-07-05T20:25:14-07:00,29,0.016,50,1
7/5/18,transport,transport,2018-07-05T22:41:57-07:00,2018-07-05T22:47:58-07:00,361,2.403,0,0
