Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
7/19/18,Unknown,2018-07-19T10:03:17-07:00,2018-07-19T11:04:20-07:00,3663,38.730855,-120.78693,,
7/19/18,Unknown,2018-07-19T11:32:16-07:00,2018-07-19T11:53:37-07:00,1281,38.644746,-121.12056,,
7/19/18,Unknown,2018-07-19T11:53:38-07:00,2018-07-19T12:14:35-07:00,1257,38.645523,-121.11734,,
7/19/18,Unknown,2018-07-19T12:46:45-07:00,2018-07-19T13:01:02-07:00,857,38.579982,-121.49286,,
7/19/18,Unknown,2018-07-19T13:08:24-07:00,2018-07-19T13:24:10-07:00,946,38.57687,-121.49358,,
7/19/18,Unknown,2018-07-19T13:24:22-07:00,2018-07-19T13:34:52-07:00,630,38.579285,-121.49241,,
7/19/18,Unknown,2018-07-19T13:42:47-07:00,2018-07-19T14:10:53-07:00,1686,38.582907,-121.50429,,
7/19/18,Unknown,2018-07-19T14:15:12-07:00,2018-07-19T14:22:42-07:00,450,38.582883,-121.50573,,
7/19/18,Unknown,2018-07-19T17:50:05-07:00,2018-07-19T18:28:07-07:00,2282,36.604907,-121.86777,,
7/19/18,Unknown,2018-07-19T18:38:17-07:00,2018-07-19T20:12:09-07:00,5632,36.604907,-121.86777,,
7/19/18,Unknown,2018-07-19T20:19:01-07:00,2018-07-19T21:46:20-07:00,5239,36.599698,-121.88849,,
