Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/1/17,transport,transport,2017-12-01T08:29:51-07:00,2017-12-01T09:01:55-07:00,1924,3.376,0,0
12/1/17,transport,transport,2017-12-01T11:50:45-07:00,2017-12-01T12:00:13-07:00,568,1.287,0,0
12/1/17,walking,walking,2017-12-01T16:56:57-07:00,2017-12-01T16:57:16-07:00,19,0.009,30,1
12/1/17,transport,transport,2017-12-01T17:00:52-07:00,2017-12-01T17:07:36-07:00,404,2.181,0,0
12/1/17,walking,walking,2017-12-01T17:08:03-07:00,2017-12-01T17:28:11-07:00,1208,0.583,1424,56
12/1/17,walking,walking,2017-12-01T17:29:50-07:00,2017-12-01T17:30:44-07:00,54,0.025,82,2
12/1/17,transport,transport,2017-12-01T17:35:19-07:00,2017-12-01T17:41:26-07:00,367,2.229,0,0
12/1/17,walking,walking,2017-12-01T18:21:34-07:00,2017-12-01T18:22:00-07:00,26,0.012,40,1
12/1/17,walking,walking,2017-12-01T18:26:51-07:00,2017-12-01T18:27:10-07:00,19,0.009,30,1
12/1/17,walking,walking,2017-12-01T21:56:05-07:00,2017-12-01T21:56:34-07:00,29,0.019,60,2
12/1/17,transport,transport,2017-12-01T23:22:21-07:00,2017-12-01T23:31:30-07:00,549,3.185,0,0
12/2/17,transport,transport,2017-12-02T09:21:42-07:00,2017-12-02T09:38:55-07:00,1033,1.885,0,0
12/2/17,transport,transport,2017-12-02T13:37:43-07:00,2017-12-02T14:05:19-07:00,1656,9.079,0,0
12/2/17,walking,walking,2017-12-02T14:07:44-07:00,2017-12-02T14:13:44-07:00,360,0.252,540,24
12/2/17,walking,walking,2017-12-02T14:40:08-07:00,2017-12-02T14:56:20-07:00,972,0.386,1236,37
12/2/17,walking,walking,2017-12-02T14:56:44-07:00,2017-12-02T14:57:44-07:00,60,0.028,90,3
12/2/17,walking,walking,2017-12-02T14:58:59-07:00,2017-12-02T15:10:25-07:00,686,0.390,1256,37
12/2/17,transport,transport,2017-12-02T15:10:25-07:00,2017-12-02T15:36:04-07:00,1539,8.592,0,0
12/2/17,transport,transport,2017-12-02T18:18:44-07:00,2017-12-02T18:22:38-07:00,234,0.366,0,0
12/2/17,transport,transport,2017-12-02T22:38:43-07:00,2017-12-02T22:40:26-07:00,103,0.465,0,0
12/3/17,transport,transport,2017-12-03T09:28:40-07:00,2017-12-03T09:37:50-07:00,550,0.393,0,0
12/3/17,transport,transport,2017-12-03T15:36:54-07:00,2017-12-03T15:40:53-07:00,239,1.649,0,0
12/3/17,walking,walking,2017-12-03T15:44:35-07:00,2017-12-03T15:45:35-07:00,60,0.028,90,3
12/3/17,transport,transport,2017-12-03T15:49:35-07:00,2017-12-03T15:56:09-07:00,394,0.295,0,0
12/3/17,walking,walking,2017-12-03T15:56:09-07:00,2017-12-03T16:03:18-07:00,429,0.285,842,27
12/3/17,walking,walking,2017-12-03T16:05:27-07:00,2017-12-03T16:06:40-07:00,73,0.034,110,3
12/3/17,walking,walking,2017-12-03T16:34:41-07:00,2017-12-03T16:49:21-07:00,880,0.728,1681,70
12/3/17,transport,transport,2017-12-03T16:54:09-07:00,2017-12-03T16:59:07-07:00,298,1.628,0,0
12/3/17,walking,walking,2017-12-03T17:35:13-07:00,2017-12-03T17:35:39-07:00,26,0.012,40,1
12/3/17,transport,transport,2017-12-03T23:41:24-07:00,2017-12-03T23:50:34-07:00,550,0.393,0,0
12/4/17,transport,transport,2017-12-04T09:23:17-07:00,2017-12-04T09:30:48-07:00,451,0.430,0,0
12/4/17,transport,transport,2017-12-04T10:02:58-07:00,2017-12-04T10:50:48-07:00,2870,22.696,0,0
12/4/17,transport,transport,2017-12-04T12:56:37-07:00,2017-12-04T13:07:49-07:00,672,1.383,0,0
12/5/17,transport,transport,2017-12-05T08:09:54-07:00,2017-12-05T08:26:34-07:00,1000,1.437,0,0
12/5/17,walking,walking,2017-12-05T08:57:03-07:00,2017-12-05T08:57:16-07:00,13,0.006,20,1
12/5/17,walking,walking,2017-12-05T10:52:06-07:00,2017-12-05T10:52:35-07:00,29,0.009,20,1
12/5/17,walking,walking,2017-12-05T14:58:30-07:00,2017-12-05T14:58:43-07:00,13,0.006,20,1
12/5/17,transport,transport,2017-12-05T16:34:53-07:00,2017-12-05T16:51:45-07:00,1012,5.538,0,0
12/5/17,walking,walking,2017-12-05T16:55:31-07:00,2017-12-05T17:08:54-07:00,803,0.375,1043,36
12/5/17,walking,walking,2017-12-05T17:13:09-07:00,2017-12-05T17:15:16-07:00,127,0.089,191,8
12/5/17,transport,transport,2017-12-05T17:18:20-07:00,2017-12-05T17:29:41-07:00,681,2.424,0,0
12/5/17,walking,walking,2017-12-05T21:47:14-07:00,2017-12-05T21:47:27-07:00,13,0.006,20,1
12/6/17,transport,transport,2017-12-06T09:05:45-07:00,2017-12-06T09:09:53-07:00,248,1.112,0,0
12/6/17,transport,transport,2017-12-06T14:04:59-07:00,2017-12-06T14:13:45-07:00,526,1.574,0,0
12/6/17,transport,transport,2017-12-06T14:23:14-07:00,2017-12-06T14:27:03-07:00,229,0.808,0,0
12/6/17,walking,walking,2017-12-06T14:46:37-07:00,2017-12-06T14:47:23-07:00,46,0.022,70,2
12/6/17,transport,transport,2017-12-06T14:47:29-07:00,2017-12-06T14:54:33-07:00,424,0.409,0,0
12/6/17,walking,walking,2017-12-06T14:54:33-07:00,2017-12-06T15:30:29-07:00,2156,1.289,3931,123
12/6/17,transport,transport,2017-12-06T17:02:11-07:00,2017-12-06T17:12:35-07:00,624,3.126,0,0
12/6/17,walking,walking,2017-12-06T17:14:20-07:00,2017-12-06T17:15:13-07:00,53,0.025,80,2
12/6/17,transport,transport,2017-12-06T17:21:28-07:00,2017-12-06T17:26:29-07:00,301,2.904,0,0
12/6/17,walking,walking,2017-12-06T17:27:09-07:00,2017-12-06T17:27:42-07:00,33,0.016,50,1
12/6/17,walking,walking,2017-12-06T20:35:22-07:00,2017-12-06T20:35:51-07:00,29,0.009,30,1
12/6/17,transport,transport,2017-12-06T22:30:56-07:00,2017-12-06T22:32:56-07:00,120,0.450,0,0
12/7/17,transport,transport,2017-12-07T09:29:45-07:00,2017-12-07T09:37:15-07:00,450,1.122,0,0
12/7/17,walking,walking,2017-12-07T14:24:00-07:00,2017-12-07T14:25:06-07:00,66,0.031,100,3
12/7/17,transport,transport,2017-12-07T14:31:57-07:00,2017-12-07T14:36:39-07:00,282,2.368,0,0
12/7/17,transport,transport,2017-12-07T16:42:04-07:00,2017-12-07T16:58:44-07:00,1000,0.943,0,0
12/7/17,walking,walking,2017-12-07T17:03:22-07:00,2017-12-07T17:08:16-07:00,294,0.097,312,9
12/7/17,walking,walking,2017-12-07T17:18:50-07:00,2017-12-07T17:21:24-07:00,154,0.107,231,10
12/7/17,transport,transport,2017-12-07T20:52:07-07:00,2017-12-07T21:08:36-07:00,989,1.877,0,0
12/7/17,walking,walking,2017-12-07T22:08:05-07:00,2017-12-07T22:08:25-07:00,20,0.009,30,1
12/7/17,transport,transport,2017-12-07T22:32:44-07:00,2017-12-07T22:38:04-07:00,320,1.173,0,0
12/8/17,transport,transport,2017-12-08T08:45:29-07:00,2017-12-08T08:50:34-07:00,305,1.164,0,0
