Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
2/1/18,Unknown,2018-02-01T00:00:00-07:00,2018-02-01T10:39:44-07:00,38384,30.351513,-97.745021,,
2/1/18,Unknown,2018-02-01T11:06:26-07:00,2018-02-01T11:11:23-07:00,297,30.202931,-97.666251,,
2/3/18,Unknown,2018-02-03T13:42:10-07:00,2018-02-03T15:10:01-07:00,5271,33.999659,-118.48523,,
2/3/18,Unknown,2018-02-03T15:41:13-07:00,2018-02-03T15:52:34-07:00,681,33.987444,-118.47227,,
2/3/18,Unknown,2018-02-03T15:59:28-07:00,2018-02-03T16:14:00-07:00,872,33.98462,-118.47417,,
2/3/18,Unknown,2018-02-03T16:25:07-07:00,2018-02-03T16:35:34-07:00,627,33.98734,-118.4757,,
2/3/18,Unknown,2018-02-03T17:15:32-07:00,2018-02-03T17:37:54-07:00,1342,34.038893,-118.55401,,
2/3/18,Unknown,2018-02-03T17:42:00-07:00,2018-02-03T18:41:47-07:00,3587,34.045811,-118.5598,,
2/3/18,Unknown,2018-02-03T18:47:31-07:00,2018-02-03T19:53:54-07:00,3983,34.041976,-118.55491,,
2/3/18,Unknown,2018-02-03T19:53:55-07:00,2018-02-03T20:03:54-07:00,599,34.042847,-118.55598,,
2/3/18,Unknown,2018-02-03T20:05:12-07:00,2018-02-04T00:00:00-07:00,14088,34.044474,-118.55803,,
2/4/18,Unknown,2018-02-04T00:00:00-07:00,2018-02-04T09:36:32-07:00,34592,34.044474,-118.55803,,
2/4/18,Unknown,2018-02-04T10:29:31-07:00,2018-02-04T12:05:41-07:00,5770,34.043916,-118.52169,,
2/4/18,Unknown,2018-02-04T12:11:19-07:00,2018-02-04T15:48:13-07:00,13014,34.04809,-118.49148,,
2/4/18,Unknown,2018-02-04T16:12:54-07:00,2018-02-04T16:17:44-07:00,290,34.035886,-118.47739,,
2/4/18,Unknown,2018-02-04T16:24:34-07:00,2018-02-04T16:33:46-07:00,552,34.032818,-118.47529,,
2/4/18,Unknown,2018-02-04T16:58:47-07:00,2018-02-04T22:09:45-07:00,18658,34.040483,-118.46344,,
2/4/18,Unknown,2018-02-04T22:18:55-07:00,2018-02-04T22:30:44-07:00,709,34.044704,-118.46654,,
2/4/18,Unknown,2018-02-04T22:30:45-07:00,2018-02-04T22:41:49-07:00,664,34.044746,-118.46824,,
2/4/18,Unknown,2018-02-04T23:13:00-07:00,2018-02-05T00:00:00-07:00,2820,34.048276,-118.49122,,
2/5/18,Unknown,2018-02-05T00:00:00-07:00,2018-02-05T15:25:51-07:00,55551,34.048276,-118.49122,,
2/5/18,Unknown,2018-02-05T18:58:31-07:00,2018-02-05T19:08:32-07:00,601,34.03509,-118.49124,,
2/5/18,Unknown,2018-02-05T19:17:39-07:00,2018-02-06T00:00:00-07:00,16941,34.015896,-118.47636,,
2/6/18,Unknown,2018-02-06T00:00:00-07:00,2018-02-06T12:53:37-07:00,46417,34.015896,-118.47636,,
2/6/18,Unknown,2018-02-06T13:05:44-07:00,2018-02-06T16:29:03-07:00,12199,34.012034,-118.483,,
2/6/18,Unknown,2018-02-06T16:57:33-07:00,2018-02-06T17:09:02-07:00,689,34.007516,-118.49976,,
2/6/18,Unknown,2018-02-06T17:17:57-07:00,2018-02-06T17:20:45-07:00,168,34.007744,-118.49652,,
2/6/18,Unknown,2018-02-06T17:54:32-07:00,2018-02-06T18:41:19-07:00,2807,34.015637,-118.4771,,
2/6/18,Unknown,2018-02-06T18:52:09-07:00,2018-02-06T19:18:22-07:00,1573,34.012034,-118.483,,
2/6/18,Unknown,2018-02-06T19:31:51-07:00,2018-02-07T00:00:00-07:00,16089,33.98729,-118.46463,,
2/7/18,Unknown,2018-02-07T00:00:00-07:00,2018-02-07T15:15:26-07:00,54926,33.98729,-118.46463,,
2/8/18,Unknown,2018-02-08T11:34:35-07:00,2018-02-08T12:14:48-07:00,2413,34.044949,-118.55179,,
2/8/18,Unknown,2018-02-08T12:47:09-07:00,2018-02-08T17:12:54-07:00,15945,34.013117,-118.81913,,
2/8/18,Unknown,2018-02-08T17:31:41-07:00,2018-02-08T17:57:55-07:00,1574,34.005536,-118.81234,,
2/8/18,Unknown,2018-02-08T18:11:35-07:00,2018-02-08T19:03:23-07:00,3108,34.011388,-118.81707,,
2/8/18,Unknown,2018-02-08T19:09:18-07:00,2018-02-08T19:18:31-07:00,553,34.009591,-118.81389,,
2/8/18,Unknown,2018-02-08T20:18:57-07:00,2018-02-08T22:46:38-07:00,8861,34.020878,-118.81044,,
2/8/18,Unknown,2018-02-08T22:52:14-07:00,2018-02-09T00:00:00-07:00,4066,34.025422,-118.82176,,
2/9/18,Unknown,2018-02-09T00:00:00-07:00,2018-02-09T09:10:58-07:00,33058,34.025422,-118.82176,,
2/9/18,Unknown,2018-02-09T09:15:58-07:00,2018-02-09T15:44:04-07:00,23286,34.030986,-118.84285,,
2/9/18,Unknown,2018-02-09T16:05:11-07:00,2018-02-09T16:16:50-07:00,699,34.029238,-118.84114,,
2/9/18,Unknown,2018-02-09T16:21:25-07:00,2018-02-09T18:28:51-07:00,7646,34.035705,-118.85605,,
2/9/18,Unknown,2018-02-09T20:17:55-07:00,2018-02-09T22:28:51-07:00,7856,34.020649,-118.81022,,
2/10/18,Unknown,2018-02-10T10:29:30-07:00,2018-02-10T13:05:05-07:00,9335,34.030986,-118.84285,,
2/10/18,Unknown,2018-02-10T19:18:23-07:00,2018-02-10T21:46:08-07:00,8865,34.030986,-118.84285,,
2/10/18,Unknown,2018-02-10T22:15:49-07:00,2018-02-10T22:30:56-07:00,907,34.030986,-118.84285,,
2/11/18,Unknown,2018-02-11T10:05:28-07:00,2018-02-11T10:31:53-07:00,1585,34.011918,-118.81851,,
2/11/18,Unknown,2018-02-11T10:38:59-07:00,2018-02-11T12:24:35-07:00,6336,34.009504,-118.81599,,
2/11/18,Unknown,2018-02-11T12:34:29-07:00,2018-02-11T15:09:30-07:00,9301,34.013117,-118.81913,,
