Date,Activity,Group,Duration,Distance,Steps,Calories
12/1/17,transport,transport,3812,12.257,0,0
12/1/17,walking,walking,1355,0.658,1666,63
12/2/17,transport,transport,4565,20.387,0,0
12/2/17,walking,walking,2078,1.056,3122,101
12/3/17,transport,transport,2031,4.358,0,0
12/3/17,walking,walking,1468,1.087,2763,104
12/4/17,transport,transport,3993,24.509,0,0
12/5/17,transport,transport,2693,9.400,0,0
12/5/17,walking,walking,998,0.492,1314,47
12/6/17,transport,transport,2472,10.383,0,0
12/6/17,walking,walking,2317,1.361,4161,130
12/7/17,transport,transport,3041,7.482,0,0
12/7/17,walking,walking,534,0.245,673,23
12/8/17,transport,transport,1899,5.863,0,0
12/8/17,walking,walking,679,0.438,969,42
12/9/17,transport,transport,12412,174.286,0,0
12/10/17,transport,transport,6386,48.624,0,0
12/10/17,walking,walking,2934,1.838,4186,176
12/11/17,transport,transport,4093,8.864,0,0
12/11/17,walking,walking,786,0.409,815,39
12/12/17,transport,transport,1405,4.735,0,0
12/12/17,walking,walking,54,0.025,81,2
12/13/17,walking,walking,333,0.238,444,23
12/14/17,walking,walking,2087,1.043,2726,100
12/14/17,transport,transport,2502,21.696,0,0
12/15/17,transport,transport,2475,2.885,0,0
12/15/17,walking,walking,65,0.030,99,3
12/19/17,walking,walking,33,0.016,50,1
12/19/17,transport,transport,320,1.557,0,0
12/20/17,transport,transport,1248,3.334,0,0
12/20/17,walking,walking,475,0.298,716,28
12/22/17,walking,walking,33,0.016,50,1
12/22/17,transport,transport,436,2.019,0,0
12/23/17,transport,transport,1087,3.273,0,0
12/23/17,walking,walking,40,0.019,60,2
12/26/17,transport,transport,5876,47.462,0,0
12/26/17,walking,walking,9,0.004,15,0
12/27/17,transport,transport,3993,12.967,0,0
12/27/17,walking,walking,1242,0.662,1601,63
12/28/17,transport,transport,2828,2.720,0,0
12/28/17,walking,walking,388,0.260,712,25
12/29/17,transport,transport,2827,15.925,0,0
12/29/17,cycling,cycling,2345,13.788,0,564
12/29/17,walking,walking,6568,5.072,11108,485
12/31/17,walking,walking,281,0.183,440,17
12/31/17,transport,transport,2873,21.511,0,0
