Date,Type,Name,Start,End,Duration
1/29/18,place,Unknown,2018-01-29T00:00:00-07:00,2018-01-29T14:42:29-07:00,52949
1/30/18,place,Unknown,2018-01-30T08:50:18-07:00,2018-01-30T13:52:33-07:00,18135
1/30/18,place,Unknown,2018-01-30T13:52:34-07:00,2018-01-30T14:10:05-07:00,1051
1/30/18,place,Unknown,2018-01-30T14:10:06-07:00,2018-01-30T18:08:16-07:00,14290
1/30/18,move,transport,2018-01-30T18:08:16-07:00,2018-01-30T18:47:45-07:00,2369
1/31/18,place,Unknown,2018-01-31T08:04:30-07:00,2018-01-31T09:29:19-07:00,5089
1/31/18,move,transport,2018-01-31T09:29:19-07:00,2018-01-31T09:55:35-07:00,1576
1/31/18,move,walking,2018-01-31T09:55:35-07:00,2018-01-31T10:15:24-07:00,1189
1/31/18,place,Unknown,2018-01-31T10:15:25-07:00,2018-01-31T10:24:17-07:00,532
1/31/18,move,walking,2018-01-31T10:24:17-07:00,2018-01-31T10:32:33-07:00,496
1/31/18,place,Unknown,2018-01-31T10:32:33-07:00,2018-01-31T10:36:52-07:00,259
1/31/18,move,walking,2018-01-31T10:36:52-07:00,2018-01-31T10:55:19-07:00,1107
1/31/18,place,Unknown,2018-01-31T10:55:20-07:00,2018-01-31T11:04:13-07:00,533
1/31/18,move,transport,2018-01-31T11:04:13-07:00,2018-01-31T11:38:57-07:00,2084
1/31/18,place,Unknown,2018-01-31T12:34:48-07:00,2018-01-31T14:51:40-07:00,8212
1/31/18,move,transport,2018-01-31T14:51:40-07:00,2018-01-31T14:58:03-07:00,383
1/31/18,place,Unknown,2018-01-31T14:58:03-07:00,2018-01-31T15:27:21-07:00,1758
1/31/18,move,transport,2018-01-31T15:27:21-07:00,2018-01-31T15:43:02-07:00,941
1/31/18,place,Unknown,2018-01-31T15:43:03-07:00,2018-01-31T15:47:26-07:00,263
1/31/18,move,transport,2018-01-31T15:47:26-07:00,2018-01-31T16:01:28-07:00,842
1/31/18,place,Unknown,2018-01-31T16:01:29-07:00,2018-01-31T17:17:15-07:00,4546
1/31/18,move,transport,2018-01-31T17:17:15-07:00,2018-01-31T17:25:42-07:00,507
1/31/18,place,Unknown,2018-01-31T17:25:43-07:00,2018-02-01T00:00:00-07:00,23657
2/1/18,place,Unknown,2018-02-01T00:00:00-07:00,2018-02-01T10:39:44-07:00,38384
2/1/18,move,transport,2018-02-01T10:39:44-07:00,2018-02-01T11:06:25-07:00,1601
