Date,Activity,Group,Duration,Distance,Steps,Calories
5/7/18,transport,transport,14089,261.580,0,0
5/8/18,walking,walking,4935,2.796,7117,267
5/8/18,transport,transport,4680,11.508,0,0
5/9/18,walking,walking,8710,5.593,14418,533
5/9/18,transport,transport,6320,42.163,0,0
5/10/18,cycling,cycling,242,0.290,0,14
5/10/18,transport,transport,4078,21.122,0,0
5/10/18,walking,walking,62,0.029,93,3
5/11/18,walking,walking,3440,2.146,5438,205
5/11/18,transport,transport,16347,282.227,0,0
5/13/18,walking,walking,1212,0.600,1857,57
