Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/16/17,walking,walking,2017-10-16T18:35:29-07:00,2017-10-16T18:36:49-07:00,80,0.037,120,4
10/16/17,walking,walking,2017-10-16T19:53:08-07:00,2017-10-16T19:54:38-07:00,90,0.043,140,4
10/16/17,transport,transport,2017-10-16T19:58:38-07:00,2017-10-16T21:11:25-07:00,4367,3.947,0,0
10/17/17,transport,transport,2017-10-17T08:15:57-07:00,2017-10-17T08:32:37-07:00,1000,1.022,0,0
10/17/17,transport,transport,2017-10-17T13:21:01-07:00,2017-10-17T13:28:31-07:00,450,1.269,0,0
10/17/17,transport,transport,2017-10-17T13:49:10-07:00,2017-10-17T13:53:58-07:00,288,0.754,0,0
10/17/17,transport,transport,2017-10-17T14:20:29-07:00,2017-10-17T14:32:39-07:00,730,4.433,0,0
10/17/17,walking,walking,2017-10-17T14:42:45-07:00,2017-10-17T14:58:38-07:00,953,0.552,1583,53
10/17/17,walking,walking,2017-10-17T15:01:10-07:00,2017-10-17T15:01:43-07:00,33,0.016,50,1
10/17/17,walking,walking,2017-10-17T15:20:54-07:00,2017-10-17T15:24:21-07:00,207,0.145,311,14
10/17/17,walking,walking,2017-10-17T15:51:40-07:00,2017-10-17T16:10:34-07:00,1134,0.770,1421,74
10/17/17,transport,transport,2017-10-17T16:10:34-07:00,2017-10-17T16:51:17-07:00,2443,3.367,0,0
10/17/17,walking,walking,2017-10-17T16:56:54-07:00,2017-10-17T16:57:24-07:00,30,0.019,60,2
10/17/17,walking,walking,2017-10-17T19:56:03-07:00,2017-10-17T19:57:09-07:00,66,0.031,100,3
10/17/17,walking,walking,2017-10-17T22:04:29-07:00,2017-10-17T22:04:46-07:00,17,0.009,29,1
10/18/17,transport,transport,2017-10-18T08:52:42-07:00,2017-10-18T09:01:48-07:00,546,1.570,0,0
10/18/17,walking,walking,2017-10-18T09:03:34-07:00,2017-10-18T09:04:34-07:00,60,0.028,90,3
10/18/17,walking,walking,2017-10-18T11:18:06-07:00,2017-10-18T11:19:16-07:00,70,0.028,90,3
10/18/17,walking,walking,2017-10-18T15:25:17-07:00,2017-10-18T15:25:46-07:00,29,0.009,30,1
10/18/17,transport,transport,2017-10-18T15:30:59-07:00,2017-10-18T15:45:57-07:00,898,4.911,0,0
10/18/17,walking,walking,2017-10-18T15:55:16-07:00,2017-10-18T16:15:39-07:00,1223,0.833,2079,80
10/18/17,walking,walking,2017-10-18T16:34:10-07:00,2017-10-18T16:35:19-07:00,69,0.032,104,3
10/18/17,walking,walking,2017-10-18T16:47:36-07:00,2017-10-18T16:48:02-07:00,26,0.012,40,1
10/18/17,walking,walking,2017-10-18T17:15:49-07:00,2017-10-18T17:16:52-07:00,63,0.025,80,2
10/18/17,walking,walking,2017-10-18T17:22:40-07:00,2017-10-18T17:34:44-07:00,724,0.507,1013,49
10/18/17,walking,walking,2017-10-18T17:37:42-07:00,2017-10-18T17:37:55-07:00,13,0.006,20,1
10/18/17,transport,transport,2017-10-18T17:39:42-07:00,2017-10-18T17:55:08-07:00,926,4.095,0,0
10/18/17,transport,transport,2017-10-18T19:15:33-07:00,2017-10-18T19:22:31-07:00,418,1.734,0,0
10/19/17,transport,transport,2017-10-19T12:54:33-07:00,2017-10-19T13:05:24-07:00,651,1.357,0,0
10/19/17,transport,transport,2017-10-19T13:32:19-07:00,2017-10-19T13:35:44-07:00,205,1.011,0,0
10/19/17,transport,transport,2017-10-19T15:04:28-07:00,2017-10-19T15:16:33-07:00,725,7.635,0,0
10/19/17,walking,walking,2017-10-19T15:22:09-07:00,2017-10-19T15:22:42-07:00,33,0.016,50,1
10/19/17,walking,walking,2017-10-19T15:23:59-07:00,2017-10-19T15:29:37-07:00,338,0.150,438,14
10/19/17,walking,walking,2017-10-19T15:33:06-07:00,2017-10-19T15:35:59-07:00,173,0.121,260,12
10/19/17,walking,walking,2017-10-19T16:09:44-07:00,2017-10-19T16:12:31-07:00,167,0.117,251,11
10/19/17,walking,walking,2017-10-19T16:23:23-07:00,2017-10-19T16:30:05-07:00,402,0.252,657,24
10/19/17,walking,walking,2017-10-19T16:32:03-07:00,2017-10-19T16:32:36-07:00,33,0.016,50,1
10/19/17,walking,walking,2017-10-19T16:36:32-07:00,2017-10-19T16:46:48-07:00,616,0.451,809,43
10/19/17,walking,walking,2017-10-19T16:48:00-07:00,2017-10-19T16:49:20-07:00,80,0.037,120,4
10/19/17,transport,transport,2017-10-19T17:00:39-07:00,2017-10-19T17:11:26-07:00,647,7.964,0,0
10/19/17,transport,transport,2017-10-19T19:49:44-07:00,2017-10-19T20:06:15-07:00,991,1.083,0,0
10/20/17,transport,transport,2017-10-20T09:14:02-07:00,2017-10-20T09:17:16-07:00,194,1.022,0,0
10/21/17,walking,walking,2017-10-21T10:57:44-07:00,2017-10-21T10:58:17-07:00,33,0.016,50,1
10/21/17,walking,walking,2017-10-21T11:00:59-07:00,2017-10-21T11:10:56-07:00,597,0.365,831,35
10/21/17,walking,walking,2017-10-21T11:11:40-07:00,2017-10-21T11:13:35-07:00,115,0.053,172,5
10/21/17,walking,walking,2017-10-21T13:32:03-07:00,2017-10-21T13:33:13-07:00,70,0.031,100,3
10/21/17,walking,walking,2017-10-21T13:50:32-07:00,2017-10-21T13:59:33-07:00,541,0.400,767,38
10/21/17,transport,transport,2017-10-21T14:25:50-07:00,2017-10-21T14:50:56-07:00,1506,5.850,0,0
10/21/17,walking,walking,2017-10-21T14:53:43-07:00,2017-10-21T14:56:34-07:00,171,0.120,257,11
10/21/17,walking,walking,2017-10-21T14:57:22-07:00,2017-10-21T15:03:44-07:00,382,0.260,566,25
10/21/17,walking,walking,2017-10-21T15:16:17-07:00,2017-10-21T15:17:30-07:00,73,0.034,111,3
10/21/17,walking,walking,2017-10-21T15:27:13-07:00,2017-10-21T15:27:46-07:00,33,0.016,50,1
10/21/17,walking,walking,2017-10-21T15:41:00-07:00,2017-10-21T15:51:15-07:00,615,0.398,1282,38
10/21/17,transport,transport,2017-10-21T15:51:15-07:00,2017-10-21T16:08:31-07:00,1036,2.663,0,0
10/21/17,transport,transport,2017-10-21T16:41:17-07:00,2017-10-21T16:50:25-07:00,548,0.744,0,0
10/21/17,walking,walking,2017-10-21T16:50:25-07:00,2017-10-21T16:52:45-07:00,140,0.065,211,6
10/21/17,transport,transport,2017-10-21T16:52:45-07:00,2017-10-21T16:59:44-07:00,419,0.635,0,0
10/21/17,walking,walking,2017-10-21T16:59:45-07:00,2017-10-21T17:02:20-07:00,155,0.112,250,11
10/21/17,walking,walking,2017-10-21T18:03:31-07:00,2017-10-21T18:04:27-07:00,56,0.028,90,3
10/21/17,transport,transport,2017-10-21T18:09:06-07:00,2017-10-21T18:13:50-07:00,284,0.434,0,0
10/21/17,walking,walking,2017-10-21T19:18:31-07:00,2017-10-21T19:19:04-07:00,33,0.016,50,1
10/21/17,transport,transport,2017-10-21T21:58:23-07:00,2017-10-21T22:05:09-07:00,406,1.391,0,0
10/23/17,transport,transport,2017-10-23T15:18:05-07:00,2017-10-23T15:30:07-07:00,722,4.015,0,0
10/23/17,walking,walking,2017-10-23T15:42:58-07:00,2017-10-23T15:54:36-07:00,698,0.528,1264,51
10/23/17,walking,walking,2017-10-23T15:55:45-07:00,2017-10-23T15:57:05-07:00,80,0.037,120,4
10/23/17,walking,walking,2017-10-23T17:09:15-07:00,2017-10-23T17:11:05-07:00,110,0.050,161,5
10/23/17,walking,walking,2017-10-23T17:28:19-07:00,2017-10-23T17:38:00-07:00,581,0.388,698,37
10/23/17,walking,walking,2017-10-23T17:39:16-07:00,2017-10-23T17:41:49-07:00,153,0.107,230,10
10/23/17,transport,transport,2017-10-23T17:51:51-07:00,2017-10-23T18:03:23-07:00,692,2.988,0,0
10/23/17,transport,transport,2017-10-23T20:00:20-07:00,2017-10-23T20:06:23-07:00,363,1.242,0,0
10/23/17,transport,transport,2017-10-23T20:28:20-07:00,2017-10-23T20:35:46-07:00,446,1.251,0,0
10/24/17,transport,transport,2017-10-24T09:58:45-07:00,2017-10-24T10:15:25-07:00,1000,1.012,0,0
10/24/17,transport,transport,2017-10-24T14:42:07-07:00,2017-10-24T14:53:16-07:00,669,6.054,0,0
10/24/17,walking,walking,2017-10-24T15:01:02-07:00,2017-10-24T15:11:13-07:00,611,0.428,1197,41
10/24/17,walking,walking,2017-10-24T15:21:43-07:00,2017-10-24T15:21:46-07:00,3,0.001,5,0
10/24/17,walking,walking,2017-10-24T15:22:30-07:00,2017-10-24T15:36:21-07:00,831,0.482,1409,46
10/24/17,walking,walking,2017-10-24T15:40:20-07:00,2017-10-24T15:55:10-07:00,890,0.580,1519,55
10/24/17,transport,transport,2017-10-24T15:55:10-07:00,2017-10-24T16:03:46-07:00,516,4.884,0,0
10/24/17,transport,transport,2017-10-24T16:08:47-07:00,2017-10-24T16:19:11-07:00,624,1.479,0,0
10/24/17,transport,transport,2017-10-24T22:22:08-07:00,2017-10-24T22:34:43-07:00,755,1.251,0,0
10/26/17,transport,transport,2017-10-26T14:13:53-07:00,2017-10-26T14:26:01-07:00,728,3.710,0,0
