Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-09-2018","2,067","3,571","2.65","2","1,356","84","0","0","376"
"02-09-2018","2,549","9,522","7.07","10","1,352","72","11","5","408"
"03-09-2018","2,677","9,669","7.18","34","1,175","207","39","19","1,260"
"04-09-2018","2,818","11,940","8.87","51","1,143","235","32","30","1,434"
"05-09-2018","2,701","10,464","7.77","39","1,171","208","25","36","1,301"
"06-09-2018","2,287","5,623","4.18","3","1,280","145","4","11","752"
"07-09-2018","2,176","5,004","3.72","13","1,332","108","0","0","569"
"08-09-2018","2,333","7,841","5.83","14","1,293","117","7","23","775"
"09-09-2018","2,279","6,447","4.79","24","1,335","61","9","35","686"
"10-09-2018","2,038","3,502","2.6","10","1,349","91","0","0","426"
"11-09-2018","2,109","3,612","2.68","3","1,273","89","14","1","460"
"12-09-2018","2,141","4,108","3.05","3","1,320","114","3","3","534"
"13-09-2018","2,326","8,468","6.29","28","1,316","61","25","38","764"
"14-09-2018","2,500","9,280","6.9","38","1,103","73","10","63","962"
"15-09-2018","2,619","10,175","7.56","76","1,302","36","15","87","1,072"
"16-09-2018","2,146","5,544","4.12","32","1,339","68","12","21","563"
"17-09-2018","2,049","3,346","2.49","1","1,336","104","0","0","452"
"18-09-2018","2,114","5,570","4.14","8","1,349","45","14","32","521"
"19-09-2018","1,920","2,481","1.84","5","1,375","65","0","0","294"
"20-09-2018","2,586","7,237","5.38","6","1,245","132","33","30","1,081"
"21-09-2018","2,591","8,508","6.32","9","1,297","81","10","52","1,043"
"22-09-2018","2,166","5,653","4.2","9","1,319","107","11","3","609"
"23-09-2018","1,848","1,437","1.07","5","1,399","41","0","0","195"
"24-09-2018","2,448","8,479","6.3","26","1,296","83","9","52","913"
"25-09-2018","2,075","2,862","2.13","7","1,342","98","0","0","430"
"26-09-2018","2,371","5,954","4.42","41","1,277","139","11","13","825"
"27-09-2018","1,962","2,395","1.78","2","1,376","51","5","8","323"
"28-09-2018","2,245","6,262","4.65","8","1,243","91","6","25","668"
"29-09-2018","2,620","10,156","7.55","19","1,242","160","18","20","1,121"
"30-09-2018","2,297","7,497","5.57","34","1,174","60","35","26","718"
