Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
14/05/18,walking,walking,2018-05-14T09:44:44+02:00,2018-05-14T09:45:13+02:00,29,0.020,40,1
14/05/18,walking,walking,2018-05-14T10:03:42+02:00,2018-05-14T10:04:11+02:00,29,0.014,20,1
14/05/18,walking,walking,2018-05-14T10:28:43+02:00,2018-05-14T10:48:38+02:00,1195,1.550,1929,69
14/05/18,walking,walking,2018-05-14T10:55:19+02:00,2018-05-14T10:56:12+02:00,53,0.039,79,2
14/05/18,walking,walking,2018-05-14T11:18:26+02:00,2018-05-14T11:21:16+02:00,170,0.203,270,9
14/05/18,walking,walking,2018-05-14T12:13:16+02:00,2018-05-14T12:15:26+02:00,130,0.147,196,7
14/05/18,walking,walking,2018-05-14T12:32:15+02:00,2018-05-14T12:36:28+02:00,253,0.285,380,13
14/05/18,walking,walking,2018-05-14T12:51:24+02:00,2018-05-14T12:57:15+02:00,351,0.536,537,24
14/05/18,walking,walking,2018-05-14T13:06:11+02:00,2018-05-14T13:06:51+02:00,40,0.030,60,1
14/05/18,walking,walking,2018-05-14T14:10:32+02:00,2018-05-14T14:28:57+02:00,1105,0.782,1063,35
14/05/18,transport,transport,2018-05-14T14:28:57+02:00,2018-05-14T14:30:45+02:00,108,2.873,0,0
14/05/18,walking,walking,2018-05-14T14:30:46+02:00,2018-05-14T14:32:14+02:00,88,0.066,132,3
14/05/18,transport,transport,2018-05-14T14:46:06+02:00,2018-05-14T15:18:33+02:00,1947,34.079,0,0
14/05/18,walking,walking,2018-05-14T15:18:33+02:00,2018-05-14T15:22:34+02:00,241,0.275,425,12
14/05/18,walking,walking,2018-05-14T15:22:35+02:00,2018-05-14T15:31:36+02:00,541,0.608,811,27
14/05/18,walking,walking,2018-05-14T15:38:41+02:00,2018-05-14T15:46:41+02:00,480,0.540,721,24
14/05/18,walking,walking,2018-05-14T15:49:58+02:00,2018-05-14T15:52:57+02:00,179,0.202,269,9
14/05/18,walking,walking,2018-05-14T16:27:00+02:00,2018-05-14T16:30:39+02:00,219,0.224,299,10
14/05/18,transport,transport,2018-05-14T16:52:05+02:00,2018-05-14T18:12:53+02:00,4848,433.116,0,0
14/05/18,walking,walking,2018-05-14T18:12:54+02:00,2018-05-14T18:14:40+02:00,106,0.079,159,4
14/05/18,walking,walking,2018-05-14T18:15:07+02:00,2018-05-14T18:16:52+02:00,105,0.052,65,2
14/05/18,transport,transport,2018-05-14T18:16:52+02:00,2018-05-14T18:50:17+02:00,2005,6.128,0,0
14/05/18,walking,walking,2018-05-14T18:50:18+02:00,2018-05-14T18:51:57+02:00,99,0.087,174,4
14/05/18,walking,walking,2018-05-14T22:39:01+02:00,2018-05-14T22:39:57+02:00,56,0.042,84,2
