Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-09-2017","2,386","6,950","5.16","38","941","90","4","38","781"
"02-09-2017","2,479","7,444","5.53","2","1,078","170","0","10","929"
"03-09-2017","2,131","3,515","2.61","4","1,341","99","0","0","507"
"04-09-2017","2,214","6,969","5.18","30","1,229","52","15","36","617"
"05-09-2017","2,019","3,022","2.25","1","1,346","94","0","0","396"
"06-09-2017","2,396","8,274","6.15","28","1,302","82","13","43","839"
"07-09-2017","2,250","6,940","5.16","55","1,322","64","18","36","679"
"08-09-2017","2,771","14,237","10.58","90","985","88","25","91","1,289"
"09-09-2017","2,264","6,252","4.65","27","1,108","106","14","14","701"
"10-09-2017","2,251","5,631","4.18","1","1,306","134","0","0","666"
"11-09-2017","2,133","4,205","3.12","2","1,345","83","6","6","526"
"12-09-2017","1,895","1,503","1.12","1","1,186","60","0","0","246"
"13-09-2017","2,386","7,020","5.22","19","1,056","74","8","36","811"
"14-09-2017","2,098","3,738","2.78","4","1,197","91","5","2","478"
"15-09-2017","2,183","4,617","3.43","7","1,327","113","0","0","577"
"16-09-2017","2,747","13,041","9.69","33","1,277","55","8","100","1,209"
"17-09-2017","2,238","5,785","4.3","29","1,264","63","18","29","645"
"18-09-2017","2,037","3,775","2.8","5","1,179","86","9","2","433"
"19-09-2017","2,297","8,085","6.01","42","1,315","67","10","48","732"
"20-09-2017","2,112","3,518","2.61","4","1,355","85","0","0","483"
"21-09-2017","2,151","5,406","4.02","15","1,055","54","22","22","554"
"22-09-2017","2,303","6,692","4.97","4","1,105","103","7","24","692"
"23-09-2017","2,113","5,026","3.73","3","1,225","49","10","31","513"
"24-09-2017","2,168","4,760","3.54","4","1,168","85","4","16","546"
"25-09-2017","2,183","5,416","4.02","23","1,042","58","30","18","593"
"26-09-2017","2,403","9,177","6.82","16","1,293","82","25","40","852"
"27-09-2017","2,317","3,897","2.9","11","1,225","120","13","14","738"
"28-09-2017","2,034","3,360","2.5","29","1,185","54","8","15","403"
"29-09-2017","2,178","5,530","4.11","32","1,046","50","14","27","571"
"30-09-2017","2,506","8,897","6.61","9","1,056","109","14","46","959"
