Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-12-2016","1,996","2,510","1.86","1","1,350","90","0","0","369"
"02-12-2016","2,103","4,540","3.37","5","1,337","83","19","1","478"
"03-12-2016","1,989","3,736","2.78","1","1,302","40","20","8","356"
"04-12-2016","2,236","6,394","4.75","42","1,312","83","35","10","671"
"05-12-2016","2,306","4,996","3.71","30","1,303","93","23","21","740"
"06-12-2016","2,303","5,945","4.42","25","1,277","135","27","1","754"
"07-12-2016","2,229","6,069","4.51","25","1,234","147","15","3","701"
"08-12-2016","1,939","3,038","2.26","0","1,376","64","0","0","298"
"09-12-2016","2,265","5,577","4.14","15","1,263","158","14","5","756"
"10-12-2016","1,987","3,264","2.43","2","1,362","78","0","0","357"
"11-12-2016","2,144","5,116","3.8","18","1,324","74","33","9","561"
"12-12-2016","2,056","4,521","3.36","6","517","50","20","10","431"
"13-12-2016","2,216","4,029","2.99","26","1,304","98","34","4","650"
"14-12-2016","2,105","3,622","2.69","7","1,319","112","3","6","510"
"15-12-2016","2,083","4,222","3.14","8","1,270","60","15","7","441"
"16-12-2016","2,039","4,329","3.22","2","1,354","67","8","11","431"
"17-12-2016","2,040","4,473","3.32","3","1,279","63","6","14","425"
"18-12-2016","2,485","8,563","6.36","50","1,238","155","34","13","1,015"
"19-12-2016","2,011","3,800","2.82","1","1,374","45","7","14","367"
"20-12-2016","2,219","6,207","4.61","90","1,325","62","31","22","646"
"21-12-2016","1,969","2,924","2.17","0","1,211","53","4","12","328"
"22-12-2016","2,191","4,534","3.37","14","1,290","119","28","3","639"
"23-12-2016","2,044","3,595","2.67","19","1,233","69","10","10","427"
"24-12-2016","1,940","2,702","2.01","17","1,369","71","0","0","306"
"25-12-2016","2,442","8,757","6.51","50","1,275","106","11","48","917"
"26-12-2016","2,281","7,622","5.66","77","1,306","86","36","12","688"
"27-12-2016","2,359","7,444","5.53","102","1,195","106","35","19","833"
"28-12-2016","2,705","11,681","8.68","89","1,076","138","41","24","1,059"
"29-12-2016","2,285","6,342","4.71","7","1,295","126","10","9","728"
"30-12-2016","2,427","10,080","7.49","30","1,267","111","14","48","916"
"31-12-2016","2,119","4,855","3.61","11","1,194","71","7","26","529"

