Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-02-2017","2,327","6,490","4.82","10","766","121","11","5","689"
"02-02-2017","2,418","9,691","7.2","15","1,198","135","20","16","892"
"03-02-2017","2,098","4,870","3.62","14","1,342","88","4","6","482"
"04-02-2017","1,917","2,513","1.87","0","1,254","57","0","0","269"
"05-02-2017","2,427","8,658","6.43","45","1,263","112","21","44","914"
"06-02-2017","2,253","6,928","5.15","10","1,223","146","0","0","705"
"07-02-2017","2,197","4,866","3.62","13","1,250","112","7","5","610"
"08-02-2017","2,250","5,841","4.34","10","1,257","111","4","2","601"
"09-02-2017","2,322","6,431","4.78","9","1,056","109","8","13","707"
"10-02-2017","2,098","4,691","3.49","9","1,261","92","0","0","459"
"11-02-2017","2,532","10,908","8.1","27","1,264","90","47","39","1,009"
"12-02-2017","1,936","2,044","1.52","1","1,229","67","0","0","291"
"13-02-2017","2,141","4,721","3.51","12","1,339","101","0","0","495"
"14-02-2017","2,159","5,432","4.04","7","1,328","102","5","5","561"
"15-02-2017","2,215","6,366","4.73","11","1,220","134","0","0","649"
"16-02-2017","2,271","5,532","4.11","14","1,361","70","3","6","468"
"17-02-2017","2,211","5,765","4.28","16","975","112","0","0","596"
"18-02-2017","2,394","8,291","6.16","36","1,136","139","18","23","881"
"19-02-2017","2,185","5,391","4.01","41","1,078","87","13","16","593"
"20-02-2017","2,276","6,914","5.14","12","1,308","76","30","26","694"
"21-02-2017","2,128","5,040","3.74","10","1,143","94","4","5","508"
"22-02-2017","2,157","5,919","4.4","16","1,241","105","0","0","563"
"23-02-2017","2,118","4,824","3.58","13","1,118","97","0","0","469"
"24-02-2017","2,161","5,614","4.17","16","1,328","103","5","4","560"
"25-02-2017","2,455","8,309","6.17","63","1,255","120","36","29","897"
"26-02-2017","2,716","13,272","9.86","45","1,165","135","20","55","1,225"
"27-02-2017","2,177","5,635","4.19","13","1,116","131","0","0","603"
"28-02-2017","2,130","4,031","3","10","1,230","98","0","0","503"
