"No value = similar as previous day for: Driving, Store and Stand/mov-ing around",,,,,,,,
year,month,day,time reading paper,time on ubuntu,Driving,Store,Riding Car Eyes,Comment
2015,11,25,,,7,,,
,,26,,,,,,
,,27,,,,,,
,,28,,,105,,,
,,29,,,105,,,
,,30,,,15,,,
,12,1,,,,,,
,,2,,,75,,,
,,3,,,75,,,
,,4,,,7,,,
,,5,,,7,,,
,,6,,,,,,
,,7,,,,,,
,,8,,,,,,
,,9,,,7,,,
,,10,,,45,,,
,,11,,,12,,,
,,12,,,10,,,
,,13,,,10,,,
,,14,,3,100,,,
,,15,,,60,,,
,,16,,,25,,,
,,17,,,80,,,
,,18,,,15,,,
,,19,,,8,,,
,,20,,,60,,,
,,21,,,7,,,
,,22,,,40,,,
,,23,,,105,,,
,,24,,,,,,
,,25,,,7,,,
,,26,,,7,,,
,,27,,,,,,
,,28,,,,,,
,,29,,,,,,
,,30,,,5,,,
,,31,,,,,,
2016,1,1,,,,,,
,,2,,,105,,,
,,3,,,,,,
,,4,,,30,,,
,,5,,,9,,,
,,6,,,,,,
,,7,,,10,,,
,,8,,,12,,,
,,9,,,12,,,
,,10,,,,,,
,,11,,,28,,,
,,12,,,,,,
,,13,,,10,,,
,,14,,,13,,,
,,15,,,10,,,
,,16,,,15,,,
,,17,,,12,,,
,,18,,,60,,,
,,19,,,15,,,
,,20,,,13,,,
,,21,,,,,,
,,22,,,12,,,
,,23,,,,,,
,,24,,,,,,
,,25,,,13,,,
,,26,,,9,,,
,,27,,,60,,,
,,28,,,,,,
,,29,,,20,,,
,,30,,,80,,,
,,31,,,6,,,
,2,1,,,10,,,
,,2,,,70,,,
,,3,,,10,,,
,,4,,,14,,,
,,5,,,23,,,
,,6,,,70,,,
,,7,,,10,,,
,,8,,,10,,,
,,9,,,10,,,
,,10,,,,,,
,,11,,,9,,,
,,12,,,9,,,
,,13,,,10,,,
,,14,,,8,,,
,,15,,,50,,,
,,16,,,5,,,
,,17,,,,,,
,,18,,,10,,,
,,19,,,70,,,
,,20,,,12,,,
,,21,,,70,,,
,,22,,,,,,
,,23,,,,,,
,,24,,,,,,
,,25,,,8,,,
,,26,,,42,,,
,,27,,,,,,
,,28,,,6,,,
,,29,,,40,,,
,3,1,,,70,,,
,,2,,,20,,,
,,3,,,10,,,
,,4,,,60,,,
,,5,,,8,,,
,,6,,,10,,,
,,7,,,100,,,
,,8,,,10,,,
,,9,,,18,,,
,,10,,,6,,,
,,11,,,40,,,
,,12,,,30,,,
,,13,,,,,,
,,14,,,70,,,
,,15,,,8,,,
,,16,,,10,,,
,,17,,,10,,,
,,18,,,40,,,
,,19,,,90,,,
,,20,,,,,,
,,21,,,40,,,
,,22,,240,7,,,
,,23,,,70,,,
,,24,,60,8,,,
,,25,,,,,,
,,26,,,,,,
,,27,120,,,,,
,,28,,,53,,,
,,29,,,16,,,
,,30,,-120,70,,,
,,31,,,,,,
,4,1,120,,6,,,
,,2,60,,10,,,
,,3,,,60,,,
,,4,,,8,,,
,,5,120,,16,,,
,,6,90,,8,,,
,,7,,,,,,
,,8,,560,12,,,
,,9,,,8,,,
,,10,,,70,,,
,,11,,,40,,,
,,12,,-120,12,,,
,,13,,,12,,,
,,14,,180,120,,,
,,15,,240,16,,,
,,16,,,,,,
,,17,,,,,,
,,18,,20,10,,,
,,19,,,70,,,
,,20,,,,,,
,,21,,140,12,,,
,,22,,20,,,,
,,23,,,6,,,
,,24,15,180,,,,
,,25,,,13,,,
,,26,60,,12,,,
,,27,50,,14,,,
,,28,80,,12,,,
,,29,40,,120,,,
,,30,90,,12,,,
,5,1,,,,,,
,,2,,,12,,,
,,3,,,16,,,
,,4,150,,,,,
,,6,,,,,,
,,7,150,,,,,
,,8,,,45,,,
,,9,,200,22,,,
,,10,,480,,,,
,,11,,480,22,,,
,,12,,450,22,,,
,,13,,180,12,,,
,,14,,210,20,,,
,,15,,,,,,
,,16,,,,,,
,,17,,,120,,,
,,18,,60,7,,,
,,19,120,,8,,,
,,20,60,,10,,,
,,21,60,,28,,,
,,22,,,12,,,
,,23,,,22,,,
,,24,,,10,,,
,,25,,,12,,,
,,26,,,8,,,
,,27,,,27,,,
,,28,,15,12,,,
,,29,,,11,,,
,,30,,,7,,,
,,31,,10,12,,,
,6,1,,,,,,
,,2,,,10,,,
,,3,,20,,,,
,,4,,20,,,,
,,5,,,,,,
,,6,38,,12,,,
,,7,,,10,,,
,,8,,,14,,,
,,9,,,,,,
,,10,,,,,,
,,11,,,160,,,
,,12,,,170,,,
,,13,,15,8,,,
,,14,,35,12,,,
,,15,,,,,,
,,16,,,22,,,
,,17,,,,,,
,,18,,,,,,
,,19,,,12,,,
,,20,50,,75,,,
,,21,,,10,,,
,,22,,,,,,
,,23,,,22,,,
,,24,10,,8,,,
,,25,,,,,,
,,26,,,,,,
,,27,,,120,,,
,,28,,,,,,
,,29,,,23,,,
,,30,,,15,,,
,7,1,60,,15,,,
,,2,,,,,,
,,3,,,75,,,
,,4,,,,,,
,,5,,,12,,,
,,6,,,12,,,
,,7,,,25,,,
,,8,,,15,,,
,,9,45,,70,,,
,,10,,,,,,
,,11,,,25,,,
,,12,,,13,,,
,,13,,,15,,,
,,14,,,,,,
,,15,50,,6,,,
,,16,,,,,,
,,17,45,,,,,
,,18,,,25,,,
,,19,,,12,,,
,,20,,,,,,
,,21,,,5,,,
,,22,,,27,,,
,,23,,,,,,
,,24,,,13,,,
,,25,,,25,,,
,,26,,,12,,,
,,27,,,80,,,
,,28,,,,,,
,,29,,,,,,
,,30,,,12,,,
,,31,,,,,,
,8,1,,,15,,,
,,2,,,50,,,
,,3,40,,,,,
,,4,,,12,,,
,,5,,,,,,
,,6,,,,,,
,,7,90,,,,30,
,,8,120,,,,30,
,,9,240,,,,45,
,,10,,60,,,120,
,,11,,10,,,140,
,,12,,30,,,60,
,,13,,20,,,80,
,,14,20,,,,150,
,,15,,,,,90,
,,16,,,,,50,
,,17,,,,,150,
,,18,,,,,120,
,,19,,,20,,100,
,,20,,,,,10,
,,21,,,,,40,
,,22,,,,,20,
,,23,,,,,140,
,,24,,90,,,,
,,25,,20,,,30,
,,26,,,120,,,
,,27,,,,,,
,,28,,,,,15,
,,29,,,240,,,
,,30,,,550,,,
,,31,,,160,,,
,9,1,,,35,,,
,,2,,,30,,,
,,3,,,340,,,
,,4,,,340,,,
,,5,,,120,,,
,,6,,,80,,,
,,7,,,45,,,
,,8,,,40,,,
,,9,,,60,,,
,,10,,,30,,,
,,11,,,40,,,
,,12,,,50,,,
,,13,,,70,,,
,,14,,,50,,,
