"Milliseconds","timezoneOffset","timestamp","DayOfYear","DayOfMonth","DayOfWeek","TimeOfDay","_id","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","number","note","gpstime","gpsMilliseconds","name","latitude","longitude","accuracy","altitude","speed","bearing","lat_text","lon_text","street","city","state","country","zip"
"1438725339560","7200000","2015-08-04T23:55:39.560+02:00","216","4","Tuesday","23.9275","505","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1438725356927","7200000","2015-08-04T23:55:56.927+02:00","216","4","Tuesday","23.932222222222222","506","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1448445345667","3600000","2015-11-25T10:55:45.667+01:00","329","25","Wednesday","10.929166666666667","7","Food","Breakfest",,,,,,,,,,,,,,,,,,,,,,,,,
"1448445408998","3600000","2015-11-25T10:56:48.998+01:00","329","25","Wednesday","10.946666666666667","8","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1448445415446","3600000","2015-11-25T10:56:55.446+01:00","329","25","Wednesday","10.948611111111111","9","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1448527950404","3600000","2015-11-26T09:52:30.404+01:00","330","26","Thursday","9.875","11","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1448528618967","3600000","2015-11-26T10:03:38.967+01:00","330","26","Thursday","10.060555555555556","12","Food","Breakfest",,,,,,,,,,,,,,,,,,,,,,,,,
"1448528906626","3600000","2015-11-26T10:08:26.626+01:00","330","26","Thursday","10.140555555555556","13","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1448540823179","3600000","2015-11-26T13:27:03.179+01:00","330","26","Thursday","13.450833333333334","14","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1448541512687","3600000","2015-11-26T13:38:32.687+01:00","330","26","Thursday","13.642222222222221","15","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1448541517366","3600000","2015-11-26T13:38:37.366+01:00","330","26","Thursday","13.643611111111111","16","Food","Lunch",,,,,,,,,,,,,,,,,,,,,,,,,
"1448542656672","3600000","2015-11-26T13:57:36.672+01:00","330","26","Thursday","13.96","17","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1448543314536","3600000","2015-11-26T14:08:34.536+01:00","330","26","Thursday","14.142777777777777","18","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1448543565111","3600000","2015-11-26T14:12:45.111+01:00","330","26","Thursday","14.2125","19","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1448543642394","3600000","2015-11-26T14:14:02.394+01:00","330","26","Thursday","14.233888888888888","20","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1449682741586","3600000","2015-12-09T18:39:01.586+01:00","343","9","Wednesday","18.650277777777777","21","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1449682980055","3600000","2015-12-09T18:43:00.055+01:00","343","9","Wednesday","18.716666666666665","22","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1449688908497","3600000","2015-12-09T20:21:48.497+01:00","343","9","Wednesday","20.363333333333333","23","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1449689862316","3600000","2015-12-09T20:37:42.316+01:00","343","9","Wednesday","20.628333333333334","24","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1449689882159","3600000","2015-12-09T20:38:02.159+01:00","343","9","Wednesday","20.63388888888889","25","Food","Dinner",,,,,,,,,,,,,,,,,,,,,,,,,
"1450168517471","3600000","2015-12-15T09:35:17.471+01:00","349","15","Tuesday","9.588055555555556","26","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450169530218","3600000","2015-12-15T09:52:10.218+01:00","349","15","Tuesday","9.869444444444444","27","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450169552648","3600000","2015-12-15T09:52:32.648+01:00","349","15","Tuesday","9.875555555555556","28","Food","Breakfest",,,,,,,,,,,,,,,,,,,,,,,,,
"1450169797146","3600000","2015-12-15T09:56:37.146+01:00","349","15","Tuesday","9.94361111111111","29","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450170553916","3600000","2015-12-15T10:09:13.916+01:00","349","15","Tuesday","10.153611111111111","30","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450172086616","3600000","2015-12-15T10:34:46.616+01:00","349","15","Tuesday","10.579444444444444","31","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450172492136","3600000","2015-12-15T10:41:32.136+01:00","349","15","Tuesday","10.692222222222222","32","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450277234207","3600000","2015-12-16T15:47:14.207+01:00","350","16","Wednesday","15.787222222222223","34","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450277304740","3600000","2015-12-16T15:48:24.740+01:00","350","16","Wednesday","15.806666666666667","35","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450277313477","3600000","2015-12-16T15:48:33.477+01:00","350","16","Wednesday","15.809166666666666","36","Common Activies","Driving Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450277482090","3600000","2015-12-16T15:51:22.090+01:00","350","16","Wednesday","15.856111111111112","37","Common Activies","Driving End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450277492199","3600000","2015-12-16T15:51:32.199+01:00","350","16","Wednesday","15.858888888888888","38","Common Activies","Store Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450277601633","3600000","2015-12-16T15:53:21.633+01:00","350","16","Wednesday","15.889166666666666","40","Common Activies","Store End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450277603768","3600000","2015-12-16T15:53:23.768+01:00","350","16","Wednesday","15.889722222222222","41","Common Activies","Driving Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450278917566","3600000","2015-12-16T16:15:17.566+01:00","350","16","Wednesday","16.254722222222224","42","Common Activies","Driving End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450279117666","3600000","2015-12-16T16:18:37.666+01:00","350","16","Wednesday","16.310277777777777","43","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450279454915","3600000","2015-12-16T16:24:14.915+01:00","350","16","Wednesday","16.40388888888889","44","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450280248783","3600000","2015-12-16T16:37:28.783+01:00","350","16","Wednesday","16.624444444444446","45","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450280804627","3600000","2015-12-16T16:46:44.627+01:00","350","16","Wednesday","16.77888888888889","46","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450280897817","3600000","2015-12-16T16:48:17.817+01:00","350","16","Wednesday","16.80472222222222","47","Common Activies","Driving Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450281947464","3600000","2015-12-16T17:05:47.464+01:00","350","16","Wednesday","17.09638888888889","48","Common Activies","Driving End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450281954190","3600000","2015-12-16T17:05:54.190+01:00","350","16","Wednesday","17.098333333333333","49","Common Activies","Store Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450282862396","3600000","2015-12-16T17:21:02.396+01:00","350","16","Wednesday","17.350555555555555","50","Common Activies","Store End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450341159668","3600000","2015-12-17T09:32:39.668+01:00","351","17","Thursday","9.544166666666667","51","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450341740275","3600000","2015-12-17T09:42:20.275+01:00","351","17","Thursday","9.705555555555556","52","Food","Breakfest",,,,,,,,,,,,,,,,,,,,,,,,,
"1450342037655","3600000","2015-12-17T09:47:17.655+01:00","351","17","Thursday","9.788055555555555","53","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450342372120","3600000","2015-12-17T09:52:52.120+01:00","351","17","Thursday","9.88111111111111","54","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450345821377","3600000","2015-12-17T10:50:21.377+01:00","351","17","Thursday","10.839166666666667","55","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450346489087","3600000","2015-12-17T11:01:29.087+01:00","351","17","Thursday","11.024722222222222","56","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450362310533","3600000","2015-12-17T15:25:10.533+01:00","351","17","Thursday","15.419444444444444","57","Sport","Sport Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450363508056","3600000","2015-12-17T15:45:08.056+01:00","351","17","Thursday","15.752222222222223","58","Sport","Rappel Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450364203836","3600000","2015-12-17T15:56:43.836+01:00","351","17","Thursday","15.945277777777777","59","Sport","Rappel End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450364881951","3600000","2015-12-17T16:08:01.951+01:00","351","17","Thursday","16.13361111111111","60","Sport","Climb Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450366500990","3600000","2015-12-17T16:35:00.990+01:00","351","17","Thursday","16.583333333333332","61","Sport","Climb End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450367891328","3600000","2015-12-17T16:58:11.328+01:00","351","17","Thursday","16.969722222222224","62","Sport","Sport End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450367898894","3600000","2015-12-17T16:58:18.894+01:00","351","17","Thursday","16.971666666666668","63","Common Activies","Driving Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450370267090","3600000","2015-12-17T17:37:47.090+01:00","351","17","Thursday","17.629722222222224","64","Common Activies","Driving End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450372134651","3600000","2015-12-17T18:08:54.651+01:00","351","17","Thursday","18.148333333333333","65","Food","Snack",,,,,,,,,,,,,,,,,,,,,,,,,
"1450372239255","3600000","2015-12-17T18:10:39.255+01:00","351","17","Thursday","18.1775","66","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450372306242","3600000","2015-12-17T18:11:46.242+01:00","351","17","Thursday","18.19611111111111","67","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
"1450514280662","3600000","2015-12-19T09:38:00.662+01:00","353","19","Saturday","9.633333333333333","68","Hrv Sessions","Mov Around Str",,,,,,,,,,,,,,,,,,,,,,,,,
"1450514657903","3600000","2015-12-19T09:44:17.903+01:00","353","19","Saturday","9.738055555555555","69","Food","Breakfest",,,,,,,,,,,,,,,,,,,,,,,,,
"1450515313044","3600000","2015-12-19T09:55:13.044+01:00","353","19","Saturday","9.920277777777777","70","Hrv Sessions","Mov Around End",,,,,,,,,,,,,,,,,,,,,,,,,
